Date,Close,MSFT
04/04/2014,39.87,-0.028191778
03/04/2014,41.01,-0.008256482
02/04/2014,41.35,-0.001691434
01/04/2014,41.42,0.010435721
31/03/2014,40.99,0.016976666
28/03/2014,40.3,0.023601397
27/03/2014,39.36,-0.010865552
26/03/2014,39.79,-0.013727908
25/03/2014,40.34,-0.003958442
24/03/2014,40.5,0.008430499
21/03/2014,40.16,-0.004224134
20/03/2014,40.33,0.02663474
19/03/2014,39.27,-0.007104826
18/03/2014,39.55,0.03866461
17/03/2014,38.05,0.00924099
14/03/2014,37.7,-0.005027131
13/03/2014,37.89,-0.009979074
12/03/2014,38.27,0.006553962
11/03/2014,38.02,0.005274274
10/03/2014,37.82,-0.002113049
07/03/2014,37.9,-0.006574646
06/03/2014,38.15,0.001049043
05/03/2014,38.11,-0.007841127
04/03/2014,38.41,0.01653798
03/03/2014,37.78,-0.013931097
28/02/2014,38.31,0.011815813
27/02/2014,37.86,0.010354533
26/02/2014,37.47,-0.001866418
25/02/2014,37.54,-0.003987776
24/02/2014,37.69,-0.007664898
21/02/2014,37.98,0.00607423
20/02/2014,37.75,0.006377912
19/02/2014,37.51,0.002402243
18/02/2014,37.42,-0.005330503
14/02/2014,37.62,0.000265851
13/02/2014,37.61,0.00372936
12/02/2014,37.47,0.008038628
11/02/2014,37.17,0.010004139
10/02/2014,36.8,0.006543099
07/02/2014,36.56,0.010448267
06/02/2014,36.18,0.010000083
05/02/2014,35.82,-0.014687807
04/02/2014,36.35,-0.003569961
03/02/2014,36.48,-0.036602579
31/01/2014,37.84,0.026239792
30/01/2014,36.86,0.00544071
29/01/2014,36.66,0.010695289
28/01/2014,36.27,0.006639029
27/01/2014,36.03,-0.021417623
24/01/2014,36.81,0.02058533
23/01/2014,36.06,0.003611617
22/01/2014,35.93,-0.006657445
21/01/2014,36.17,-0.005789127
17/01/2014,36.38,-0.013921339
16/01/2014,36.89,0.003530214
15/01/2014,36.76,0.027021219
14/01/2014,35.78,0.022612608
13/01/2014,34.98,-0.029852963
10/01/2014,36.04,0.014252023
09/01/2014,35.53,-0.00645254
08/01/2014,35.76,-0.018013512
07/01/2014,36.41,0.007719917
06/01/2014,36.13,-0.021358972
03/01/2014,36.91,-0.006750397
02/01/2014,37.16,-0.006705134
31/12/2013,37.41,0.003212854
30/12/2013,37.29,0
27/12/2013,37.29,-0.004014457
26/12/2013,37.44,0.009661911
24/12/2013,37.08,0.012483201
23/12/2013,36.62,-0.004903306
20/12/2013,36.8,0.015058464
19/12/2013,36.25,-0.009062262
18/12/2013,36.58,0.001641587
17/12/2013,36.52,-0.010080456
16/12/2013,36.89,0.005436273
13/12/2013,36.69,-0.014342013
12/12/2013,37.22,-0.010423721
11/12/2013,37.61,-0.013206742
10/12/2013,38.11,-0.01562125
09/12/2013,38.71,0.009082715
06/12/2013,38.36,0.00942909
05/12/2013,38,-0.02443584
04/12/2013,38.94,0.016311041
03/12/2013,38.31,-0.003647737
02/12/2013,38.45,0.008357322
29/11/2013,38.13,0.013997323
27/11/2013,37.6,0.006671139
26/11/2013,37.35,-0.007734403
25/11/2013,37.64,0.001861455
22/11/2013,37.57,0.004535155
21/11/2013,37.4,0.008592964
20/11/2013,37.08,0.009211661
19/11/2013,36.74,-0.012442681
18/11/2013,37.2,-0.017057983
15/11/2013,37.84,-0.004745593
14/11/2013,38.02,-0.00367551
13/11/2013,38.16,0.021187233
12/11/2013,37.36,-0.006137444
11/11/2013,37.59,-0.005041804
08/11/2013,37.78,0.007438929
07/11/2013,37.5,-0.017970885
06/11/2013,38.18,0.041171278
05/11/2013,36.64,0.019289658
04/11/2013,35.94,0.011473471
01/11/2013,35.53,0.003383144
31/10/2013,35.41,-0.003664557
30/10/2013,35.54,0.000562905
29/10/2013,35.52,-0.001406668
28/10/2013,35.57,-0.004488086
25/10/2013,35.73,0.057899539
24/10/2013,33.72,-0.001185537
23/10/2013,33.76,-0.023998811
22/10/2013,34.58,-0.011786826
21/10/2013,34.99,0.000857756
18/10/2013,34.96,0.00114482
17/10/2013,34.92,0.008050647
16/10/2013,34.64,0.004339657
15/10/2013,34.49,0.001160429
14/10/2013,34.45,0.009332235
11/10/2013,34.13,0.010900093
10/10/2013,33.76,0.020650143
09/10/2013,33.07,0.001815981
08/10/2013,33.01,-0.008746851
