Date,Close,DTV
04/04/2014,77.36,-0.016410625
03/04/2014,78.64,0.008428092
02/04/2014,77.98,0.003339759
01/04/2014,77.72,0.016868182
31/03/2014,76.42,0.009202116
28/03/2014,75.72,0.013963921
27/03/2014,74.67,-0.035132881
26/03/2014,77.34,0.055425785
25/03/2014,73.17,-0.013978649
24/03/2014,74.2,0.003510197
21/03/2014,73.94,-0.024580452
20/03/2014,75.78,0.005159765
19/03/2014,75.39,-0.010293044
18/03/2014,76.17,-0.008627504
17/03/2014,76.83,-0.000650576
14/03/2014,76.88,-0.015360095
13/03/2014,78.07,-0.005365368
12/03/2014,78.49,-0.005843513
11/03/2014,78.95,-0.002024548
10/03/2014,79.11,-0.00667719
07/03/2014,79.64,-0.004385148
06/03/2014,79.99,0.02391157
05/03/2014,78.1,0.001922461
04/03/2014,77.95,-0.000128279
03/03/2014,77.96,0.004628447
28/02/2014,77.6,0.019256385
27/02/2014,76.12,0.014689604
26/02/2014,75.01,0.000133324
25/02/2014,75,-0.001598721
24/02/2014,75.12,0.00133209
21/02/2014,75.02,-0.000799467
20/02/2014,75.08,0.028917026
19/02/2014,72.94,-0.001643836
18/02/2014,73.06,0.016143848
14/02/2014,71.89,-0.001112193
13/02/2014,71.97,0.007391429
12/02/2014,71.44,0.004911257
11/02/2014,71.09,0.004652811
10/02/2014,70.76,0.006806606
07/02/2014,70.28,0.001994019
06/02/2014,70.14,0.020452967
05/02/2014,68.72,-0.001308806
04/02/2014,68.81,0.010225038
03/02/2014,68.11,-0.019195006
31/01/2014,69.43,0.000288101
30/01/2014,69.41,0.010864161
29/01/2014,68.66,-0.005664092
28/01/2014,69.05,-0.003758316
27/01/2014,69.31,-0.000576951
24/01/2014,69.35,-0.028010646
23/01/2014,71.32,-0.022734553
22/01/2014,72.96,0.003432419
21/01/2014,72.71,0.014685772
17/01/2014,71.65,-0.002787458
16/01/2014,71.85,-0.006934841
15/01/2014,72.35,0.018553926
14/01/2014,71.02,0.004374522
13/01/2014,70.71,-0.019328333
10/01/2014,72.09,0.022160795
09/01/2014,70.51,0.017598279
08/01/2014,69.28,-0.009195467
07/01/2014,69.92,0.008041399
06/01/2014,69.36,0.004624286
03/01/2014,69.04,0.001304443
02/01/2014,68.95,-0.001594088
31/12/2013,69.06,0.009602867
30/12/2013,68.4,0.008515688
27/12/2013,67.82,0.006360498
26/12/2013,67.39,-0.001186416
24/12/2013,67.47,0.011927978
23/12/2013,66.67,0.005866884
20/12/2013,66.28,0.005294619
19/12/2013,65.93,-0.008457987
18/12/2013,66.49,0.016988123
17/12/2013,65.37,-0.005796233
16/12/2013,65.75,-0.013295256
13/12/2013,66.63,-0.005836156
12/12/2013,67.02,0.001493206
11/12/2013,66.92,-0.015568555
10/12/2013,67.97,0.001030397
09/12/2013,67.9,0.02173675
06/12/2013,66.44,0.016082883
05/12/2013,65.38,-0.00564327
04/12/2013,65.75,-0.004098055
03/12/2013,66.02,-0.013838969
02/12/2013,66.94,0.012476674
29/11/2013,66.11,0.00090799
27/11/2013,66.05,0.002273589
26/11/2013,65.9,0.013135976
25/11/2013,65.04,0.001384722
22/11/2013,64.95,0.032707712
21/11/2013,62.86,-0.009342163
20/11/2013,63.45,-0.031339828
