Date,Close,SCG
04/04/2014,51.08,0.00687558
03/04/2014,50.73,0.000394322
02/04/2014,50.71,-0.001773225
01/04/2014,50.8,-0.010184185
31/03/2014,51.32,0.013733785
28/03/2014,50.62,0.001779536
27/03/2014,50.53,0.008945493
26/03/2014,50.08,-0.005575482
25/03/2014,50.36,0.005974923
24/03/2014,50.06,0.006613913
21/03/2014,49.73,0.001811412
20/03/2014,49.64,-0.00482316
19/03/2014,49.88,-0.015516524
18/03/2014,50.66,0.001382716
17/03/2014,50.59,0.008137387
14/03/2014,50.18,0.009209274
13/03/2014,49.72,0.012548232
12/03/2014,49.1,0.012295237
11/03/2014,48.5,-0.0051414
10/03/2014,48.75,0.00225896
07/03/2014,48.64,0.000822707
06/03/2014,48.6,-0.01409769
05/03/2014,49.29,-0.011497857
04/03/2014,49.86,0.013122223
03/03/2014,49.21,-0.005875815
28/02/2014,49.5,0.006485633
27/02/2014,49.18,-0.000609818
26/02/2014,49.21,-0.004865203
25/02/2014,49.45,0.002024292
24/02/2014,49.35,-0.005053068
21/02/2014,49.6,0.010539214
20/02/2014,49.08,0.011887822
19/02/2014,48.5,-0.008826907
18/02/2014,48.93,0.004711675
14/02/2014,48.7,0.005146692
13/02/2014,48.45,0.012252256
12/02/2014,47.86,0.002301016
11/02/2014,47.75,0.015193371
10/02/2014,47.03,0.008327154
07/02/2014,46.64,0.00623725
06/02/2014,46.35,0.008885095
05/02/2014,45.94,-0.007373705
04/02/2014,46.28,-0.011814121
03/02/2014,46.83,-0.009351822
31/01/2014,47.27,0.006579669
30/01/2014,46.96,0.017182553
29/01/2014,46.16,-0.006262843
28/01/2014,46.45,0.00345051
27/01/2014,46.29,-0.005815848
24/01/2014,46.56,-0.009618542
23/01/2014,47.01,-0.000850521
22/01/2014,47.05,0.003619721
21/01/2014,46.88,0.011585626
17/01/2014,46.34,-0.000862813
16/01/2014,46.38,0.004321528
15/01/2014,46.18,-0.003242896
14/01/2014,46.33,-0.00150976
13/01/2014,46.4,-0.008583744
10/01/2014,46.8,0.016807118
09/01/2014,46.02,0.007634457
08/01/2014,45.67,-0.011970978
07/01/2014,46.22,0.010658067
06/01/2014,45.73,-0.005016915
03/01/2014,45.96,-0.001521905
02/01/2014,46.03,-0.019363772
31/12/2013,46.93,0.000639454
30/12/2013,46.9,-0.0012785
27/12/2013,46.96,-0.001914691
26/12/2013,47.05,-0.004876507
24/12/2013,47.28,0.00360208
23/12/2013,47.11,-0.002967361
20/12/2013,47.25,0.004879611
19/12/2013,47.02,-0.009103482
18/12/2013,47.45,0.017646891
17/12/2013,46.62,-0.003853569
16/12/2013,46.8,0.005571045
13/12/2013,46.54,0.002581757
12/12/2013,46.42,0.002804446
11/12/2013,46.29,-0.011598068
10/12/2013,46.83,-0.011465094
09/12/2013,47.37,-0.005683628
06/12/2013,47.64,0.006105925
05/12/2013,47.35,-0.005476004
04/12/2013,47.61,0.006109784
03/12/2013,47.32,0.005722173
02/12/2013,47.05,-0.002547231
29/11/2013,47.17,-0.002117748
27/11/2013,47.27,0.003178305
26/11/2013,47.12,-0.004658065
25/11/2013,47.34,-0.004426185
22/11/2013,47.55,0.005271493
21/11/2013,47.3,0.008066272
20/11/2013,46.92,-0.007431821
19/11/2013,47.27,-0.000423012
18/11/2013,47.29,0.001693122
15/11/2013,47.21,0.006588059
14/11/2013,46.9,0.008565363
13/11/2013,46.5,0.007122076
12/11/2013,46.17,-0.014620772
11/11/2013,46.85,-0.001066667
