Date,Close,AVY
04/04/2014,51.13,-0.011666475
03/04/2014,51.73,0.001547688
02/04/2014,51.65,0.010510023
01/04/2014,51.11,0.008646153
31/03/2014,50.67,0.013711094
28/03/2014,49.98,0.008640665
27/03/2014,49.55,0.000201837
26/03/2014,49.54,-0.018598676
25/03/2014,50.47,-0.001979415
24/03/2014,50.57,-0.011403977
21/03/2014,51.15,0.005489134
20/03/2014,50.87,0.006310413
19/03/2014,50.55,-0.007685524
18/03/2014,50.94,0.009071251
17/03/2014,50.48,0
14/03/2014,50.48,0.003969835
13/03/2014,50.28,-0.007726636
12/03/2014,50.67,0.001777778
11/03/2014,50.58,-0.012378584
10/03/2014,51.21,-0.006811353
07/03/2014,51.56,0.009157395
06/03/2014,51.09,0.000587372
05/03/2014,51.06,-0.014195669
04/03/2014,51.79,0.047246656
03/03/2014,49.4,-0.008466086
28/02/2014,49.82,0.01435383
27/02/2014,49.11,-0.008111989
26/02/2014,49.51,0.01362502
25/02/2014,48.84,0.001024275
24/02/2014,48.79,-0.002047503
21/02/2014,48.89,-0.008351204
20/02/2014,49.3,0.00121778
19/02/2014,49.24,-0.005670327
18/02/2014,49.52,0.002426204
14/02/2014,49.4,-0.001011634
13/02/2014,49.45,0.003849665
12/02/2014,49.26,0.000406091
11/02/2014,49.24,0.003662262
10/02/2014,49.06,0.024137324
07/02/2014,47.89,0.006494209
06/02/2014,47.58,0.012477692
05/02/2014,46.99,-0.012477692
04/02/2014,47.58,-0.004822318
03/02/2014,47.81,-0.030080554
31/01/2014,49.27,-0.00909189
30/01/2014,49.72,0.016016561
29/01/2014,48.93,-0.006924671
28/01/2014,49.27,0.007333502
27/01/2014,48.91,-0.004487972
24/01/2014,49.13,-0.042050631
23/01/2014,51.24,-0.017411931
22/01/2014,52.14,0.016046744
21/01/2014,51.31,0.003123173
17/01/2014,51.15,-0.001562806
16/01/2014,51.23,-0.000585423
15/01/2014,51.26,-0.000195065
14/01/2014,51.27,0.017908577
13/01/2014,50.36,-0.01027271
10/01/2014,50.88,0.019849798
09/01/2014,49.88,0.008455859
