Date,Close,FIS
04/04/2014,53.17,-0.018448301
03/04/2014,54.16,0
02/04/2014,54.16,0.004441162
01/04/2014,53.92,0.008754829
31/03/2014,53.45,0.010532352
28/03/2014,52.89,0.010644465
27/03/2014,52.33,-0.003433807
26/03/2014,52.51,-0.010608169
25/03/2014,53.07,-0.001506308
24/03/2014,53.15,-0.019009145
21/03/2014,54.17,-0.002212798
20/03/2014,54.29,0.007580696
19/03/2014,53.88,-0.005552485
18/03/2014,54.18,0.013565199
17/03/2014,53.45,0.013182865
14/03/2014,52.75,-0.010935252
13/03/2014,53.33,-0.026278344
12/03/2014,54.75,-0.003828279
11/03/2014,54.96,-0.003451098
10/03/2014,55.15,-0.005785588
07/03/2014,55.47,-0.003239744
06/03/2014,55.65,0.002158662
05/03/2014,55.53,-0.018201787
04/03/2014,56.55,0.023618919
03/03/2014,55.23,-0.006856757
28/02/2014,55.61,-0.007345729
27/02/2014,56.02,0.015470717
26/02/2014,55.16,0.003814372
25/02/2014,54.95,0.000910332
24/02/2014,54.9,0.010252745
21/02/2014,54.34,0.001289016
20/02/2014,54.27,0.006470121
19/02/2014,53.92,-0.007206905
18/02/2014,54.31,0.008320285
14/02/2014,53.86,-0.003891416
13/02/2014,54.07,0.009663707
12/02/2014,53.55,0.008062292
11/02/2014,53.12,0.001695714
10/02/2014,53.03,-0.012741413
07/02/2014,53.71,0.023167059
06/02/2014,52.48,0.021183153
05/02/2014,51.38,0.008404232
04/02/2014,50.95,0.041681048
03/02/2014,48.87,-0.036762199
31/01/2014,50.7,-0.019918643
30/01/2014,51.72,0.013822862
29/01/2014,51.01,0.000980681
28/01/2014,50.96,0.01144674
27/01/2014,50.38,-0.009089175
24/01/2014,50.84,-0.046314358
23/01/2014,53.25,-0.004683849
22/01/2014,53.5,0.004683849
21/01/2014,53.25,0.009623624
17/01/2014,52.74,0.003799397
16/01/2014,52.54,0.002668193
15/01/2014,52.4,-0.000763068
14/01/2014,52.44,0.007657005
13/01/2014,52.04,-0.01827926
10/01/2014,53,-0.000377287
09/01/2014,53.02,0.000377287
08/01/2014,53,0.000943842
07/01/2014,52.95,0.00189036
06/01/2014,52.85,-0.005660392
03/01/2014,53.15,0.002826191
02/01/2014,53,-0.012748579
31/12/2013,53.68,0.007291796
30/12/2013,53.29,0.010184924
27/12/2013,52.75,0.001707618
26/12/2013,52.66,0.003614576
24/12/2013,52.47,-0.000381098
23/12/2013,52.49,-0.003233479
20/12/2013,52.66,0.008965248
19/12/2013,52.19,-0.002105465
18/12/2013,52.3,0.024190826
17/12/2013,51.05,-0.004300241
16/12/2013,51.27,0.00960321
13/12/2013,50.78,0.00552924
12/12/2013,50.5,0
11/12/2013,50.5,-0.014547141
10/12/2013,51.24,0.007443717
09/12/2013,50.86,-0.000393159
06/12/2013,50.88,0.021454935
05/12/2013,49.8,-0.012967763
04/12/2013,50.45,-0.004548609
03/12/2013,50.68,0.001579779
02/12/2013,50.6,-0.001579779
29/11/2013,50.68,-0.003152091
27/11/2013,50.84,0.000196715
26/11/2013,50.83,0.000590377
25/11/2013,50.8,-0.003537044
22/11/2013,50.98,0
21/11/2013,50.98,0.006099379
20/11/2013,50.67,0.000789734
19/11/2013,50.63,0.000790358
18/11/2013,50.59,-0.006894541
15/11/2013,50.94,0.01145126
14/11/2013,50.36,0.018235151
13/11/2013,49.45,0.01507771
12/11/2013,48.71,0.010732817
11/11/2013,48.19,-0.002694023
08/11/2013,48.32,0.013962924
07/11/2013,47.65,-0.017681168
06/11/2013,48.5,0.000412456
05/11/2013,48.48,-0.001236859
04/11/2013,48.54,-0.000205994
01/11/2013,48.55,-0.004111003
31/10/2013,48.75,-0.000820176
30/10/2013,48.79,-0.009790003
29/10/2013,49.27,0.048445186
