Date,Close,LSI
04/04/2014,11.07,-0.000902935
03/04/2014,11.08,0
02/04/2014,11.08,0.000902935
01/04/2014,11.07,0
31/03/2014,11.07,0
28/03/2014,11.07,0
27/03/2014,11.07,0
26/03/2014,11.07,-0.001805055
25/03/2014,11.09,0.00090212
24/03/2014,11.08,0.002711253
21/03/2014,11.05,0
20/03/2014,11.05,-0.002711253
19/03/2014,11.08,0
18/03/2014,11.08,0
17/03/2014,11.08,-0.00090212
14/03/2014,11.09,0.001805055
13/03/2014,11.07,-0.000902935
12/03/2014,11.08,-0.00090212
11/03/2014,11.09,0.00090212
10/03/2014,11.08,0
07/03/2014,11.08,0
06/03/2014,11.08,0.000902935
05/03/2014,11.07,-0.000902935
04/03/2014,11.08,0.001806685
03/03/2014,11.06,-0.002708805
28/02/2014,11.09,0.001805055
27/02/2014,11.07,0
26/02/2014,11.07,-0.000902935
25/02/2014,11.08,-0.001803427
24/02/2014,11.1,0.001803427
21/02/2014,11.08,-0.00090212
20/02/2014,11.09,-0.000901307
19/02/2014,11.1,0.000901307
18/02/2014,11.09,0
14/02/2014,11.09,-0.000901307
13/02/2014,11.1,0.001803427
12/02/2014,11.08,0
11/02/2014,11.08,0.000902935
10/02/2014,11.07,0.000903751
07/02/2014,11.06,0.000904568
06/02/2014,11.05,0.000905387
05/02/2014,11.04,0.000906208
04/02/2014,11.03,0.001814883
03/02/2014,11.01,-0.001814883
31/01/2014,11.03,0
30/01/2014,11.03,0
29/01/2014,11.03,0.00090703
28/01/2014,11.02,0
27/01/2014,11.02,0.001816531
24/01/2014,11,-0.00272356
23/01/2014,11.03,0.00272356
22/01/2014,11,-0.000908678
21/01/2014,11.01,0.000908678
17/01/2014,11,-0.001816531
16/01/2014,11.02,-0.00090703
15/01/2014,11.03,0.003633065
14/01/2014,10.99,0.001821494
13/01/2014,10.97,0
10/01/2014,10.97,-0.000911162
09/01/2014,10.98,-0.000910332
08/01/2014,10.99,0
07/01/2014,10.99,-0.00544466
06/01/2014,11.05,0.001811595
03/01/2014,11.03,0.003633065
02/01/2014,10.99,-0.004539272
31/12/2013,11.04,0.001813237
30/12/2013,11.02,0.000907853
27/12/2013,11.01,0.002728515
26/12/2013,10.98,-0.000910332
24/12/2013,10.99,-0.001818182
23/12/2013,11.01,0.006378154
20/12/2013,10.94,0.000914495
19/12/2013,10.93,0.000915332
18/12/2013,10.92,0
17/12/2013,10.92,-0.003656311
16/12/2013,10.96,0.3261245
13/12/2013,7.91,-0.003785493
12/12/2013,7.94,-0.006277485
11/12/2013,7.99,-0.017370164
10/12/2013,8.13,0.003696862
09/12/2013,8.1,0
06/12/2013,8.1,0.019950786
05/12/2013,7.94,-0.006277485
04/12/2013,7.99,-0.002500001
03/12/2013,8.01,-0.007462721
02/12/2013,8.07,0
29/11/2013,8.07,-0.00123839
27/11/2013,8.08,0.007453451
26/11/2013,8.02,-0.002490661
25/11/2013,8.04,-0.003724399
22/11/2013,8.07,0.007462721
21/11/2013,8.01,0.007518832
20/11/2013,7.95,0.006309169
19/11/2013,7.9,-0.034829391
18/11/2013,8.18,-0.004878058
15/11/2013,8.22,0.001217286
14/11/2013,8.21,-0.014510533
13/11/2013,8.33,0.007228947
12/11/2013,8.27,0.003634165
11/11/2013,8.24,-0.001212856
08/11/2013,8.25,0.014652277
07/11/2013,8.13,-0.019489046
06/11/2013,8.29,0.003625382
05/11/2013,8.26,-0.007237667
04/11/2013,8.32,-0.015504187
01/11/2013,8.45,-0.003544008
31/10/2013,8.48,0.001179941
30/10/2013,8.47,0.054592087
29/10/2013,8.02,0.017610518
28/10/2013,7.88,0.011487044
25/10/2013,7.79,0.011620531
24/10/2013,7.7,-0.001297859
23/10/2013,7.71,-0.028134848
22/10/2013,7.93,0.00126183
21/10/2013,7.92,-0.008799554
18/10/2013,7.99,0.006277485
17/10/2013,7.94,0.011399743
16/10/2013,7.85,0.027115929
15/10/2013,7.64,-0.013004084
14/10/2013,7.74,0.006480904
11/10/2013,7.69,0
10/10/2013,7.69,0.025017763
09/10/2013,7.5,-0.014560151
08/10/2013,7.61,-0.027221383
07/10/2013,7.82,-0.007643349
04/10/2013,7.88,0
03/10/2013,7.88,-0.012610508
02/10/2013,7.98,0.007547206
01/10/2013,7.92,0.011428696
30/09/2013,7.83,-0.007633625
27/09/2013,7.89,0.005082603
26/09/2013,7.85,-0.005082603
25/09/2013,7.89,0.010191171
24/09/2013,7.81,-0.001279591
23/09/2013,7.82,-0.007643349
20/09/2013,7.88,-0.007585371
19/09/2013,7.94,-0.002515725
18/09/2013,7.96,0.00756624
17/09/2013,7.9,0.001266625
16/09/2013,7.89,-0.001266625
13/09/2013,7.9,-0.005050516
12/09/2013,7.94,-0.006277485
11/09/2013,7.99,-0.001250782
10/09/2013,8,0.025317808
09/09/2013,7.8,0.0051414
06/09/2013,7.76,-0.002574004
05/09/2013,7.78,0.005154651
04/09/2013,7.74,0.02883555
03/09/2013,7.52,0.014735699
30/08/2013,7.41,-0.016064603
29/08/2013,7.53,0
28/08/2013,7.53,0.003992021
27/08/2013,7.5,-0.011928571
26/08/2013,7.59,0
23/08/2013,7.59,0.017276177
22/08/2013,7.46,0.010781776
21/08/2013,7.38,-0.010781776
20/08/2013,7.46,0.013495481
19/08/2013,7.36,-0.016172859
16/08/2013,7.48,-0.002670229
15/08/2013,7.5,-0.025017763
14/08/2013,7.69,-0.01420295
13/08/2013,7.8,0.015504187
12/08/2013,7.68,0.003913899
09/08/2013,7.65,-0.002610968
08/08/2013,7.67,0.007853444
07/08/2013,7.61,-0.009156375
06/08/2013,7.68,-0.018065007
05/08/2013,7.82,0.002560821
02/08/2013,7.8,-0.007662873
01/08/2013,7.86,0.010230268
31/07/2013,7.78,-0.007682496
30/07/2013,7.84,0.023226851
29/07/2013,7.66,-0.001304632
26/07/2013,7.67,0.003919012
25/07/2013,7.64,0.029218546
24/07/2013,7.42,-0.02396919
23/07/2013,7.6,-0.015666117
22/07/2013,7.72,0.002594035
19/07/2013,7.7,0
18/07/2013,7.7,0.011757157
17/07/2013,7.61,0
16/07/2013,7.61,0.003949972
15/07/2013,7.58,0.005291018
12/07/2013,7.54,0.003986716
11/07/2013,7.51,0.02425995
10/07/2013,7.33,0.00547197
09/07/2013,7.29,0
08/07/2013,7.29,-0.012270093
05/07/2013,7.38,0.019152432
03/07/2013,7.24,0.00554018
02/07/2013,7.2,0.004175371
01/07/2013,7.17,0.004192878
28/06/2013,7.14,0.019802627
27/06/2013,7,0.014388737
26/06/2013,6.9,0.004357305
25/06/2013,6.87,0.010241494
24/06/2013,6.8,-0.031840606
21/06/2013,7.02,-0.005681833
20/06/2013,7.06,-0.030685811
19/06/2013,7.28,-0.016349138
18/06/2013,7.4,-0.001350439
17/06/2013,7.41,0.013587166
14/06/2013,7.31,-0.006816659
13/06/2013,7.36,0.02476055
12/06/2013,7.18,0.004187026
11/06/2013,7.15,-0.028947576
10/06/2013,7.36,0
07/06/2013,7.36,0.021978907
06/06/2013,7.2,-0.002773927
05/06/2013,7.22,-0.024625047
04/06/2013,7.4,-0.001350439
03/06/2013,7.41,0
31/05/2013,7.41,-0.021362628
30/05/2013,7.57,0.025419429
29/05/2013,7.38,0.002713706
28/05/2013,7.36,0.01920498
24/05/2013,7.22,0.012543718
23/05/2013,7.13,0.011283618
22/05/2013,7.05,-0.022441334
21/05/2013,7.21,-0.001386002
20/05/2013,7.22,-0.001384083
17/05/2013,7.23,0.015331311
16/05/2013,7.12,0.004222385
15/05/2013,7.09,0.008498635
14/05/2013,7.03,0.028862032
