Date,Close,DOW
04/04/2014,48.69,-0.017710387
03/04/2014,49.56,-0.006836946
02/04/2014,49.9,0.003814883
01/04/2014,49.71,0.022788372
31/03/2014,48.59,0.008058727
28/03/2014,48.2,0.004366365
27/03/2014,47.99,-0.029564871
26/03/2014,49.43,-0.024184251
25/03/2014,50.64,0.009523882
24/03/2014,50.16,-0.000996314
21/03/2014,50.21,-0.000597312
20/03/2014,50.24,0.012619096
19/03/2014,49.61,-0.001208703
18/03/2014,49.67,0.013580831
17/03/2014,49,0.007168489
14/03/2014,48.65,-0.00184824
13/03/2014,48.74,-0.005932307
12/03/2014,49.03,-0.004680037
11/03/2014,49.26,-0.01150482
10/03/2014,49.83,0.006442543
07/03/2014,49.51,-0.005438628
06/03/2014,49.78,-0.002608087
05/03/2014,49.91,0.009057121
04/03/2014,49.46,0.020838343
03/03/2014,48.44,-0.005558429
28/02/2014,48.71,0.004114386
27/02/2014,48.51,0.014116905
26/02/2014,47.83,0.012835526
25/02/2014,47.22,0.005734326
24/02/2014,46.95,-0.00021297
21/02/2014,46.96,-0.003825722
20/02/2014,47.14,0.014960741
19/02/2014,46.44,-0.007294604
18/02/2014,46.78,0.001497487
14/02/2014,46.71,0.008816313
13/02/2014,46.3,-0.001510737
12/02/2014,46.37,-0.01008484
11/02/2014,46.84,0.021580466
10/02/2014,45.84,0.005249356
07/02/2014,45.6,0.000219322
06/02/2014,45.59,0.016364806
05/02/2014,44.85,-0.002449617
04/02/2014,44.96,0.006023443
03/02/2014,44.69,-0.018182319
31/01/2014,45.51,0.004404323
30/01/2014,45.31,0.012883341
29/01/2014,44.73,0.038049926
28/01/2014,43.06,-0.000928505
27/01/2014,43.1,-0.007166832
24/01/2014,43.41,-0.029731
23/01/2014,44.72,-0.021239737
22/01/2014,45.68,-0.005457933
21/01/2014,45.93,0.064291799
17/01/2014,43.07,-0.000464253
16/01/2014,43.09,0.000928721
15/01/2014,43.05,0.009334957
14/01/2014,42.65,0.017980139
13/01/2014,41.89,-0.01938595
10/01/2014,42.71,0.002578832
09/01/2014,42.6,-0.013059887
08/01/2014,43.16,0.001159152
07/01/2014,43.11,-0.011072777
06/01/2014,43.59,-0.001833601
03/01/2014,43.67,-0.004569348
02/01/2014,43.87,-0.012008754
31/12/2013,44.4,-0.00449439
30/12/2013,44.6,0
27/12/2013,44.6,-0.00581267
26/12/2013,44.86,0.009856711
24/12/2013,44.42,0.012231183
23/12/2013,43.88,0.002281543
20/12/2013,43.78,-0.002737228
19/12/2013,43.9,0.008923523
18/12/2013,43.51,0.030570576
17/12/2013,42.2,0.014320054
16/12/2013,41.6,0.001924928
13/12/2013,41.52,0.018474031
12/12/2013,40.76,-0.007089628
