Date,Close,BRCM
04/04/2014,30.68,-0.01712758
03/04/2014,31.21,-0.000640615
02/04/2014,31.23,-0.009243094
01/04/2014,31.52,0.001587554
31/03/2014,31.47,0.014080233
28/03/2014,31.03,0.005493632
27/03/2014,30.86,-0.026855834
26/03/2014,31.7,-0.003149609
25/03/2014,31.8,0.006309169
24/03/2014,31.6,0.010178205
21/03/2014,31.28,-0.001916321
20/03/2014,31.34,0.01543439
19/03/2014,30.86,0.001297017
18/03/2014,30.82,0.011421237
17/03/2014,30.47,0.017547214
14/03/2014,29.94,-0.007321164
13/03/2014,30.16,-0.01481021
12/03/2014,30.61,0.005897789
11/03/2014,30.43,-0.00752991
10/03/2014,30.66,0.002939738
07/03/2014,30.57,0.007881814
06/03/2014,30.33,0.003302513
05/03/2014,30.23,0.003645406
04/03/2014,30.12,0.012024193
03/03/2014,29.76,0.00168152
28/02/2014,29.71,-0.014369504
27/02/2014,30.14,0.003989367
26/02/2014,30.02,-0.010603148
25/02/2014,30.34,-0.013097764
24/02/2014,30.74,-0.000650407
21/02/2014,30.76,-0.006157854
20/02/2014,30.95,0.004858309
19/02/2014,30.8,-0.011299555
18/02/2014,31.15,-0.004803852
14/02/2014,31.3,0.005124931
13/02/2014,31.14,0.010653854
12/02/2014,30.81,0.000649351
11/02/2014,30.79,0.006516804
10/02/2014,30.59,0.004258811
07/02/2014,30.46,0.034739632
06/02/2014,29.42,0.014723772
05/02/2014,28.99,-0.007217766
04/02/2014,29.2,0.013793322
03/02/2014,28.8,-0.032789823
31/01/2014,29.76,0.018654094
30/01/2014,29.21,0.017962486
29/01/2014,28.69,-0.009366938
28/01/2014,28.96,-0.010989122
27/01/2014,29.28,-0.003749791
24/01/2014,29.39,-0.012846695
23/01/2014,29.77,-0.010359324
22/01/2014,30.08,0.019470236
21/01/2014,29.5,0.017094433
17/01/2014,29,-0.010632925
16/01/2014,29.31,-0.005783313
15/01/2014,29.48,0.002377315
14/01/2014,29.41,0.023741008
13/01/2014,28.72,-0.006593812
10/01/2014,28.91,-0.01510499
09/01/2014,29.35,-0.005436643
08/01/2014,29.51,0.01056048
07/01/2014,29.2,0.004461995
06/01/2014,29.07,0.003445903
03/01/2014,28.97,-0.000690131
02/01/2014,28.99,-0.022511183
31/12/2013,29.65,0.013924491
30/12/2013,29.24,-0.001708526
27/12/2013,29.29,0.003762618
26/12/2013,29.18,0.000685636
24/12/2013,29.16,0.004468129
23/12/2013,29.03,0.015972562
20/12/2013,28.57,-0.005932664
19/12/2013,28.74,0.004883163
18/12/2013,28.6,0.006665522
17/12/2013,28.41,0.001056524
16/12/2013,28.38,0.013123082
13/12/2013,28.01,-0.01100668
12/12/2013,28.32,-0.012631747
11/12/2013,28.68,0.005945113
10/12/2013,28.51,0.022345317
09/12/2013,27.88,0.012633267
06/12/2013,27.53,0.008389617
05/12/2013,27.3,0.01587628
04/12/2013,26.87,-0.003714715
03/12/2013,26.97,-0.000370714
02/12/2013,26.98,0.010806887
29/11/2013,26.69,0.003753758
27/11/2013,26.59,0.007550055
26/11/2013,26.39,-0.00453687
25/11/2013,26.51,0.006053745
22/11/2013,26.35,-0.004921456
21/11/2013,26.48,0.012158204
20/11/2013,26.16,-0.009132484
19/11/2013,26.4,-0.00867439
18/11/2013,26.63,-0.015648605
15/11/2013,27.05,0.004074834
14/11/2013,26.94,-0.023478701
13/11/2013,27.58,0.012771566
12/11/2013,27.23,0.024536547
11/11/2013,26.57,0.002638027
08/11/2013,26.5,0.007195638
07/11/2013,26.31,-0.015463254
06/11/2013,26.72,0.009400332
05/11/2013,26.47,-0.005275069
04/11/2013,26.61,-0.005994773
01/11/2013,26.77,0.001869509
31/10/2013,26.72,-0.027318052
30/10/2013,27.46,-0.007256926
29/10/2013,27.66,0.022670075
28/10/2013,27.04,0.023574525
25/10/2013,26.41,0.004554088
24/10/2013,26.29,-0.002659071
23/10/2013,26.36,-0.029160945
22/10/2013,27.14,-0.00661038
21/10/2013,27.32,0.005873732
18/10/2013,27.16,0.004058297
17/10/2013,27.05,0.001479837
16/10/2013,27.01,0.018685148
15/10/2013,26.51,-0.006392201
14/10/2013,26.68,0.006392201
11/10/2013,26.51,-0.007141545
10/10/2013,26.7,0.020814375
09/10/2013,26.15,0.002680453
08/10/2013,26.08,-0.015975996
07/10/2013,26.5,-0.005269113
04/10/2013,26.64,0.015128882
03/10/2013,26.24,-0.006079046
02/10/2013,26.4,-0.001892148
01/10/2013,26.45,0.016390685
30/09/2013,26.02,0.006941794
27/09/2013,25.84,-0.020303321
26/09/2013,26.37,-0.015801683
25/09/2013,26.79,0.005239533
24/09/2013,26.65,-0.016744577
23/09/2013,27.1,-0.008817103
20/09/2013,27.34,0
19/09/2013,27.34,-0.011274897
18/09/2013,27.65,0.00725956
17/09/2013,27.45,0.019868203
16/09/2013,26.91,0.03056265
13/09/2013,26.1,0.003069841
12/09/2013,26.02,-0.002686626
11/09/2013,26.09,-0.025356136
10/09/2013,26.76,-0.006332672
09/09/2013,26.93,0.016473604
06/09/2013,26.49,-0.012380575
05/09/2013,26.82,0.034133006
04/09/2013,25.92,0.028964843
03/09/2013,25.18,-0.003172088
30/08/2013,25.26,0.000395961
29/08/2013,25.25,0.013155462
28/08/2013,24.92,0.002410608
