Date,Close,HRB
04/04/2014,29.51,-0.015467692
03/04/2014,29.97,-0.030559303
02/04/2014,30.9,0.000971345
01/04/2014,30.87,0.022274095
31/03/2014,30.19,-0.005615209
28/03/2014,30.36,0.06041878
27/03/2014,28.58,-0.015622606
26/03/2014,29.03,-0.003438793
25/03/2014,29.13,-0.013976706
24/03/2014,29.54,-0.016118549
21/03/2014,30.02,0.007019919
20/03/2014,29.81,0.008421812
19/03/2014,29.56,-0.000676361
18/03/2014,29.58,-0.008751318
17/03/2014,29.84,0.01587603
14/03/2014,29.37,-0.016211095
13/03/2014,29.85,-0.011988156
12/03/2014,30.21,-0.002314433
11/03/2014,30.28,-0.008549871
10/03/2014,30.54,0.004923693
07/03/2014,30.39,-0.018582442
06/03/2014,30.96,-0.005475936
05/03/2014,31.13,-0.014035318
04/03/2014,31.57,-0.01165184
03/03/2014,31.94,0.009437
28/02/2014,31.64,-0.001579031
27/02/2014,31.69,-0.000630915
26/02/2014,31.71,-0.015023757
25/02/2014,32.19,0.020082256
24/02/2014,31.55,0.015009063
21/02/2014,31.08,-0.014374948
20/02/2014,31.53,0.00381316
19/02/2014,31.41,0.01410732
18/02/2014,30.97,-0.003223729
14/02/2014,31.07,0.011003347
13/02/2014,30.73,0.007840615
12/02/2014,30.49,-0.008491233
11/02/2014,30.75,0.034069774
10/02/2014,29.72,0.002020883
07/02/2014,29.66,0.010166133
06/02/2014,29.36,0.00375363
05/02/2014,29.25,-0.012570235
04/02/2014,29.62,0.010179932
03/02/2014,29.32,-0.036172731
31/01/2014,30.4,0.009253205
30/01/2014,30.12,0.033420832
29/01/2014,29.13,-0.006160184
28/01/2014,29.31,0.001365654
27/01/2014,29.27,0.041505522
24/01/2014,28.08,-0.032238251
23/01/2014,29,-0.011655943
22/01/2014,29.34,0.019271071
21/01/2014,28.78,-0.008649077
17/01/2014,29.03,0.007607229
16/01/2014,28.81,-0.017547328
15/01/2014,29.32,-0.009842265
14/01/2014,29.61,0.00677739
13/01/2014,29.41,-0.02981296
10/01/2014,30.3,0.008950831
09/01/2014,30.03,0.009703941
08/01/2014,29.74,0.04364204
07/01/2014,28.47,-0.000351185
06/01/2014,28.48,-0.027702603
03/01/2014,29.28,-0.003409482
02/01/2014,29.38,0.011639981
31/12/2013,29.04,-0.001720283
30/12/2013,29.09,0.019788877
27/12/2013,28.52,-0.014619126
26/12/2013,28.94,0.006934841
24/12/2013,28.74,-0.003126631
23/12/2013,28.83,0.0101099
20/12/2013,28.54,0.002104526
19/12/2013,28.48,0.007400915
18/12/2013,28.27,0.010311202
17/12/2013,27.98,-0.008186556
16/12/2013,28.21,0.006044463
13/12/2013,28.04,-0.003915292
12/12/2013,28.15,0.004985765
11/12/2013,28.01,-0.027813798
10/12/2013,28.8,-0.00760986
09/12/2013,29.02,0.000344649
06/12/2013,29.01,0.016333986
05/12/2013,28.54,0.001753464
04/12/2013,28.49,0.000702247
03/12/2013,28.47,0.001405976
02/12/2013,28.43,0.019176724
29/11/2013,27.89,-0.007857183
27/11/2013,28.11,0.003920875
26/11/2013,28,-0.009242867
25/11/2013,28.26,-0.015798117
22/11/2013,28.71,-0.006596101
21/11/2013,28.9,0.018509346
20/11/2013,28.37,0.000705219
19/11/2013,28.35,0.001411931
18/11/2013,28.31,-0.006688988
15/11/2013,28.5,0.011646505
