Date,Close,MRK
04/04/2014,56.12,-0.001602422
03/04/2014,56.21,-0.004437746
02/04/2014,56.46,0.001595321
01/04/2014,56.37,-0.007070915
31/03/2014,56.77,0.014013533
28/03/2014,55.98,0.004475883
27/03/2014,55.73,-0.005190168
26/03/2014,56.02,0.014926992
25/03/2014,55.19,0.025880127
24/03/2014,53.78,-0.01623053
21/03/2014,54.66,-0.016871148
20/03/2014,55.59,-0.007169774
19/03/2014,55.99,-0.006586584
18/03/2014,56.36,0.001775884
17/03/2014,56.26,0.010003656
14/03/2014,55.7,-0.001614495
13/03/2014,55.79,-0.018117725
12/03/2014,56.81,0.002114538
11/03/2014,56.69,-0.011051775
10/03/2014,57.32,-0.00261347
07/03/2014,57.47,0.003660773
06/03/2014,57.26,0.006658514
05/03/2014,56.88,-0.00315956
04/03/2014,57.06,0.01127964
03/03/2014,56.42,-0.010052108
28/02/2014,56.99,0.005807319
27/02/2014,56.66,0.006906961
26/02/2014,56.27,0.006418278
25/02/2014,55.91,-0.004817567
24/02/2014,56.18,0.00267356
21/02/2014,56.03,0.003934197
20/02/2014,55.81,0.013892871
19/02/2014,55.04,-0.011740404
18/02/2014,55.69,0.004499243
14/02/2014,55.44,0.006151639
13/02/2014,55.1,0.001816531
12/02/2014,55,-0.012646962
11/02/2014,55.7,0.014648964
10/02/2014,54.89,0.002188584
07/02/2014,54.77,0.018426908
06/02/2014,53.77,0.004473446
05/02/2014,53.53,0.000373692
04/02/2014,53.51,0.027087554
03/02/2014,52.08,-0.016944718
31/01/2014,52.97,-0.010142837
30/01/2014,53.51,0.024594505
29/01/2014,52.21,-0.012562023
28/01/2014,52.87,0.006451635
27/01/2014,52.53,0.010525406
24/01/2014,51.98,0.007337357
23/01/2014,51.6,0.004856736
22/01/2014,51.35,-0.009304196
21/01/2014,51.83,-0.002312585
17/01/2014,51.95,-0.010531452
16/01/2014,52.5,-0.00038088
15/01/2014,52.52,-0.009097864
14/01/2014,53,-0.002261592
13/01/2014,53.12,0.062933384
10/01/2014,49.88,0.007243492
09/01/2014,49.52,-0.005437532
08/01/2014,49.79,-0.006406428
07/01/2014,50.11,0.007411151
06/01/2014,49.74,0.000201066
03/01/2014,49.73,0.004837744
02/01/2014,49.49,-0.011251877
31/12/2013,50.05,0.002200221
30/12/2013,49.94,0.003008124
27/12/2013,49.79,0.001406894
26/12/2013,49.72,0.006254434
