Date,Close,MKC
04/04/2014,70.29,-0.011035766
03/04/2014,71.07,-0.003231021
02/04/2014,71.3,-0.004478037
01/04/2014,71.62,-0.001674108
31/03/2014,71.74,0.005871679
28/03/2014,71.32,0.007741611
27/03/2014,70.77,-0.004652155
26/03/2014,71.1,-0.001405482
25/03/2014,71.2,0.053217083
24/03/2014,67.51,-0.00044428
21/03/2014,67.54,0
20/03/2014,67.54,-0.001479509
19/03/2014,67.64,-0.007658358
18/03/2014,68.16,0.002644338
17/03/2014,67.98,0.00486619
14/03/2014,67.65,0.001923504
13/03/2014,67.52,-0.005906692
12/03/2014,67.92,0.010657294
11/03/2014,67.2,0.003727175
10/03/2014,66.95,-0.000597282
07/03/2014,66.99,0.002840274
06/03/2014,66.8,-0.000449001
05/03/2014,66.83,-0.002839001
04/03/2014,67.02,0.013519809
03/03/2014,66.12,-0.004225784
28/02/2014,66.4,0.006951819
27/02/2014,65.94,0.00486471
26/02/2014,65.62,-0.008799935
25/02/2014,66.2,-0.000755002
24/02/2014,66.25,0.004235372
21/02/2014,65.97,-0.002422408
20/02/2014,66.13,0.010336009
19/02/2014,65.45,-0.010487215
18/02/2014,66.14,0.009723565
14/02/2014,65.5,0.007970612
13/02/2014,64.98,0.010675432
12/02/2014,64.29,-0.004655502
11/02/2014,64.59,0.010427299
10/02/2014,63.92,0.013862856
07/02/2014,63.04,-0.000475775
06/02/2014,63.07,-0.005849357
05/02/2014,63.44,-0.00126024
04/02/2014,63.52,0.007744013
03/02/2014,63.03,-0.018080832
31/01/2014,64.18,-0.008533137
30/01/2014,64.73,-0.008767264
29/01/2014,65.3,-0.064059846
28/01/2014,69.62,0.007063092
27/01/2014,69.13,0.002027223
24/01/2014,68.99,-0.006357484
23/01/2014,69.43,-0.008461865
22/01/2014,70.02,0.001143184
21/01/2014,69.94,0.014256127
17/01/2014,68.95,-0.009095565
16/01/2014,69.58,-0.002440251
15/01/2014,69.75,-0.00286328
14/01/2014,69.95,0.010346406
13/01/2014,69.23,-0.003172775
10/01/2014,69.45,0.008241209
09/01/2014,68.88,0.010801448
08/01/2014,68.14,-0.010801448
07/01/2014,68.88,0.008895429
06/01/2014,68.27,-0.004092975
03/01/2014,68.55,0.003068159
02/01/2014,68.34,-0.008451165
31/12/2013,68.92,-0.003187023
30/12/2013,69.14,0.005511254
27/12/2013,68.76,-0.002759424
26/12/2013,68.95,0.003923568
24/12/2013,68.68,0.004377652
23/12/2013,68.38,-0.003357912
20/12/2013,68.61,0.003065472
19/12/2013,68.4,0.005130096
18/12/2013,68.05,0.008411471
17/12/2013,67.48,-0.003254922
16/12/2013,67.7,0.000591017
13/12/2013,67.66,-0.00515959
12/12/2013,68.01,-0.013581808
11/12/2013,68.94,0.006256841
10/12/2013,68.51,-0.019799765
09/12/2013,69.88,0.007324988
06/12/2013,69.37,0.019652718
05/12/2013,68.02,-0.008344972
04/12/2013,68.59,-0.00363822
03/12/2013,68.84,-0.001016334
02/12/2013,68.91,-0.001305199
29/11/2013,69,-0.00563626
27/11/2013,69.39,0.00360933
26/11/2013,69.14,0.005075049
25/11/2013,68.79,-0.008251947
22/11/2013,69.36,0.006218836
21/11/2013,68.93,0.0046532
20/11/2013,68.61,-0.010150899
19/11/2013,69.31,-0.00675824
18/11/2013,69.78,-0.004432695
15/11/2013,70.09,-0.001568181
14/11/2013,70.2,0.005714301
13/11/2013,69.8,0.008777666
12/11/2013,69.19,0.001012219
11/11/2013,69.12,0.000289394
08/11/2013,69.1,0.002753425
07/11/2013,68.91,-0.017834501
06/11/2013,70.15,0.014936368
05/11/2013,69.11,0.002027811
04/11/2013,68.97,0.003776878
01/11/2013,68.71,-0.006383309
31/10/2013,69.15,-0.002166848
30/10/2013,69.3,-0.009621673
29/10/2013,69.97,0.005158344
