Date,Close,LEG
04/04/2014,32.57,-0.001840491
03/04/2014,32.63,-0.002448731
02/04/2014,32.71,0.005518101
01/04/2014,32.53,-0.00337579
31/03/2014,32.64,0.012640834
28/03/2014,32.23,0.017527835
27/03/2014,31.67,-0.002837776
26/03/2014,31.76,-0.002515725
25/03/2014,31.84,0
24/03/2014,31.84,-0.00344882
21/03/2014,31.95,-0.005306708
20/03/2014,32.12,0.008127585
19/03/2014,31.86,-0.011236073
18/03/2014,32.22,0.014694652
17/03/2014,31.75,0.008858014
14/03/2014,31.47,0.008616616
13/03/2014,31.2,-0.029060794
12/03/2014,32.12,0.001557875
11/03/2014,32.07,-0.000311769
10/03/2014,32.08,-0.000311672
07/03/2014,32.09,-0.001867996
06/03/2014,32.15,0.00624027
05/03/2014,31.95,-0.002500783
04/03/2014,32.03,0.010040875
03/03/2014,31.71,-0.010665095
28/02/2014,32.05,0.00062422
27/02/2014,32.03,0.003753523
26/02/2014,31.91,0.021220115
25/02/2014,31.24,-0.003833871
24/02/2014,31.36,-0.000956175
21/02/2014,31.39,0.000318624
20/02/2014,31.38,0.004791576
19/02/2014,31.23,0.007714599
18/02/2014,30.99,-0.003221652
14/02/2014,31.09,0.009046911
13/02/2014,30.81,0.008802013
12/02/2014,30.54,0.000982801
11/02/2014,30.51,0.006246938
10/02/2014,30.32,-0.001318392
07/02/2014,30.36,0.014264631
06/02/2014,29.93,0.019568776
05/02/2014,29.35,-0.003061748
04/02/2014,29.44,0.012991636
03/02/2014,29.06,-0.032501168
31/01/2014,30.02,0.005009194
30/01/2014,29.87,0.010770888
29/01/2014,29.55,-0.005399946
28/01/2014,29.71,0.007432467
27/01/2014,29.49,-0.009785804
24/01/2014,29.78,-0.030099841
23/01/2014,30.69,0.012789156
22/01/2014,30.3,-0.003952574
21/01/2014,30.42,0.022271155
17/01/2014,29.75,-0.01169604
16/01/2014,30.1,-0.004309637
15/01/2014,30.23,0.006637927
14/01/2014,30.03,0.008024115
13/01/2014,29.79,-0.01961173
10/01/2014,30.38,0.003627374
09/01/2014,30.27,-0.003298156
08/01/2014,30.37,-0.002302254
07/01/2014,30.44,0.004279842
06/01/2014,30.31,-0.013110643
03/01/2014,30.71,0.001629461
02/01/2014,30.66,-0.009090972
31/12/2013,30.94,-0.00451468
30/12/2013,31.08,0.000643708
27/12/2013,31.06,0.001933613
26/12/2013,31,0.000968211
24/12/2013,30.97,-0.000645578
23/12/2013,30.99,0.014299886
20/12/2013,30.55,0.009537977
19/12/2013,30.26,-0.003299244
18/12/2013,30.36,0.033152207
17/12/2013,29.37,-0.003738322
16/12/2013,29.48,0.011257155
13/12/2013,29.15,0.001716739
12/12/2013,29.1,0.005513453
11/12/2013,28.94,-0.023900079
10/12/2013,29.64,-0.007394992
09/12/2013,29.86,0.006720455
06/12/2013,29.66,0.01528822
05/12/2013,29.21,-0.00478143
04/12/2013,29.35,-0.009157263
03/12/2013,29.62,-0.000674992
02/12/2013,29.64,-0.019048195
29/11/2013,30.21,0.004312496
27/11/2013,30.08,-0.010582109
26/11/2013,30.4,0.011579947
25/11/2013,30.05,-0.000665336
22/11/2013,30.07,0.004666675
21/11/2013,29.93,0.010411513
20/11/2013,29.62,-0.005387218
19/11/2013,29.78,-0.001342282
18/11/2013,29.82,0
15/11/2013,29.82,0.011128087
14/11/2013,29.49,0
13/11/2013,29.49,0.003056548
12/11/2013,29.4,0.000340194
11/11/2013,29.39,0.00034031
08/11/2013,29.38,0.009232413
07/11/2013,29.11,-0.016692604
06/11/2013,29.6,0.000337895
05/11/2013,29.59,-0.005392666
04/11/2013,29.75,0.008438869
01/11/2013,29.5,-0.008102678
31/10/2013,29.74,-0.009703941
30/10/2013,30.03,-0.010599636
29/10/2013,30.35,0.015941885
28/10/2013,29.87,-0.015941885
25/10/2013,30.35,0.016946742
24/10/2013,29.84,0.005713341
23/10/2013,29.67,0
22/10/2013,29.67,0.010162689
21/10/2013,29.37,0.002386229
18/10/2013,29.3,-0.00170503
17/10/2013,29.35,0.00170503
16/10/2013,29.3,0.004103973
15/10/2013,29.18,-0.016652891
14/10/2013,29.67,-0.001010612
11/10/2013,29.7,0.005063302
10/10/2013,29.55,0.017753966
09/10/2013,29.03,0.013525436
08/10/2013,28.64,-0.01559013
07/10/2013,29.09,-0.017379889
04/10/2013,29.6,0.000675904
03/10/2013,29.58,-0.021074538
02/10/2013,30.21,-0.007912999
01/10/2013,30.45,0.009901071
30/09/2013,30.15,-0.006941029
27/09/2013,30.36,-0.010810916
26/09/2013,30.69,0.002610116
25/09/2013,30.61,0.001307617
24/09/2013,30.57,0.008541445
23/09/2013,30.31,-0.007886995
20/09/2013,30.55,-0.009123556
19/09/2013,30.83,-0.013211083
18/09/2013,31.24,0.014184635
17/09/2013,30.8,-0.001297859
16/09/2013,30.84,0.006179886
13/09/2013,30.65,0.000652742
12/09/2013,30.63,0.001960785
11/09/2013,30.57,0.010192428
10/09/2013,30.26,0.0009919
09/09/2013,30.23,0.028180328
06/09/2013,29.39,0.005801074
05/09/2013,29.22,0.002055499
04/09/2013,29.16,0.010341354
03/09/2013,28.86,-0.002076844
30/08/2013,28.92,-0.00826451
29/08/2013,29.16,0.004468129
28/08/2013,29.03,-0.001376937
27/08/2013,29.07,-0.02042972
26/08/2013,29.67,0
23/08/2013,29.67,0.005746171
22/08/2013,29.5,0.00475706
21/08/2013,29.36,-0.016886588
20/08/2013,29.86,0.001675884
19/08/2013,29.81,-0.014982801
16/08/2013,30.26,0.013306916
15/08/2013,29.86,-0.015287769
14/08/2013,30.32,-0.015057568
13/08/2013,30.78,-0.006153866
12/08/2013,30.97,0.001939238
09/08/2013,30.91,-0.002584816
08/08/2013,30.99,0.006799443
07/08/2013,30.78,-0.013873428
06/08/2013,31.21,-0.01620884
05/08/2013,31.72,-0.006285376
02/08/2013,31.92,0.002195391
01/08/2013,31.85,0.013911068
31/07/2013,31.41,0.010240089
30/07/2013,31.09,0.010671079
29/07/2013,30.76,0.00162681
26/07/2013,30.71,-0.032043754
25/07/2013,31.71,0.005692615
