Date,Close,TRIP
04/04/2014,85.69,-0.063414655
03/04/2014,91.3,-0.041408898
02/04/2014,95.16,-0.004089985
01/04/2014,95.55,0.053305839
31/03/2014,90.59,0.00597876
28/03/2014,90.05,0.001111111
27/03/2014,89.95,-0.030222381
26/03/2014,92.71,-0.039859391
25/03/2014,96.48,-0.011336821
24/03/2014,97.58,-0.039484761
21/03/2014,101.51,-0.018060724
20/03/2014,103.36,-0.0038625
19/03/2014,103.76,-0.01378276
18/03/2014,105.2,0.006389189
17/03/2014,104.53,0.015230678
14/03/2014,102.95,-0.002522314
13/03/2014,103.21,-0.033161686
12/03/2014,106.69,0.018541823
11/03/2014,104.73,-0.026477262
10/03/2014,107.54,-0.004823757
07/03/2014,108.06,-0.002956942
06/03/2014,108.38,0.010014921
05/03/2014,107.3,0.003828381
04/03/2014,106.89,0.061145152
03/03/2014,100.55,0.003087806
28/02/2014,100.24,0.005201052
27/02/2014,99.72,-0.004602309
26/02/2014,100.18,-0.00854791
25/02/2014,101.04,0.027899451
24/02/2014,98.26,0.013731131
21/02/2014,96.92,0.001238902
20/02/2014,96.8,0.031908668
19/02/2014,93.76,0.004382456
18/02/2014,93.35,0.022752878
14/02/2014,91.25,-0.011441149
13/02/2014,92.3,0.022238962
12/02/2014,90.27,0.069610258
11/02/2014,84.2,0.001783061
10/02/2014,84.05,-0.004747783
07/02/2014,84.45,0.09053769
06/02/2014,77.14,0.012785562
05/02/2014,76.16,-0.002753558
04/02/2014,76.37,0.032741812
03/02/2014,73.91,-0.043421778
31/01/2014,77.19,-0.007742973
30/01/2014,77.79,0.014502391
29/01/2014,76.67,-0.014245255
28/01/2014,77.77,-0.001798562
27/01/2014,77.91,-0.030962226
24/01/2014,80.36,-0.012121361
23/01/2014,81.34,-0.01379669
22/01/2014,82.47,0.011831571
21/01/2014,81.5,-0.029022593
17/01/2014,83.9,-0.01019812
16/01/2014,84.76,0.004967485
15/01/2014,84.34,0.000355766
14/01/2014,84.31,-0.001659161
