Date,Close,DVN
04/04/2014,68.01,-0.007324967
03/04/2014,68.51,0.009090972
02/04/2014,67.89,0.003098033
01/04/2014,67.68,0.011143418
31/03/2014,66.93,0.017179446
28/03/2014,65.79,0.016861221
27/03/2014,64.69,0.010723547
26/03/2014,64,0.000625195
25/03/2014,63.96,0.000782044
24/03/2014,63.91,-0.002812502
21/03/2014,64.09,0.012561007
20/03/2014,63.29,-0.002682447
19/03/2014,63.46,-0.000472627
18/03/2014,63.49,0.01092734
17/03/2014,62.8,0.000955871
14/03/2014,62.74,0.002393682
13/03/2014,62.59,-0.007798241
12/03/2014,63.08,-0.007423236
11/03/2014,63.55,-0.015303234
10/03/2014,64.53,-0.009255041
07/03/2014,65.13,0.009410019
06/03/2014,64.52,0.000775254
05/03/2014,64.47,-0.002633415
04/03/2014,64.64,0.013393753
03/03/2014,63.78,-0.009984482
28/02/2014,64.42,0.001709004
27/02/2014,64.31,0.009059731
26/02/2014,63.73,-0.002820434
25/02/2014,63.91,-0.007171842
24/02/2014,64.37,0.010934192
21/02/2014,63.67,-0.01388153
20/02/2014,64.56,0.0048133
19/02/2014,64.25,0.02107659
18/02/2014,62.91,0.013764622
14/02/2014,62.05,-0.003539257
13/02/2014,62.27,0.01765943
12/02/2014,61.18,-0.005867031
11/02/2014,61.54,0.012097581
10/02/2014,60.8,-0.00361189
07/02/2014,61.02,0.009385102
06/02/2014,60.45,0.022924119
05/02/2014,59.08,-0.00405406
04/02/2014,59.32,0.025093064
03/02/2014,57.85,-0.023405869
31/01/2014,59.22,-0.007570059
30/01/2014,59.67,0.01112246
29/01/2014,59.01,-0.004733737
28/01/2014,59.29,0.010512135
27/01/2014,58.67,-0.014383868
24/01/2014,59.52,-0.010030174
23/01/2014,60.12,-0.004812089
22/01/2014,60.41,0.012157698
21/01/2014,59.68,0.011290035
17/01/2014,59.01,-0.006082127
16/01/2014,59.37,0.002698602
15/01/2014,59.21,-0.00958071
14/01/2014,59.78,0.01008751
13/01/2014,59.18,-0.022555463
10/01/2014,60.53,-0.004121678
09/01/2014,60.78,-0.008682174
08/01/2014,61.31,-0.002768957
07/01/2014,61.48,0.020209346
06/01/2014,60.25,-0.012862974
03/01/2014,61.03,-0.002127835
02/01/2014,61.16,-0.011542028
31/12/2013,61.87,0.001132045
30/12/2013,61.8,0.001781521
27/12/2013,61.69,0.009282698
26/12/2013,61.12,-0.002287957
24/12/2013,61.26,0.007372852
23/12/2013,60.81,-0.002135524
20/12/2013,60.94,0.003122691
19/12/2013,60.75,0.023483467
18/12/2013,59.34,-0.005210534
17/12/2013,59.65,-0.012494956
