Date,Close,HST
04/04/2014,20.52,-0.006799443
03/04/2014,20.66,0
02/04/2014,20.66,0.004852023
01/04/2014,20.56,0.015686596
31/03/2014,20.24,0.01493308
28/03/2014,19.94,0.010587444
27/03/2014,19.73,0
26/03/2014,19.73,-0.016088834
25/03/2014,20.05,0.00500001
24/03/2014,19.95,-0.016406035
21/03/2014,20.28,0.012903405
20/03/2014,20.02,-0.000998502
19/03/2014,20.04,-0.021230123
18/03/2014,20.47,0.001955991
17/03/2014,20.43,0.001959824
14/03/2014,20.39,0.010848233
13/03/2014,20.17,-0.004452147
12/03/2014,20.26,0.005940612
11/03/2014,20.14,0.005976113
10/03/2014,20.02,-0.005479466
07/03/2014,20.13,0.000496894
06/03/2014,20.12,0.007483198
05/03/2014,19.97,-0.004995015
04/03/2014,20.07,0.021148824
03/03/2014,19.65,-0.001017294
28/02/2014,19.67,0.004585995
27/02/2014,19.58,-0.004585995
26/02/2014,19.67,0.002545178
25/02/2014,19.62,0
24/02/2014,19.62,0.004085808
21/02/2014,19.54,0.004616577
20/02/2014,19.45,0.010336009
19/02/2014,19.25,0.020467784
18/02/2014,18.86,-0.006869248
14/02/2014,18.99,0.006869248
13/02/2014,18.86,0.006383
12/02/2014,18.74,0.00053376
11/02/2014,18.73,0.020496942
10/02/2014,18.35,-0.003807456
07/02/2014,18.42,0.004897969
06/02/2014,18.33,0.015393377
05/02/2014,18.05,-0.0104713
04/02/2014,18.24,0.013245227
03/02/2014,18,-0.021435281
31/01/2014,18.39,0.003267977
30/01/2014,18.33,0.006568168
29/01/2014,18.21,-0.016340233
28/01/2014,18.51,0.004331355
27/01/2014,18.43,-0.019345042
24/01/2014,18.79,-0.030400664
23/01/2014,19.37,-0.010272304
22/01/2014,19.57,0.004609483
21/01/2014,19.48,0.003084835
17/01/2014,19.42,0.000515066
16/01/2014,19.41,-0.002058673
15/01/2014,19.45,0.00567158
14/01/2014,19.34,0.013534824
13/01/2014,19.08,-0.005227403
10/01/2014,19.18,-0.006237026
09/01/2014,19.3,0.003113651
08/01/2014,19.24,0.009924344
07/01/2014,19.05,0
06/01/2014,19.05,-0.004190682
03/01/2014,19.13,-0.006772623
02/01/2014,19.26,-0.009302393
31/12/2013,19.44,0.00619197
30/12/2013,19.32,-0.001551591
27/12/2013,19.35,-0.003611043
26/12/2013,19.42,0
24/12/2013,19.42,0.006716636
23/12/2013,19.29,0.011470407
20/12/2013,19.07,0.01054306
19/12/2013,18.87,0.000530082
18/12/2013,18.86,0.024149282
17/12/2013,18.41,0.009825407
16/12/2013,18.23,0.008815484
13/12/2013,18.07,0.012249596
12/12/2013,17.85,-0.014460764
11/12/2013,18.11,-0.023466288
10/12/2013,18.54,-0.000539229
09/12/2013,18.55,0.004321995
06/12/2013,18.47,0.0147262
05/12/2013,18.2,0.002751033
04/12/2013,18.15,0.008854513
03/12/2013,17.99,-0.011055945
02/12/2013,18.19,-0.012022003
29/11/2013,18.41,-0.008114732
27/11/2013,18.56,0.007028956
26/11/2013,18.43,-0.002709295
25/11/2013,18.48,-0.005396667
22/11/2013,18.58,-0.008040783
21/11/2013,18.73,0.016146745
20/11/2013,18.43,-0.007567604
19/11/2013,18.57,-0.014965539
18/11/2013,18.85,-0.008452243
15/11/2013,19.01,0.010576513
14/11/2013,18.81,0.005330503
13/11/2013,18.71,0.01399377
12/11/2013,18.45,-0.00432667
11/11/2013,18.53,-0.00377054
08/11/2013,18.6,0.006472515
07/11/2013,18.48,-0.023001816
06/11/2013,18.91,0.002647605
05/11/2013,18.86,-0.010548621
04/11/2013,19.06,0.013203255
01/11/2013,18.81,0.013918854
31/10/2013,18.55,0.00161856
30/10/2013,18.52,-0.005921955
29/10/2013,18.63,0.000536913
28/10/2013,18.62,-0.008556202
25/10/2013,18.78,0.006410278
24/10/2013,18.66,0.01620781
23/10/2013,18.36,-0.010295404
22/10/2013,18.55,-0.00484002
21/10/2013,18.64,0.003224076
18/10/2013,18.58,0.006479504
17/10/2013,18.46,0.02024693
16/10/2013,18.09,0.024057104
15/10/2013,17.66,-0.015173092
14/10/2013,17.93,0.001116072
11/10/2013,17.91,0.016324596
10/10/2013,17.62,0.030541123
09/10/2013,17.09,-0.012790872
08/10/2013,17.31,-0.01604619
07/10/2013,17.59,-0.010743671
04/10/2013,17.78,0.007338447
03/10/2013,17.65,-0.025728489
02/10/2013,18.11,0.011663559
01/10/2013,17.9,0.012932427
30/09/2013,17.67,-0.008453136
27/09/2013,17.82,-0.009494626
26/09/2013,17.99,-0.00055571
25/09/2013,18,0.00445435
24/09/2013,17.92,-0.008335697
23/09/2013,18.07,-0.008266787
20/09/2013,18.22,-0.022253293
19/09/2013,18.63,-0.003750339
18/09/2013,18.7,0.021622464
17/09/2013,18.3,0.009884759
16/09/2013,18.12,0.003316753
13/09/2013,18.06,0.001662511
12/09/2013,18.03,-0.011031551
11/09/2013,18.23,0.011031551
10/09/2013,18.03,0.01283858
09/09/2013,17.8,0.029070158
06/09/2013,17.29,0.011049836
05/09/2013,17.1,-0.013937508
04/09/2013,17.34,0.01745245
03/09/2013,17.04,0.000587027
30/08/2013,17.03,-0.012255771
29/08/2013,17.24,0.006400953
28/08/2013,17.13,0.003508776
27/08/2013,17.07,-0.014539366
26/08/2013,17.32,-0.005757068
23/08/2013,17.42,0.009806828
22/08/2013,17.25,0.019906981
21/08/2013,16.91,-0.001182033
20/08/2013,16.93,0.031196291
19/08/2013,16.41,-0.006680863
16/08/2013,16.52,-0.029229638
15/08/2013,17.01,-0.022093922
14/08/2013,17.39,-0.005733961
13/08/2013,17.49,-0.012500163
12/08/2013,17.71,0.000564812
09/08/2013,17.7,-0.001693481
08/08/2013,17.73,0.003389834
07/08/2013,17.67,-0.003389834
06/08/2013,17.73,-0.018994985
05/08/2013,18.07,-0.023517627
02/08/2013,18.5,0.018549359
01/08/2013,18.16,0.016657798
31/07/2013,17.86,-0.008918677
30/07/2013,18.02,0.003335189
29/07/2013,17.96,-0.008869238
26/07/2013,18.12,-0.009884759
25/07/2013,18.3,0.014309545
24/07/2013,18.04,-0.01703806
23/07/2013,18.35,-0.017823858
22/07/2013,18.68,0.006983644
19/07/2013,18.55,0.010840215
18/07/2013,18.35,0.018147322
17/07/2013,18.02,-0.002770852
16/07/2013,18.07,0.00166159
15/07/2013,18.04,0.002775467
12/07/2013,17.99,-0.008303397
11/07/2013,18.14,0.019482943
10/07/2013,17.79,0.00112486
09/07/2013,17.77,0.01074975
08/07/2013,17.58,0.001707942
05/07/2013,17.55,0.032429014
03/07/2013,16.99,-0.008206377
02/07/2013,17.13,0.012334958
01/07/2013,16.92,0.002959458
28/06/2013,16.87,0
27/06/2013,16.87,0.02278276
26/06/2013,16.49,-0.000606244
25/06/2013,16.5,0.027028672
24/06/2013,16.06,-0.007444203
21/06/2013,16.18,0.00993797
20/06/2013,16.02,-0.037370352
19/06/2013,16.63,-0.034863206
18/06/2013,17.22,0.002907824
17/06/2013,17.17,-0.002907824
14/06/2013,17.22,0.011682376
13/06/2013,17.02,0.035889019
12/06/2013,16.42,-0.026443849
11/06/2013,16.86,-0.02402694
10/06/2013,17.27,-0.008648079
07/06/2013,17.42,0.002874391
06/06/2013,17.37,0.021531236
05/06/2013,17,-0.018071025
04/06/2013,17.31,-0.022845083
03/06/2013,17.71,-0.00450705
31/05/2013,17.79,-0.010067199
30/05/2013,17.97,-0.000556328
29/05/2013,17.98,-0.017641031
28/05/2013,18.3,0.009333035
24/05/2013,18.13,0.010535168
23/05/2013,17.94,-0.017132223
