Date,Close,ALL
04/04/2014,56.41,-0.003185843
03/04/2014,56.59,0.00780561
02/04/2014,56.15,-0.00603695
01/04/2014,56.49,-0.001591935
31/03/2014,56.58,0.013881696
28/03/2014,55.8,0.002871502
27/03/2014,55.64,-0.00107778
26/03/2014,55.7,-0.005371544
25/03/2014,56,-0.003209131
24/03/2014,56.18,0.002138276
21/03/2014,56.06,0.008959028
20/03/2014,55.56,0.004509794
19/03/2014,55.31,-0.00288861
18/03/2014,55.47,-0.000900982
17/03/2014,55.52,0.007049284
14/03/2014,55.13,0.000362845
13/03/2014,55.11,-0.006871636
12/03/2014,55.49,-0.002160217
11/03/2014,55.61,-0.003410828
10/03/2014,55.8,0.001614205
07/03/2014,55.71,0.009740337
06/03/2014,55.17,0.001814224
05/03/2014,55.07,0.004002917
04/03/2014,54.85,0.014692643
03/03/2014,54.05,-0.003877763
28/02/2014,54.26,0.000553046
27/02/2014,54.23,0.007031857
26/02/2014,53.85,0.003720935
25/02/2014,53.65,-0.003906618
24/02/2014,53.86,0
21/02/2014,53.86,0.007267338
20/02/2014,53.47,0.031923669
19/02/2014,51.79,-0.007502199
18/02/2014,52.18,-0.014837632
14/02/2014,52.96,0.004921456
13/02/2014,52.7,0.003231021
12/02/2014,52.53,-0.005316132
11/02/2014,52.81,0.013727575
10/02/2014,52.09,-0.012780336
07/02/2014,52.76,0.007610387
06/02/2014,52.36,0.05516068
05/02/2014,49.55,-0.007038742
04/02/2014,49.9,-0.001201682
03/02/2014,49.96,-0.024516847
31/01/2014,51.2,-0.021256839
30/01/2014,52.3,0.010765194
29/01/2014,51.74,-0.000579654
28/01/2014,51.77,0.02088492
27/01/2014,50.7,0.001579155
24/01/2014,50.62,-0.019949811
23/01/2014,51.64,-0.014800847
22/01/2014,52.41,-0.005138464
21/01/2014,52.68,-0.004167462
17/01/2014,52.9,-0.005279047
16/01/2014,53.18,-0.013262546
15/01/2014,53.89,-0.001853912
14/01/2014,53.99,0.009865134
13/01/2014,53.46,-0.011715615
10/01/2014,54.09,0.004818393
09/01/2014,53.83,0.005775517
08/01/2014,53.52,0.003181438
07/01/2014,53.35,0.004320473
06/01/2014,53.12,-0.003945519
03/01/2014,53.33,-0.004116772
02/01/2014,53.55,-0.018318581
31/12/2013,54.54,0.005700117
30/12/2013,54.23,0.010752792
27/12/2013,53.65,-0.002234222
26/12/2013,53.77,-0.003712646
24/12/2013,53.97,0.005015335
23/12/2013,53.7,-0.001302689
20/12/2013,53.77,0.009717886
19/12/2013,53.25,0.009623624
18/12/2013,52.74,0.010674901
17/12/2013,52.18,-0.012379931
16/12/2013,52.83,0.000378644
13/12/2013,52.81,0.000378788
12/12/2013,52.79,-0.005290018
11/12/2013,53.07,-0.013289854
10/12/2013,53.78,-0.006117361
09/12/2013,54.11,-0.003873472
06/12/2013,54.32,0.017081737
05/12/2013,53.4,-0.003178464
04/12/2013,53.57,0.001120658
03/12/2013,53.51,-0.007447437
02/12/2013,53.91,-0.006655599
29/11/2013,54.27,-0.002024851
27/11/2013,54.38,-0.002020759
26/11/2013,54.49,-0.001100514
25/11/2013,54.55,-0.002928796
22/11/2013,54.71,0.007154025
21/11/2013,54.32,0.012038297
20/11/2013,53.67,-0.006685262
19/11/2013,54.03,-0.003879196
18/11/2013,54.24,-0.008445066
15/11/2013,54.7,0.004213618
