Date,Close,GIS
04/04/2014,51.25,-0.018941424
03/04/2014,52.23,0.011747848
02/04/2014,51.62,-0.00309478
01/04/2014,51.78,-0.000772201
31/03/2014,51.82,0.010085423
28/03/2014,51.3,0.004297721
27/03/2014,51.08,-0.000391466
26/03/2014,51.1,0.000391466
25/03/2014,51.08,0.007072721
24/03/2014,50.72,-0.006093385
21/03/2014,51.03,-0.00039185
20/03/2014,51.05,0.00609099
19/03/2014,50.74,0.000591424
18/03/2014,50.71,0.005536894
17/03/2014,50.43,0.013173843
14/03/2014,49.77,-0.024609299
13/03/2014,51.01,-0.006643244
12/03/2014,51.35,0.011950382
11/03/2014,50.74,0.005731807
10/03/2014,50.45,-0.006913608
07/03/2014,50.8,0.002562335
06/03/2014,50.67,0.000592242
05/03/2014,50.64,-0.001972776
04/03/2014,50.74,0.017495476
03/03/2014,49.86,-0.003403747
28/02/2014,50.03,0.005009529
27/02/2014,49.78,0.002413517
26/02/2014,49.66,-0.007822726
25/02/2014,50.05,0.004004009
24/02/2014,49.85,0.006843827
21/02/2014,49.51,-0.005438628
20/02/2014,49.78,0.01029792
19/02/2014,49.27,-0.008287061
18/02/2014,49.68,-0.004218144
14/02/2014,49.89,0.014130231
13/02/2014,49.19,0.013508187
12/02/2014,48.53,-0.008208542
11/02/2014,48.93,0.012752127
10/02/2014,48.31,0.005396443
07/02/2014,48.05,0.008149664
06/02/2014,47.66,0.006314481
05/02/2014,47.36,0.005717326
04/02/2014,47.09,0.004896231
03/02/2014,46.86,-0.024453158
31/01/2014,48.02,-0.011388466
30/01/2014,48.57,0.013055827
29/01/2014,47.94,-0.021053409
28/01/2014,48.96,0.008821475
27/01/2014,48.53,0.005164767
24/01/2014,48.28,-0.008866952
23/01/2014,48.71,-0.001231022
22/01/2014,48.77,0.004727169
21/01/2014,48.54,0.005370804
17/01/2014,48.28,-0.004958688
16/01/2014,48.52,0.00247627
15/01/2014,48.4,-0.008230499
14/01/2014,48.8,-0.000204897
13/01/2014,48.81,-0.009786011
10/01/2014,49.29,0.005900923
09/01/2014,49,0.008814242
08/01/2014,48.57,-0.02601244
07/01/2014,49.85,0.010283385
06/01/2014,49.34,0.001622718
03/01/2014,49.26,-0.002838032
02/01/2014,49.4,-0.010270959
31/12/2013,49.91,-0.001001302
30/12/2013,49.96,0.002404811
27/12/2013,49.84,0.002812941
26/12/2013,49.7,0.008486614
24/12/2013,49.28,0.002438035
23/12/2013,49.16,-0.002843796
20/12/2013,49.3,-0.001216299
19/12/2013,49.36,-0.007467993
18/12/2013,49.73,0.003020846
17/12/2013,49.58,-0.006633857
16/12/2013,49.91,0.005424423
13/12/2013,49.64,0.001411148
12/12/2013,49.57,-0.020368116
11/12/2013,50.59,-0.002763523
10/12/2013,50.73,-0.013898628
09/12/2013,51.44,-0.001165728
06/12/2013,51.5,0.024372276
05/12/2013,50.26,-0.008913598
04/12/2013,50.71,0.002171554
03/12/2013,50.6,0.006742044
02/12/2013,50.26,-0.003376704
29/11/2013,50.43,-0.001980983
27/11/2013,50.53,0.000990001
26/11/2013,50.48,0.011957097
25/11/2013,49.88,-0.004800009
22/11/2013,50.12,0.014064929
21/11/2013,49.42,0.003648899
20/11/2013,49.24,-0.02288797
19/11/2013,50.38,-0.011250489
18/11/2013,50.95,-0.007040905
15/11/2013,51.31,-0.004278497
14/11/2013,51.53,0.012694243
13/11/2013,50.88,0.008288976
12/11/2013,50.46,0.000198196
11/11/2013,50.45,-0.001782355
