Date,Close,FLS
04/04/2014,77.83,-0.010226345
03/04/2014,78.63,-0.010877922
02/04/2014,79.49,0.008210745
01/04/2014,78.84,0.006362154
31/03/2014,78.34,0.028615923
28/03/2014,76.13,0.013222459
27/03/2014,75.13,-0.003454694
26/03/2014,75.39,-0.013046242
25/03/2014,76.38,-0.00222324
24/03/2014,76.55,-0.006380645
21/03/2014,77.04,0.006380645
20/03/2014,76.55,0.001961426
19/03/2014,76.4,-0.010028084
18/03/2014,77.17,0.008458636
17/03/2014,76.52,0.006687234
14/03/2014,76.01,0.003558488
13/03/2014,75.74,-0.031707438
12/03/2014,78.18,-0.00967421
11/03/2014,78.94,-0.007823384
10/03/2014,79.56,-0.015589266
07/03/2014,80.81,0.003595119
06/03/2014,80.52,-0.002604653
05/03/2014,80.73,-0.006543637
04/03/2014,81.26,0.023155522
03/03/2014,79.4,-0.022540024
28/02/2014,81.21,0.007539743
27/02/2014,80.6,0.000372278
26/02/2014,80.57,-0.006433277
25/02/2014,81.09,-0.005043371
24/02/2014,81.5,0.00640081
21/02/2014,80.98,-0.007014118
20/02/2014,81.55,0.01171768
19/02/2014,80.6,0.055087869
18/02/2014,76.28,-0.002095339
14/02/2014,76.44,-0.000653894
13/02/2014,76.49,0.014087522
12/02/2014,75.42,0.019142543
11/02/2014,73.99,0.015527416
10/02/2014,72.85,-0.009698867
07/02/2014,73.56,0.021435281
06/02/2014,72,0.015818906
05/02/2014,70.87,-0.002536642
04/02/2014,71.05,0.019040075
03/02/2014,69.71,-0.036895201
31/01/2014,72.33,-0.002899153
30/01/2014,72.54,0.002208116
29/01/2014,72.38,-0.022405309
28/01/2014,74.02,0.025172328
27/01/2014,72.18,-0.011159446
24/01/2014,72.99,-0.042513945
23/01/2014,76.16,-0.018859894
22/01/2014,77.61,0.011794576
21/01/2014,76.7,-0.005460942
17/01/2014,77.12,0.000648551
16/01/2014,77.07,-0.006724453
15/01/2014,77.59,0.005427772
14/01/2014,77.17,0.023203505
13/01/2014,75.4,-0.020998147
10/01/2014,77,0.000129879
09/01/2014,76.99,-0.002464813
08/01/2014,77.18,-0.000777101
07/01/2014,77.24,0
06/01/2014,77.24,-0.007994885
03/01/2014,77.86,0.007218387
02/01/2014,77.3,-0.019599679
31/12/2013,78.83,0.014438378
30/12/2013,77.7,0.010349381
27/12/2013,76.9,-0.000649984
26/12/2013,76.95,0.005473039
24/12/2013,76.53,0.005634556
23/12/2013,76.1,0.004873882
20/12/2013,75.73,0.00675723
19/12/2013,75.22,0.005599268
18/12/2013,74.8,0.022169061
17/12/2013,73.16,-0.006811087
16/12/2013,73.66,0.01780625
13/12/2013,72.36,0.003738322
12/12/2013,72.09,-0.001524707
11/12/2013,72.2,0.001663433
10/12/2013,72.08,0.003613625
09/12/2013,71.82,0.012328539
06/12/2013,70.94,0.018926214
05/12/2013,69.61,0.002589184
04/12/2013,69.43,-0.01699434
03/12/2013,70.62,-0.000707764
02/12/2013,70.67,-0.009996563
29/11/2013,71.38,0.001542237
27/11/2013,71.27,-0.006433589
26/11/2013,71.73,-0.001532354
25/11/2013,71.84,0.011761547
22/11/2013,71,0.003810066
21/11/2013,70.73,0.015243546
20/11/2013,69.66,-0.000287068
19/11/2013,69.68,-0.013116812
18/11/2013,70.6,-0.009305016
15/11/2013,71.26,-0.000561167
14/11/2013,71.3,0.003371737
13/11/2013,71.06,0.01231874
12/11/2013,70.19,-0.003129448
11/11/2013,70.41,0.011858129
08/11/2013,69.58,0.016373618
07/11/2013,68.45,-0.021963027
06/11/2013,69.97,-0.00470522
05/11/2013,70.3,-0.002273374
04/11/2013,70.46,0.011562473
01/11/2013,69.65,0.002587696
31/10/2013,69.47,-0.002587696
30/10/2013,69.65,-0.015387111
29/10/2013,70.73,0.013522375
28/10/2013,69.78,-0.020426242
25/10/2013,71.22,0.114891265
24/10/2013,63.49,-0.003616072
23/10/2013,63.72,-0.008438869
22/10/2013,64.26,0.002336996
21/10/2013,64.11,-0.002648183
18/10/2013,64.28,0.012208635
17/10/2013,63.5,0.012040703
16/10/2013,62.74,0.005273684
