Date,Close,GCI
04/04/2014,27.53,-0.008319816
03/04/2014,27.76,-0.011105255
02/04/2014,28.07,0.001782849
01/04/2014,28.02,0.015102768
31/03/2014,27.6,0.017913109
28/03/2014,27.11,0.008148193
27/03/2014,26.89,-0.015498465
26/03/2014,27.31,-0.016703366
25/03/2014,27.77,-0.012169084
24/03/2014,28.11,-0.030135427
21/03/2014,28.97,0.016005909
20/03/2014,28.51,-0.008034978
19/03/2014,28.74,0.019677374
18/03/2014,28.18,0.009627459
17/03/2014,27.91,-0.00178987
14/03/2014,27.96,0.007899502
13/03/2014,27.74,-0.02351373
12/03/2014,28.4,-0.009113277
11/03/2014,28.66,-0.026851871
10/03/2014,29.44,0.018858779
07/03/2014,28.89,-0.019877282
06/03/2014,29.47,0.002378122
05/03/2014,29.4,0.006483558
04/03/2014,29.21,0.005492633
03/03/2014,29.05,-0.023810649
28/02/2014,29.75,0.014900377
27/02/2014,29.31,-0.005104656
26/02/2014,29.46,-0.010467764
25/02/2014,29.77,0.009789108
24/02/2014,29.48,0.021948755
21/02/2014,28.84,0.00277778
20/02/2014,28.76,0.010134632
19/02/2014,28.47,0
18/02/2014,28.47,0.008111489
14/02/2014,28.24,0.002126906
13/02/2014,28.18,0
12/02/2014,28.18,0.012138671
11/02/2014,27.84,0.002157498
10/02/2014,27.78,0.002522978
07/02/2014,27.71,0.003977586
06/02/2014,27.6,0.022719922
05/02/2014,26.98,0.023248141
04/02/2014,26.36,-0.005674311
03/02/2014,26.51,-0.037754299
31/01/2014,27.53,-0.002539454
30/01/2014,27.6,0.01166194
29/01/2014,27.28,-0.017082007
28/01/2014,27.75,0.014153747
27/01/2014,27.36,-0.004012407
24/01/2014,27.47,-0.026227478
23/01/2014,28.2,-0.011634187
22/01/2014,28.53,0.009154994
21/01/2014,28.27,-0.005995433
17/01/2014,28.44,-0.003510007
16/01/2014,28.54,0.00950544
15/01/2014,28.27,-0.035103517
14/01/2014,29.28,0.015141377
13/01/2014,28.84,-0.031401898
10/01/2014,29.76,0.00809721
09/01/2014,29.52,-0.017461827
08/01/2014,30.04,0.00835706
07/01/2014,29.79,0.009782503
06/01/2014,29.5,-0.003046203
03/01/2014,29.59,0.000338009
02/01/2014,29.58,0
31/12/2013,29.58,-0.004721763
30/12/2013,29.72,0.016966814
27/12/2013,29.22,-0.003075348
26/12/2013,29.31,0.018248053
24/12/2013,28.78,0.005924394
23/12/2013,28.61,0.028360639
20/12/2013,27.81,0.011937201
19/12/2013,27.48,0.008404946
18/12/2013,27.25,0.024894468
17/12/2013,26.58,-0.003005261
16/12/2013,26.66,0.017786656
13/12/2013,26.19,0.010748664
12/12/2013,25.91,-0.002698017
11/12/2013,25.98,0.017864553
10/12/2013,25.52,0.012618464
09/12/2013,25.2,-0.013793322
06/12/2013,25.55,0.018167956
05/12/2013,25.09,-0.01030937
04/12/2013,25.35,-0.032598928
03/12/2013,26.19,-0.015533557
02/12/2013,26.6,-0.017145407
29/11/2013,27.06,0.001109262
27/11/2013,27.03,0.010039125
26/11/2013,26.76,0.009386215
25/11/2013,26.51,-0.008638551
22/11/2013,26.74,0.010526413
21/11/2013,26.46,0.004165884
20/11/2013,26.35,0.003040671
19/11/2013,26.27,-0.017732968
18/11/2013,26.74,-0.017056402
15/11/2013,27.2,-0.005865119
14/11/2013,27.36,-0.017032483
13/11/2013,27.83,0.026211912
12/11/2013,27.11,-0.016462783
11/11/2013,27.56,-0.005066967
08/11/2013,27.7,0.028934448
07/11/2013,26.91,-0.032178279
06/11/2013,27.79,-0.003950445
05/11/2013,27.9,-0.005005373
04/11/2013,28.04,0.005005373
01/11/2013,27.9,0.008277895
31/10/2013,27.67,-0.004687227
30/10/2013,27.8,0.002521161
29/10/2013,27.73,0.007601847
28/10/2013,27.52,-0.009043288
25/10/2013,27.77,-0.001798885
24/10/2013,27.82,0.005406393
23/10/2013,27.67,-0.002887046
22/10/2013,27.75,0.031109554
21/10/2013,26.9,-0.021696016
18/10/2013,27.49,0.019839005
17/10/2013,26.95,0.002228827
16/10/2013,26.89,0.022565832
15/10/2013,26.29,0.001903675
14/10/2013,26.24,0.018850337
11/10/2013,25.75,0.020004589
10/10/2013,25.24,0.034256825
09/10/2013,24.39,-0.029092961
08/10/2013,25.11,-0.009118002
07/10/2013,25.34,-0.031082533
04/10/2013,26.14,-0.002292703
03/10/2013,26.2,-0.017779927
02/10/2013,26.67,-0.005981326
01/10/2013,26.83,0.001491981
30/09/2013,26.79,0.004489345
27/09/2013,26.67,0.000375023
26/09/2013,26.66,-0.000375023
25/09/2013,26.67,0.035104711
24/09/2013,25.75,0.006623831
23/09/2013,25.58,0.002348338
20/09/2013,25.52,-0.003910838
19/09/2013,25.62,-0.008163311
18/09/2013,25.83,0.003490405
17/09/2013,25.74,0.008583744
16/09/2013,25.52,0.00117624
13/09/2013,25.49,0.010252456
12/09/2013,25.23,-0.003165812
11/09/2013,25.31,-0.003549599
10/09/2013,25.4,0.014274628
09/09/2013,25.04,0.020170107
06/09/2013,24.54,-0.012150818
05/09/2013,24.84,-0.001207001
04/09/2013,24.87,0.0158058
03/09/2013,24.48,0.016059641
30/08/2013,24.09,-0.011556051
29/08/2013,24.37,0.004111848
28/08/2013,24.27,-0.004111848
27/08/2013,24.37,-0.02752096
26/08/2013,25.05,-0.003984069
23/08/2013,25.15,-0.003572141
22/08/2013,25.24,0.021626794
21/08/2013,24.7,-0.009268654
20/08/2013,24.93,0.035521187
19/08/2013,24.06,-0.01648842
16/08/2013,24.46,0.006974387
15/08/2013,24.29,-0.052136907
14/08/2013,25.59,-0.011655144
13/08/2013,25.89,-0.002700098
12/08/2013,25.96,0.007345867
09/08/2013,25.77,-0.003099576
08/08/2013,25.85,0.015987862
07/08/2013,25.44,-0.006269613
06/08/2013,25.6,-0.008169662
05/08/2013,25.81,-0.01766559
02/08/2013,26.27,0.004578413
01/08/2013,26.15,0.015026289
31/07/2013,25.76,0.008577051
30/07/2013,25.54,0.005496677
29/07/2013,25.4,-0.010573821
26/07/2013,25.67,-0.008147475
25/07/2013,25.88,-0.010378721
24/07/2013,26.15,0.007677581
23/07/2013,25.95,0.003087613
22/07/2013,25.87,-0.018763713
19/07/2013,26.36,0
18/07/2013,26.36,-0.000379291
17/07/2013,26.37,0.005704522
16/07/2013,26.22,-0.01175369
15/07/2013,26.53,-0.004888147
12/07/2013,26.66,0.009043016
11/07/2013,26.42,0.013719727
10/07/2013,26.06,0.00384468
09/07/2013,25.96,-0.004995207
08/07/2013,26.09,0.001150527
05/07/2013,26.06,0.02172312
03/07/2013,25.5,-0.003913899
02/07/2013,25.6,0.01535161
01/07/2013,25.21,0.030201611
28/06/2013,24.46,-0.008143367
27/06/2013,24.66,0.002842642
26/06/2013,24.59,0.028043075
25/06/2013,23.91,0.013897886
24/06/2013,23.58,-0.013897886
21/06/2013,23.91,0.001674341
20/06/2013,23.87,-0.012903405
19/06/2013,24.18,-0.031748698
