Date,Close,HBAN
04/04/2014,10.06,-0.013820556
03/04/2014,10.2,0.006886402
02/04/2014,10.13,-0.002957124
01/04/2014,10.16,0.018877858
31/03/2014,9.97,0.011094415
28/03/2014,9.86,0.015329886
27/03/2014,9.71,-0.017356229
26/03/2014,9.88,-0.00806456
25/03/2014,9.96,0.006042314
24/03/2014,9.9,0.001010612
21/03/2014,9.89,-0.012060448
20/03/2014,10.01,0.021202208
19/03/2014,9.8,0.005115101
18/03/2014,9.75,0.01030937
17/03/2014,9.65,0.00832471
14/03/2014,9.57,-0.004171018
13/03/2014,9.61,-0.008290203
12/03/2014,9.69,-0.002061856
11/03/2014,9.71,-0.009226103
10/03/2014,9.8,0
07/03/2014,9.8,0.0102565
06/03/2014,9.7,0.00516797
05/03/2014,9.65,-0.004136511
04/03/2014,9.69,0.017699577
03/03/2014,9.52,-0.001049869
28/02/2014,9.53,0.011609629
27/02/2014,9.42,0.007458745
26/02/2014,9.35,0.00643779
25/02/2014,9.29,0.002155173
24/02/2014,9.27,0.017410668
21/02/2014,9.11,0.017719179
20/02/2014,8.95,0.011236073
19/02/2014,8.85,-0.023451661
18/02/2014,9.06,-0.006600684
14/02/2014,9.12,0.003294896
13/02/2014,9.09,-0.003294896
12/02/2014,9.12,-0.001095891
11/02/2014,9.13,0.011013327
10/02/2014,9.03,0
07/02/2014,9.03,0
06/02/2014,9.03,0.021265491
05/02/2014,8.84,-0.002259888
04/02/2014,8.86,0.015927527
03/02/2014,8.72,-0.039353026
31/01/2014,9.07,-0.020731785
30/01/2014,9.26,0.006500565
29/01/2014,9.2,-0.016172859
28/01/2014,9.35,0.001070091
27/01/2014,9.34,-0.008528836
24/01/2014,9.42,-0.034432196
23/01/2014,9.75,-0.014256861
22/01/2014,9.89,0.002024292
21/01/2014,9.87,0.024616628
17/01/2014,9.63,0
16/01/2014,9.63,-0.027651531
15/01/2014,9.9,0.013218291
14/01/2014,9.77,0.010288157
13/01/2014,9.67,-0.012333147
10/01/2014,9.79,0.00204499
09/01/2014,9.77,0.002049181
08/01/2014,9.75,0.003081667
07/01/2014,9.72,0.014508026
06/01/2014,9.58,-0.002085506
03/01/2014,9.6,0.006269613
02/01/2014,9.54,-0.01146443
31/12/2013,9.65,0.007280323
30/12/2013,9.58,-0.003126631
27/12/2013,9.61,-0.004153692
26/12/2013,9.65,-0.001035733
24/12/2013,9.66,0.003110422
23/12/2013,9.63,0.007295499
20/12/2013,9.56,0.001046573
19/12/2013,9.55,0.003146306
18/12/2013,9.52,0.013749556
17/12/2013,9.39,-0.012698583
16/12/2013,9.51,0.015898586
13/12/2013,9.36,-0.007450806
12/12/2013,9.43,0.013881696
11/12/2013,9.3,-0.01494158
10/12/2013,9.44,0.01494158
09/12/2013,9.3,0.006472515
06/12/2013,9.24,0.025206814
05/12/2013,9.01,-0.012134732
04/12/2013,9.12,0.012134732
03/12/2013,9.01,-0.01103764
02/12/2013,9.11,-0.006564575
29/11/2013,9.17,-0.007604599
27/11/2013,9.24,0.011976191
26/11/2013,9.13,-0.003280484
25/11/2013,9.16,0.002185793
22/11/2013,9.14,0.017660503
21/11/2013,8.98,0.017978012
20/11/2013,8.82,-0.005652926
19/11/2013,8.87,-0.00337648
18/11/2013,8.9,-0.00671895
15/11/2013,8.96,-0.00445435
14/11/2013,9,0.007808182
13/11/2013,8.93,0.013528955
12/11/2013,8.81,-0.010163837
11/11/2013,8.9,-0.013393057
08/11/2013,9.02,0.034972543
07/11/2013,8.71,-0.015945668
06/11/2013,8.85,0.011363759
05/11/2013,8.75,-0.003422707
04/11/2013,8.78,-0.007941051
01/11/2013,8.85,0.005665738
31/10/2013,8.8,-0.013544225
30/10/2013,8.92,-0.007816902
29/10/2013,8.99,0
28/10/2013,8.99,0.006696454
25/10/2013,8.93,-0.002237137
24/10/2013,8.95,0.013498518
23/10/2013,8.83,-0.007896262
22/10/2013,8.9,0.00224972
21/10/2013,8.88,-0.00224972
18/10/2013,8.9,0.00224972
17/10/2013,8.88,0.032039354
16/10/2013,8.6,0.022340729
15/10/2013,8.41,-0.015339534
14/10/2013,8.54,0.007050558
11/10/2013,8.48,0.011862535
10/10/2013,8.38,0.03151776
09/10/2013,8.12,0.003701423
08/10/2013,8.09,-0.020795856
07/10/2013,8.26,-0.022741854
04/10/2013,8.45,0.016706833
03/10/2013,8.31,-0.00480193
02/10/2013,8.35,0
01/10/2013,8.35,0.010836951
30/09/2013,8.26,0.003638573
27/09/2013,8.23,-0.004848494
26/09/2013,8.27,-0.010823918
25/09/2013,8.36,0.01203384
24/09/2013,8.26,0.003638573
23/09/2013,8.23,-0.0180619
20/09/2013,8.38,0.005984458
19/09/2013,8.33,-0.027236734
18/09/2013,8.56,-0.011614532
17/09/2013,8.66,0.013953715
16/09/2013,8.54,0.002344667
13/09/2013,8.52,0.001174398
12/09/2013,8.51,-0.011682376
11/09/2013,8.61,-0.011547472
10/09/2013,8.71,0.016204058
09/09/2013,8.57,0.005851392
06/09/2013,8.52,0.005885832
05/09/2013,8.47,0.009489988
04/09/2013,8.39,0.018040177
03/09/2013,8.24,0
30/08/2013,8.24,-0.002424244
29/08/2013,8.26,0.006071664
28/08/2013,8.21,0.003660773
27/08/2013,8.18,-0.032474291
26/08/2013,8.45,-0.017595762
23/08/2013,8.6,-0.002322881
22/08/2013,8.62,0.016374635
21/08/2013,8.48,-0.010557283
20/08/2013,8.57,0.014101291
19/08/2013,8.45,-0.012933749
16/08/2013,8.56,0.010569681
15/08/2013,8.47,-0.01639381
14/08/2013,8.61,0.002325582
13/08/2013,8.59,0
12/08/2013,8.59,0.004667453
09/08/2013,8.55,-0.00583092
08/08/2013,8.6,0.009345862
07/08/2013,8.52,-0.013986242
06/08/2013,8.64,-0.010362787
05/08/2013,8.73,0.002293579
02/08/2013,8.71,0
01/08/2013,8.71,0.018540508
31/07/2013,8.55,0.012948974
30/07/2013,8.44,-0.0035482
29/07/2013,8.47,-0.015231695
26/07/2013,8.6,0.004662013
25/07/2013,8.56,-0.003498546
24/07/2013,8.59,0.015249562
23/07/2013,8.46,-0.008240188
22/07/2013,8.53,0.017741447
19/07/2013,8.38,-0.002383791
18/07/2013,8.4,0.019231362
17/07/2013,8.24,-0.002424244
16/07/2013,8.26,-0.013229297
15/07/2013,8.37,0.004790428
12/07/2013,8.33,0.018171306
11/07/2013,8.18,-0.010942358
10/07/2013,8.27,-0.022714665
09/07/2013,8.46,-0.002361276
08/07/2013,8.48,-0.002355714
05/07/2013,8.5,0.035932009
03/07/2013,8.2,-0.002436055
02/07/2013,8.22,0.023385681
01/07/2013,8.03,0.020126466
28/06/2013,7.87,-0.001269841
27/06/2013,7.88,0.002541297
26/06/2013,7.86,0.010230268
25/06/2013,7.78,0.022093166
24/06/2013,7.61,-0.006548812
21/06/2013,7.66,0.019776518
20/06/2013,7.51,0.005340467
19/06/2013,7.47,-0.019881371
18/06/2013,7.62,0.00790518
17/06/2013,7.56,0.003976148
14/06/2013,7.53,-0.026213821
13/06/2013,7.73,0.018277271
12/06/2013,7.59,-0.011787956
11/06/2013,7.68,-0.016785417
10/06/2013,7.81,0.016785417
07/06/2013,7.68,0.017071984
06/06/2013,7.55,0.005312097
05/06/2013,7.51,-0.014540904
04/06/2013,7.62,-0.013037994
03/06/2013,7.72,-0.003878479
