Date,Close,RSG
04/04/2014,34.52,0.000869439
03/04/2014,34.49,0.001160429
02/04/2014,34.45,0.006114446
01/04/2014,34.24,0.002339182
31/03/2014,34.16,0.01474518
28/03/2014,33.66,-0.006514681
27/03/2014,33.88,0.005623812
26/03/2014,33.69,-0.005033319
25/03/2014,33.86,0
24/03/2014,33.86,-0.005008112
21/03/2014,34.03,-0.00381288
20/03/2014,34.16,-0.00146263
19/03/2014,34.21,0.002927403
18/03/2014,34.11,0.011202947
17/03/2014,33.73,0.011929757
14/03/2014,33.33,-0.009257943
13/03/2014,33.64,-0.006518542
12/03/2014,33.86,-0.004420222
11/03/2014,34.01,-0.006155669
10/03/2014,34.22,-0.000584283
07/03/2014,34.24,0.002339182
06/03/2014,34.16,0.000585652
05/03/2014,34.14,-0.00496714
04/03/2014,34.31,0.007900553
03/03/2014,34.04,-0.002054293
28/02/2014,34.11,0.020136896
27/02/2014,33.43,-0.004179111
26/02/2014,33.57,-0.002974422
25/02/2014,33.67,-0.002669437
24/02/2014,33.76,0
21/02/2014,33.76,0.000592593
20/02/2014,33.74,0.000296428
19/02/2014,33.73,-0.002960334
18/02/2014,33.83,-0.016708582
14/02/2014,34.4,0.009932889
13/02/2014,34.06,0.014490864
12/02/2014,33.57,0.001490535
11/02/2014,33.52,0.011703059
10/02/2014,33.13,-0.008116684
07/02/2014,33.4,0.046890772
06/02/2014,31.87,0.010091539
05/02/2014,31.55,0.000634115
04/02/2014,31.53,-0.000634115
03/02/2014,31.55,-0.015099375
31/01/2014,32.03,-0.005604
30/01/2014,32.21,0.007166256
29/01/2014,31.98,-0.005301743
28/01/2014,32.15,0.001867996
27/01/2014,32.09,0.01096674
24/01/2014,31.74,-0.015319981
23/01/2014,32.23,-0.003716325
22/01/2014,32.35,0.002476015
21/01/2014,32.27,0.000619963
17/01/2014,32.25,0.004350535
16/01/2014,32.11,-0.003730188
15/01/2014,32.23,0
14/01/2014,32.23,0.005912574
13/01/2014,32.04,-0.011790394
10/01/2014,32.42,0.001852424
09/01/2014,32.36,-0.003393494
08/01/2014,32.47,-0.006752635
07/01/2014,32.69,-0.003968865
06/01/2014,32.82,-0.004863231
03/01/2014,32.98,0.000606612
02/01/2014,32.96,-0.007255171
31/12/2013,33.2,-0.002707176
30/12/2013,33.29,-0.0086736
27/12/2013,33.58,-0.002676582
26/12/2013,33.67,-0.000593824
24/12/2013,33.69,0.010143285
23/12/2013,33.35,0.001800721
20/12/2013,33.29,0.00874949
19/12/2013,33,0.000606244
18/12/2013,32.98,-0.008754773
17/12/2013,33.27,-0.01816878
