Date,Close,LUV
04/04/2014,23.81,-0.00836475
03/04/2014,24.01,-0.002495842
02/04/2014,24.07,0.005415552
01/04/2014,23.94,0.013880349
31/03/2014,23.61,0.019243698
28/03/2014,23.16,0
27/03/2014,23.16,-0.012017312
26/03/2014,23.44,-0.011031083
25/03/2014,23.7,0.0140219
24/03/2014,23.37,0.008163311
21/03/2014,23.18,-0.029751451
20/03/2014,23.88,0.004617007
19/03/2014,23.77,-0.005454178
18/03/2014,23.9,-0.003341691
17/03/2014,23.98,0.002505221
14/03/2014,23.92,0.013468217
13/03/2014,23.6,-0.012631747
12/03/2014,23.9,0.005033568
11/03/2014,23.78,0.007598179
10/03/2014,23.6,0.021414095
07/03/2014,23.1,-0.000865426
06/03/2014,23.12,0.00390033
05/03/2014,23.03,0.008722253
04/03/2014,22.83,0.023488782
03/03/2014,22.3,-0.006258402
28/02/2014,22.44,-0.000890869
27/02/2014,22.46,0.001782532
26/02/2014,22.42,0.005366739
25/02/2014,22.3,0.006297817
24/02/2014,22.16,0.01821544
21/02/2014,21.76,0.002761161
20/02/2014,21.7,0.035173614
19/02/2014,20.95,-0.003811343
18/02/2014,21.03,-0.012757083
14/02/2014,21.3,0.004705891
13/02/2014,21.2,-0.000471587
12/02/2014,21.21,-0.005172831
11/02/2014,21.32,0.014171234
10/02/2014,21.02,-0.019317444
07/02/2014,21.43,0.02217595
06/02/2014,20.96,0.016839465
05/02/2014,20.61,-0.001938925
04/02/2014,20.65,0.010710911
03/02/2014,20.43,-0.025134238
31/01/2014,20.95,-0.012805487
30/01/2014,21.22,0.029167738
29/01/2014,20.61,-0.033400051
28/01/2014,21.31,0.033400051
27/01/2014,20.61,-0.011097822
24/01/2014,20.84,-0.019011979
23/01/2014,21.24,-0.024646679
22/01/2014,21.77,0.021825803
21/01/2014,21.3,0.00376294
17/01/2014,21.22,-0.011246604
16/01/2014,21.46,0.01407813
15/01/2014,21.16,-0.012679202
14/01/2014,21.43,0.033692392
13/01/2014,20.72,-0.014850572
10/01/2014,21.03,0.012921931
09/01/2014,20.76,0.028336043
08/01/2014,20.18,0.03274027
07/01/2014,19.53,0.019649029
06/01/2014,19.15,-0.014000747
03/01/2014,19.42,0.028200302
02/01/2014,18.88,0.002120892
31/12/2013,18.84,0.000530926
30/12/2013,18.83,0.004791066
27/12/2013,18.74,-0.010087688
26/12/2013,18.93,0
24/12/2013,18.93,0.002115284
23/12/2013,18.89,0.001589404
20/12/2013,18.86,0.012807005
19/12/2013,18.62,-0.002145924
18/12/2013,18.66,0.018388836
17/12/2013,18.32,-0.022133157
16/12/2013,18.73,0.005353332
13/12/2013,18.63,-0.008551629
12/12/2013,18.79,0.044621113
11/12/2013,17.97,-0.033382033
10/12/2013,18.58,0.004315001
09/12/2013,18.5,0.010323373
06/12/2013,18.31,0.017075601
05/12/2013,18,0.005571045
04/12/2013,17.9,-0.021006853
03/12/2013,18.28,-0.017891505
02/12/2013,18.61,0.001075269
29/11/2013,18.59,-0.01918013
27/11/2013,18.95,0.021873371
26/11/2013,18.54,-0.000539229
25/11/2013,18.55,-0.000538938
22/11/2013,18.56,0.005944357
21/11/2013,18.45,0.024137211
20/11/2013,18.01,-0.008844723
19/11/2013,18.17,0.001652438
18/11/2013,18.14,-0.001101928
15/11/2013,18.16,-0.001100716
14/11/2013,18.18,0.009950331
13/11/2013,18,-0.001665279
12/11/2013,18.03,0.01227694
11/11/2013,17.81,0.006760589
08/11/2013,17.69,0.006806606
07/11/2013,17.57,-0.013005555
06/11/2013,17.8,-0.003924872
05/11/2013,17.87,0
