Date,Close,GWW
04/04/2014,254.59,-0.008409492
03/04/2014,256.74,0.006878789
02/04/2014,254.98,0.007598013
01/04/2014,253.05,0.001542386
31/03/2014,252.66,0.012786217
28/03/2014,249.45,-0.003161963
27/03/2014,250.24,-0.001916321
26/03/2014,250.72,-0.015396184
25/03/2014,254.61,0.012449031
24/03/2014,251.46,-0.002026102
21/03/2014,251.97,0.003697744
20/03/2014,251.04,0.004311384
19/03/2014,249.96,-0.01256278
18/03/2014,253.12,0.005705245
17/03/2014,251.68,0.018648653
14/03/2014,247.03,0.004828869
13/03/2014,245.84,-0.024073339
12/03/2014,251.83,-0.007949891
11/03/2014,253.84,-0.007574456
10/03/2014,255.77,-0.00460291
07/03/2014,256.95,-0.002060534
06/03/2014,257.48,0.001982701
05/03/2014,256.97,0.008088035
04/03/2014,254.9,0.006336234
03/03/2014,253.29,-0.006806896
28/02/2014,255.02,0.008308279
27/02/2014,252.91,0.005709996
26/02/2014,251.47,0.005302937
25/02/2014,250.14,-0.005859509
24/02/2014,251.61,0.009463982
21/02/2014,249.24,0.004826264
20/02/2014,248.04,0.000161277
19/02/2014,248,0.000968211
18/02/2014,247.76,0.008471364
14/02/2014,245.67,0.024851375
13/02/2014,239.64,0.006657062
12/02/2014,238.05,0.00079847
11/02/2014,237.86,0.015122601
10/02/2014,234.29,0.001238549
07/02/2014,234,0.000213698
06/02/2014,233.95,0.013252636
05/02/2014,230.87,-0.001817553
04/02/2014,231.29,0.008684756
03/02/2014,229.29,-0.022382718
31/01/2014,234.48,-0.011406887
30/01/2014,237.17,-0.004165533
29/01/2014,238.16,0.001260451
28/01/2014,237.86,-0.004488357
27/01/2014,238.93,-0.012147077
24/01/2014,241.85,-0.059434553
23/01/2014,256.66,-0.020706749
22/01/2014,262.03,-0.007717349
21/01/2014,264.06,-0.000151469
17/01/2014,264.1,-0.0069429
16/01/2014,265.94,0.008155297
15/01/2014,263.78,-0.001818045
14/01/2014,264.26,0.009887516
13/01/2014,261.66,-0.007804063
10/01/2014,263.71,0.035549179
09/01/2014,254.5,0.004173727
08/01/2014,253.44,0.002053875
07/01/2014,252.92,0.007739823
06/01/2014,250.97,-0.007423468
03/01/2014,252.84,-0.000869737
02/01/2014,253.06,-0.009282634
31/12/2013,255.42,0.000156617
30/12/2013,255.38,-0.000274064
27/12/2013,255.45,0.000117447
26/12/2013,255.42,0.004276613
24/12/2013,254.33,0.007577887
23/12/2013,252.41,0.016255975
20/12/2013,248.34,-0.020131029
19/12/2013,253.39,-0.00562761
18/12/2013,254.82,0.018856524
17/12/2013,250.06,-0.015318368
16/12/2013,253.92,0.00937748
13/12/2013,251.55,-0.001906351
12/12/2013,252.03,-0.00798297
11/12/2013,254.05,-0.010415945
10/12/2013,256.71,-0.001829186
09/12/2013,257.18,-0.002330279
06/12/2013,257.78,0.010176518
05/12/2013,255.17,0.000470385
04/12/2013,255.05,0.000627525
03/12/2013,254.89,-0.013367047
02/12/2013,258.32,0.001549667
29/11/2013,257.92,-0.002130174
27/11/2013,258.47,0.001316299
26/11/2013,258.13,0.004932145
25/11/2013,256.86,0.001831467
22/11/2013,256.39,0.004573804
21/11/2013,255.22,0.007788263
20/11/2013,253.24,-0.011425555
19/11/2013,256.15,-0.007428906
18/11/2013,258.06,-0.010369978
15/11/2013,260.75,-0.018429324
14/11/2013,265.6,0.002261592
13/11/2013,265,-0.012152276
12/11/2013,268.24,-0.006613928
11/11/2013,270.02,0.007098686
08/11/2013,268.11,0.016661097
07/11/2013,263.68,-0.031543647
06/11/2013,272.13,0.011717224
05/11/2013,268.96,-0.010798123
04/11/2013,271.88,0.006716636
01/11/2013,270.06,0.004044307
31/10/2013,268.97,-0.004044307
30/10/2013,270.06,-0.010974148
29/10/2013,273.04,0.014163707
28/10/2013,269.2,0.006708933
25/10/2013,267.4,0.016439553
24/10/2013,263.04,-0.004286723
23/10/2013,264.17,-0.004607607
22/10/2013,265.39,0.007374804
21/10/2013,263.44,-0.003259184
18/10/2013,264.3,0.00912207
17/10/2013,261.9,0.015895037
16/10/2013,257.77,0.009158465
15/10/2013,255.42,-0.012411886
14/10/2013,258.61,0.002749222
11/10/2013,257.9,0.00778517
10/10/2013,255.9,0.013930104
09/10/2013,252.36,-0.022257972
08/10/2013,258.04,-0.011903756
07/10/2013,261.13,-0.014258526
04/10/2013,264.88,0.004313124
03/10/2013,263.74,-0.003444429
02/10/2013,264.65,0
01/10/2013,264.65,0.011171178
30/09/2013,261.71,-0.008409006
27/09/2013,263.92,-0.019251209
26/09/2013,269.05,0.007049506
25/09/2013,267.16,-0.00410893
24/09/2013,268.26,0.000783129
23/09/2013,268.05,-0.00780383
20/09/2013,270.15,-0.012360824
19/09/2013,273.51,-0.001826418
18/09/2013,274.01,0.017078703
17/09/2013,269.37,-0.002484197
16/09/2013,270.04,0.010235885
13/09/2013,267.29,-0.002951232
12/09/2013,268.08,-0.005987708
11/09/2013,269.69,0.001224376
10/09/2013,269.36,0.020251198
09/09/2013,263.96,0.021753309
06/09/2013,258.28,-0.004905095
05/09/2013,259.55,0.01447529
04/09/2013,255.82,0.017946014
03/09/2013,251.27,0.015723721
30/08/2013,247.35,0.000606612
29/08/2013,247.2,-0.006572207
28/08/2013,248.83,0.004591968
