Date,Close,PDCO
04/04/2014,42.47,-0.012634702
03/04/2014,43.01,0.016645561
02/04/2014,42.3,0.00402701
01/04/2014,42.13,0.008821132
31/03/2014,41.76,0.017635437
28/03/2014,41.03,0.005866553
27/03/2014,40.79,-0.006353883
26/03/2014,41.05,0.001462701
25/03/2014,40.99,-0.000243932
24/03/2014,41,-0.003408818
21/03/2014,41.14,-0.011359639
20/03/2014,41.61,-0.000720721
19/03/2014,41.64,-0.003595833
18/03/2014,41.79,0.005759555
17/03/2014,41.55,0.009673594
14/03/2014,41.15,-0.015911618
13/03/2014,41.81,-0.014248638
12/03/2014,42.41,0.004727024
11/03/2014,42.21,0.008326443
10/03/2014,41.86,-0.003338901
07/03/2014,42,0
06/03/2014,42,0.009329095
05/03/2014,41.61,-0.001680874
04/03/2014,41.68,0.020604292
03/03/2014,40.83,-0.008049806
28/02/2014,41.16,0.00756009
27/02/2014,40.85,0.007124462
26/02/2014,40.56,-0.002954212
25/02/2014,40.68,-0.003435586
24/02/2014,40.82,0.002452785
21/02/2014,40.72,0.004183592
20/02/2014,40.55,0.020177543
19/02/2014,39.74,-0.006021092
18/02/2014,39.98,-0.00797214
14/02/2014,40.3,-0.002230761
13/02/2014,40.39,0.007704773
12/02/2014,40.08,-0.013136885
11/02/2014,40.61,0.007662873
10/02/2014,40.3,0.015252202
07/02/2014,39.69,0.004292394
06/02/2014,39.52,0.0035488
05/02/2014,39.38,0.003306629
04/02/2014,39.25,0.005108568
03/02/2014,39.05,-0.023036077
31/01/2014,39.96,-0.007727821
30/01/2014,40.27,0.007227446
29/01/2014,39.98,-0.003246351
28/01/2014,40.11,0.006503275
27/01/2014,39.85,-0.003507018
24/01/2014,39.99,-0.017107148
23/01/2014,40.68,-0.019956856
22/01/2014,41.5,0.004104799
21/01/2014,41.33,0.008504486
17/01/2014,40.98,-0.005354114
16/01/2014,41.2,0.005110122
15/01/2014,40.99,0.002687189
14/01/2014,40.88,0.009092089
13/01/2014,40.51,-0.010802953
10/01/2014,40.95,-0.00826853
09/01/2014,41.29,0.000726832
08/01/2014,41.26,-0.007725775
07/01/2014,41.58,0.015267472
06/01/2014,40.95,-0.009236818
03/01/2014,41.33,0.012906547
