Date,Close,ETR
04/04/2014,69.07,0.01414327
03/04/2014,68.1,0.014644149
02/04/2014,67.11,0.000745323
01/04/2014,67.06,0.003136437
31/03/2014,66.85,0.002996257
28/03/2014,66.65,0.000750469
27/03/2014,66.6,0.01254077
26/03/2014,65.77,-0.004853642
25/03/2014,66.09,0.000302663
24/03/2014,66.07,0.000605602
21/03/2014,66.03,0.019575484
20/03/2014,64.75,0.002783794
19/03/2014,64.57,-0.006791198
18/03/2014,65.01,-0.002918365
17/03/2014,65.2,0.009554704
14/03/2014,64.58,0.002480621
13/03/2014,64.42,0.022289418
12/03/2014,63,0.0110128
11/03/2014,62.31,0.000963391
10/03/2014,62.25,-0.004967561
07/03/2014,62.56,0.002881385
06/03/2014,62.38,-0.010366092
05/03/2014,63.03,-0.006483774
04/03/2014,63.44,0.002525254
03/03/2014,63.28,-0.008497297
28/02/2014,63.82,0.000940586
27/02/2014,63.76,-0.004850201
26/02/2014,64.07,-0.000624122
25/02/2014,64.11,-0.00015597
24/02/2014,64.12,-0.005133402
21/02/2014,64.45,-0.009266476
20/02/2014,65.05,0.009111329
19/02/2014,64.46,-0.006956819
18/02/2014,64.91,0.006491522
14/02/2014,64.49,0.00093081
13/02/2014,64.43,0.013595021
12/02/2014,63.56,0.015538603
11/02/2014,62.58,-0.016167732
10/02/2014,63.6,0.000629129
07/02/2014,63.56,-0.002984842
06/02/2014,63.75,0.018523446
05/02/2014,62.58,0.001759297
04/02/2014,62.47,-0.003993935
03/02/2014,62.72,-0.004930427
31/01/2014,63.03,-0.002218701
30/01/2014,63.17,0.026142135
29/01/2014,61.54,0.006848225
28/01/2014,61.12,-0.002777553
27/01/2014,61.29,0.000163172
24/01/2014,61.28,-0.006992467
23/01/2014,61.71,0.00259614
22/01/2014,61.55,-0.007123229
21/01/2014,61.99,0.006148887
17/01/2014,61.61,0.003740146
16/01/2014,61.38,0.003590668
15/01/2014,61.16,0.000327065
14/01/2014,61.14,0.008541445
13/01/2014,60.62,-0.007232116
10/01/2014,61.06,0.008883098
09/01/2014,60.52,-0.005437931
08/01/2014,60.85,-0.00655203
07/01/2014,61.25,0.009514507
06/01/2014,60.67,-0.005916205
03/01/2014,61.03,-0.013184858
02/01/2014,61.84,-0.022860879
31/12/2013,63.27,-0.000789952
30/12/2013,63.32,0.007768569
27/12/2013,62.83,0.007348276
26/12/2013,62.37,-0.005755412
24/12/2013,62.73,0.00303345
23/12/2013,62.54,0.000799808
20/12/2013,62.49,0.014994235
19/12/2013,61.56,-0.01050345
18/12/2013,62.21,0.009042529
17/12/2013,61.65,-0.003885386
16/12/2013,61.89,0.011211426
13/12/2013,61.2,-0.000326744
12/12/2013,61.22,0.006062114
11/12/2013,60.85,-0.007368024
10/12/2013,61.3,-0.017785432
09/12/2013,62.4,-0.009728169
06/12/2013,63.01,0.012295564
05/12/2013,62.24,0.001286174
04/12/2013,62.16,0.003061309
03/12/2013,61.97,-0.00498995
02/12/2013,62.28,0.006281731
29/11/2013,61.89,0.00226464
27/11/2013,61.75,-0.00404041
26/11/2013,62,-0.008352121
25/11/2013,62.52,-0.000159936
22/11/2013,62.53,-0.005581707
21/11/2013,62.88,0.000795482
