Date,Close,PRGO
04/04/2014,151.03,-0.01145503
03/04/2014,152.77,-0.028585358
02/04/2014,157.2,0.008624874
01/04/2014,155.85,0.007664847
31/03/2014,154.66,0.009746033
28/03/2014,153.16,-0.005794098
27/03/2014,154.05,-0.009689998
26/03/2014,155.55,-0.015944215
25/03/2014,158.05,0.013440121
24/03/2014,155.94,-0.019495775
21/03/2014,159.01,-0.030899334
20/03/2014,164,-0.013084752
19/03/2014,166.16,-0.007912762
18/03/2014,167.48,0.014009789
17/03/2014,165.15,-0.002056618
14/03/2014,165.49,0.016265474
13/03/2014,162.82,-0.018438469
12/03/2014,165.85,0.011766269
11/03/2014,163.91,-0.008565493
10/03/2014,165.32,0.005094007
07/03/2014,164.48,0.003593511
06/03/2014,163.89,-0.018498895
05/03/2014,166.95,-0.003885822
04/03/2014,167.6,0.01593779
03/03/2014,164.95,0.003096636
28/02/2014,164.44,-0.011367882
27/02/2014,166.32,0.020408872
26/02/2014,162.96,0.011169164
25/02/2014,161.15,0.003979362
24/02/2014,160.51,0.009074756
21/02/2014,159.06,-0.012309194
20/02/2014,161.03,0.039973651
19/02/2014,154.72,-0.009136009
18/02/2014,156.14,0.044929304
14/02/2014,149.28,-0.009865431
13/02/2014,150.76,0.012615727
12/02/2014,148.87,0.007010477
11/02/2014,147.83,0.003455873
10/02/2014,147.32,0.010782879
07/02/2014,145.74,-0.005132954
06/02/2014,146.49,-0.045309147
05/02/2014,153.28,-0.016242632
04/02/2014,155.79,0.024168005
03/02/2014,152.07,-0.0233332
31/01/2014,155.66,-0.001540635
30/01/2014,155.9,0.014342258
29/01/2014,153.68,-0.021691708
28/01/2014,157.05,0.024036985
27/01/2014,153.32,0.003462811
24/01/2014,152.79,-0.015392413
23/01/2014,155.16,-0.012234723
22/01/2014,157.07,0.011912527
21/01/2014,155.21,-0.005269258
17/01/2014,156.03,-0.007216098
16/01/2014,157.16,-0.003430099
15/01/2014,157.7,-0.001963828
14/01/2014,158.01,-0.018000423
13/01/2014,160.88,-0.005084021
10/01/2014,161.7,0.017153079
09/01/2014,158.95,0.005804799
08/01/2014,158.03,0.022073127
07/01/2014,154.58,0.010731461
06/01/2014,152.93,-0.008464694
03/01/2014,154.23,0.007353692
02/01/2014,153.1,-0.002348644
31/12/2013,153.46,0.002283329
30/12/2013,153.11,0.006486934
27/12/2013,152.12,-0.000328634
26/12/2013,152.17,0.003752844
24/12/2013,151.6,-0.001318392
23/12/2013,151.8,-0.003025721
20/12/2013,152.26,0.007383026
19/12/2013,151.14,-0.029531822
18/12/2013,155.67,0.015667807
17/12/2013,153.25,0.014525872
16/12/2013,151.04,-0.005150906
13/12/2013,151.82,-0.01217691
12/12/2013,153.68,0.01686447
11/12/2013,151.11,-0.021538589
10/12/2013,154.4,-0.000712182
09/12/2013,154.51,-0.007222576
06/12/2013,155.63,6.4257E-05
05/12/2013,155.62,0.004701951
04/12/2013,154.89,-0.0021927
03/12/2013,155.23,-0.010573294
02/12/2013,156.88,0.006330552
29/11/2013,155.89,0.000577497
27/11/2013,155.8,-0.004163337
26/11/2013,156.45,6.39202E-05
25/11/2013,156.44,0.007442611
22/11/2013,155.28,0.001804822
21/11/2013,155,0.014229797
20/11/2013,152.81,0.003934173
19/11/2013,152.21,-0.000525452
18/11/2013,152.29,-0.005500636
15/11/2013,153.13,0.004057066
14/11/2013,152.51,0.011872707
13/11/2013,150.71,0.004522186
12/11/2013,150.03,0.002803366
11/11/2013,149.61,0.005764864
08/11/2013,148.75,0.024223815
07/11/2013,145.19,-0.000619685
06/11/2013,145.28,0.019320915
05/11/2013,142.5,-0.00859454
04/11/2013,143.73,0.009437
01/11/2013,142.38,0.032043274
31/10/2013,137.89,0.069593945
30/10/2013,128.62,-0.015276896
29/10/2013,130.6,-0.001606672
28/10/2013,130.81,0.001530105
25/10/2013,130.61,0.010854192
24/10/2013,129.2,-0.001160317
23/10/2013,129.35,-0.012828075
22/10/2013,131.02,-0.001753918
21/10/2013,131.25,-0.010610179
18/10/2013,132.65,0.003473799
17/10/2013,132.19,0.001893008
16/10/2013,131.94,0.009978374
15/10/2013,130.63,-0.002446671
14/10/2013,130.95,0.010439951
11/10/2013,129.59,-0.001927303
10/10/2013,129.84,0.010918914
09/10/2013,128.43,0.001948483
08/10/2013,128.18,-0.007926065
07/10/2013,129.2,0.001161665
04/10/2013,129.05,0.030207598
03/10/2013,125.21,0.000798977
02/10/2013,125.11,-0.000719108
01/10/2013,125.2,0.014643435
30/09/2013,123.38,-0.002590256
27/09/2013,123.7,0.006813784
26/09/2013,122.86,-0.002276424
25/09/2013,123.14,-0.009858666
24/09/2013,124.36,-0.000643087
23/09/2013,124.44,-0.004330052
20/09/2013,124.98,-0.002796534
19/09/2013,125.33,0.002636521
18/09/2013,125,0.002884155
17/09/2013,124.64,0.005874086
16/09/2013,123.91,0.003800288
13/09/2013,123.44,0.004221471
12/09/2013,122.92,-0.005354982
11/09/2013,123.58,-0.00129387
10/09/2013,123.74,0.004130062
09/09/2013,123.23,-0.00574505
06/09/2013,123.94,0.004528554
05/09/2013,123.38,-0.002832748
04/09/2013,123.73,0.014080727
03/09/2013,122,0.003695344
30/08/2013,121.55,0.004204631
29/08/2013,121.04,0.023235479
28/08/2013,118.26,0.012165704
27/08/2013,116.83,-0.020250639
26/08/2013,119.22,-0.001341157
23/08/2013,119.38,-0.003345044
22/08/2013,119.78,0.010743766
21/08/2013,118.5,-0.004378586
20/08/2013,119.02,0.002355317
19/08/2013,118.74,-0.010555514
16/08/2013,120,-0.019067063
15/08/2013,122.31,-0.033050892
14/08/2013,126.42,-0.009604104
13/08/2013,127.64,-0.00515747
12/08/2013,128.3,-0.000545447
09/08/2013,128.37,-0.004352902
08/08/2013,128.93,0.003418541
07/08/2013,128.49,0.004680561
06/08/2013,127.89,0.005331255
05/08/2013,127.21,-0.009233242
02/08/2013,128.39,0.023484137
01/08/2013,125.41,0.008166579
31/07/2013,124.39,-0.014525395
30/07/2013,126.21,0.008274373
29/07/2013,125.17,-0.069881933
26/07/2013,134.23,0.013953715
25/07/2013,132.37,0.017989661
24/07/2013,130.01,0.005630776
23/07/2013,129.28,-0.007014327
22/07/2013,130.19,0.006318406
19/07/2013,129.37,0.002941634
18/07/2013,128.99,0.00887718
17/07/2013,127.85,-0.000781861
16/07/2013,127.95,-0.002965509
15/07/2013,128.33,-0.001246009
12/07/2013,128.49,0.002181536
11/07/2013,128.21,0.002890063
10/07/2013,127.84,0.011169785
09/07/2013,126.42,0.01675081
08/07/2013,124.32,0.004433882
05/07/2013,123.77,0.013338953
03/07/2013,122.13,0.000983043
02/07/2013,122.01,0.000573888
01/07/2013,121.94,0.007738575
28/06/2013,121,0.000992228
27/06/2013,120.88,0.010645476
26/06/2013,119.6,0.006795613
25/06/2013,118.79,0.002444268
24/06/2013,118.5,-0.009323489
21/06/2013,119.61,0.009745519
20/06/2013,118.45,-0.013750531
19/06/2013,120.09,-0.008870524
18/06/2013,121.16,0.013711936
17/06/2013,119.51,0.007643563
14/06/2013,118.6,0.004478818
13/06/2013,118.07,0.01364394
12/06/2013,116.47,-0.005821436
11/06/2013,117.15,-0.00204656
10/06/2013,117.39,0.004953042
07/06/2013,116.81,-0.006059849
06/06/2013,117.52,0.037982542
05/06/2013,113.14,-0.012996319
04/06/2013,114.62,-0.011536755
03/06/2013,115.95,0.000949135
31/05/2013,115.84,-0.011671949
30/05/2013,117.2,0.001451565
