Date,Close,CAH
04/04/2014,69.01,-0.032785148
03/04/2014,71.31,0.014549307
02/04/2014,70.28,0.007856622
01/04/2014,69.73,-0.003578846
31/03/2014,69.98,0.004296154
28/03/2014,69.68,0.007779898
27/03/2014,69.14,-0.016922819
26/03/2014,70.32,-0.011593513
25/03/2014,71.14,0.014156522
24/03/2014,70.14,-0.001424705
21/03/2014,70.24,-0.021269905
20/03/2014,71.75,-0.005282192
19/03/2014,72.13,-0.018134856
18/03/2014,73.45,0.010401079
17/03/2014,72.69,0.005518016
14/03/2014,72.29,-0.002624855
13/03/2014,72.48,-0.000827472
12/03/2014,72.54,0
11/03/2014,72.54,0.000965451
10/03/2014,72.47,0.002348554
07/03/2014,72.3,-0.003589677
06/03/2014,72.56,-0.008781615
05/03/2014,73.2,-0.004634055
04/03/2014,73.54,0.028411786
03/03/2014,71.48,-0.000699252
28/02/2014,71.53,-0.004185274
27/02/2014,71.83,0.003067487
26/02/2014,71.61,-0.00543139
25/02/2014,72,0.003199558
24/02/2014,71.77,0.000278707
21/02/2014,71.75,0.003350555
20/02/2014,71.51,0.008002851
19/02/2014,70.94,0.001975449
18/02/2014,70.8,0.007514035
14/02/2014,70.27,0.004993234
13/02/2014,69.92,0.006456727
12/02/2014,69.47,-0.001294685
11/02/2014,69.56,0.042584617
10/02/2014,66.66,-0.013114942
07/02/2014,67.54,0.018982709
06/02/2014,66.27,0.013673868
05/02/2014,65.37,-0.002902316
04/02/2014,65.56,-0.003045997
03/02/2014,65.76,-0.033790029
31/01/2014,68.02,-0.013724847
30/01/2014,68.96,0.037076841
29/01/2014,66.45,-0.014046854
28/01/2014,67.39,0.032117348
27/01/2014,65.26,-0.002448731
24/01/2014,65.42,-0.023267404
23/01/2014,66.96,-0.014676714
22/01/2014,67.95,-0.000735565
21/01/2014,68,0.00471699
17/01/2014,67.68,-0.003834247
16/01/2014,67.94,0.000441664
15/01/2014,67.91,-0.004261266
14/01/2014,68.2,0.003672424
13/01/2014,67.95,-0.019961324
10/01/2014,69.32,0.016582198
09/01/2014,68.18,0.017010986
08/01/2014,67.03,-0.007727784
07/01/2014,67.55,0.012213437
06/01/2014,66.73,-0.000898742
03/01/2014,66.79,0.009930867
02/01/2014,66.13,-0.010230268
31/12/2013,66.81,-0.00388408
30/12/2013,67.07,-0.001043141
27/12/2013,67.14,-0.005051266
26/12/2013,67.48,0.005349196
24/12/2013,67.12,0.001938708
23/12/2013,66.99,0.006439558
20/12/2013,66.56,-0.003150081
