Date,Close,GME
04/04/2014,42.84,-0.035541973
03/04/2014,44.39,0.023246261
02/04/2014,43.37,0.018383298
01/04/2014,42.58,0.035376538
31/03/2014,41.1,0.011747565
28/03/2014,40.62,0.084463263
27/03/2014,37.33,-0.041196958
26/03/2014,38.9,0.028949733
25/03/2014,37.79,-0.008432198
24/03/2014,38.11,0.007638652
21/03/2014,37.82,-0.016260521
20/03/2014,38.44,0.021828612
19/03/2014,37.61,-0.020527037
18/03/2014,38.39,-0.034812832
17/03/2014,39.75,0.019561147
14/03/2014,38.98,0.048892786
13/03/2014,37.12,-0.036502333
12/03/2014,38.5,0.000259774
11/03/2014,38.49,-0.000519481
10/03/2014,38.51,-0.000259639
07/03/2014,38.52,-0.004403582
06/03/2014,38.69,-0.001549587
05/03/2014,38.75,0.036797844
04/03/2014,37.35,0.004293004
03/03/2014,37.19,-0.003221479
28/02/2014,37.31,0.001609442
27/02/2014,37.25,-0.021774626
26/02/2014,38.07,-0.010452146
25/02/2014,38.47,0.064971853
24/02/2014,36.05,0.013685453
21/02/2014,35.56,-0.002247192
20/02/2014,35.64,0.001122965
19/02/2014,35.6,-0.015054647
18/02/2014,36.14,0.014773788
14/02/2014,35.61,-0.006995971
13/02/2014,35.86,-0.017963727
12/02/2014,36.51,0.021035927
11/02/2014,35.75,-0.018567805
10/02/2014,36.42,0.025585378
07/02/2014,35.5,0.004234304
06/02/2014,35.35,0.016831092
05/02/2014,34.76,0.023578446
04/02/2014,33.95,0.003540871
03/02/2014,33.83,-0.035998081
31/01/2014,35.07,-0.006820146
30/01/2014,35.31,0.006820146
29/01/2014,35.07,-0.0275608
28/01/2014,36.05,-0.034622512
27/01/2014,37.32,0.02166932
24/01/2014,36.52,-0.046283505
23/01/2014,38.25,-0.025807884
22/01/2014,39.25,0.026854183
21/01/2014,38.21,0.014764307
17/01/2014,37.65,-0.002652521
16/01/2014,37.75,0.020878703
15/01/2014,36.97,0.018013588
14/01/2014,36.31,-0.221655251
13/01/2014,45.32,-0.004403354
10/01/2014,45.52,0.012156189
09/01/2014,44.97,-0.008414576
08/01/2014,45.35,0.027043776
07/01/2014,44.14,-0.08737002
06/01/2014,48.17,-0.021969881
03/01/2014,49.24,-0.008292089
02/01/2014,49.65,0.007885998
31/12/2013,49.26,-0.000202984
30/12/2013,49.27,0.004679085
27/12/2013,49.04,-0.026560918
26/12/2013,50.36,-0.012040015
24/12/2013,50.97,0.008867927
23/12/2013,50.52,0.02545993
20/12/2013,49.25,-0.012510252
19/12/2013,49.87,-0.001202405
18/12/2013,49.93,0.019209973
17/12/2013,48.98,0.017921996
16/12/2013,48.11,0.017191199
13/12/2013,47.29,0.036171866
12/12/2013,45.61,0.008808689
11/12/2013,45.21,-0.012310553
10/12/2013,45.77,0.004159831
09/12/2013,45.58,0.011030335
06/12/2013,45.08,-0.001108525
05/12/2013,45.13,-0.014081641
04/12/2013,45.77,-0.003924994
03/12/2013,45.95,-0.021955251
02/12/2013,46.97,-0.026886728
29/11/2013,48.25,0.009998
27/11/2013,47.77,-0.010205233
26/11/2013,48.26,-0.013174336
25/11/2013,48.9,-0.019441682
22/11/2013,49.86,0.021488765
21/11/2013,48.8,-0.071939346
20/11/2013,52.44,-0.01420075
19/11/2013,53.19,-0.034189785
18/11/2013,55.04,-0.026711277
15/11/2013,56.53,-0.015795344
14/11/2013,57.43,-0.002782127
13/11/2013,57.59,0.010999674
12/11/2013,56.96,0.028130749
11/11/2013,55.38,-0.001804078
08/11/2013,55.48,0.03037745
07/11/2013,53.82,-0.040599004
06/11/2013,56.05,-0.009057872
05/11/2013,56.56,0.022529113
04/11/2013,55.3,0.004531045
01/11/2013,55.05,0.004186772
31/10/2013,54.82,-0.007270116
30/10/2013,55.22,-0.004156507
29/10/2013,55.45,0.018933753
