Date,Close,MWV
04/04/2014,38.35,-0.008309578
03/04/2014,38.67,-0.000775494
02/04/2014,38.7,0.015362885
01/04/2014,38.11,0.0124094
31/03/2014,37.64,0.010683862
28/03/2014,37.24,0.019249612
27/03/2014,36.53,0.004664571
26/03/2014,36.36,-0.014742282
25/03/2014,36.9,0.007890124
24/03/2014,36.61,-0.001092001
21/03/2014,36.65,0.00547197
20/03/2014,36.45,-0.002739728
19/03/2014,36.55,-0.003550461
18/03/2014,36.68,0.000818219
17/03/2014,36.65,0.006844654
14/03/2014,36.4,-0.002743486
13/03/2014,36.5,-0.025961436
12/03/2014,37.46,0.004548503
11/03/2014,37.29,-0.00721446
10/03/2014,37.56,-0.005310687
07/03/2014,37.76,0.003448737
06/03/2014,37.63,0.000797554
05/03/2014,37.6,-0.001594473
04/03/2014,37.66,0.00773028
03/03/2014,37.37,-0.001604278
28/02/2014,37.43,0.024612466
27/02/2014,36.52,0.008524732
26/02/2014,36.21,0.016147344
25/02/2014,35.63,-0.007270726
24/02/2014,35.89,0.005308016
21/02/2014,35.7,-0.004471779
20/02/2014,35.86,0.001395284
19/02/2014,35.81,-0.010831935
18/02/2014,36.2,-0.000828386
14/02/2014,36.23,0
13/02/2014,36.23,0.00331767
12/02/2014,36.11,0.007505247
11/02/2014,35.84,0.007562002
10/02/2014,35.57,0.020736434
07/02/2014,34.84,0.010386706
06/02/2014,34.48,0.00961686
05/02/2014,34.15,-0.001170618
04/02/2014,34.19,-0.026552787
03/02/2014,35.11,-0.026975505
31/01/2014,36.07,-0.003044985
30/01/2014,36.18,0.015037877
29/01/2014,35.64,-0.005874964
28/01/2014,35.85,-0.009715552
27/01/2014,36.2,0.011949566
24/01/2014,35.77,-0.033267673
23/01/2014,36.98,-0.011828095
22/01/2014,37.42,-0.003468057
21/01/2014,37.55,0.006144002
17/01/2014,37.32,-0.006942618
16/01/2014,37.58,0.005336192
15/01/2014,37.38,0.04710619
14/01/2014,35.66,0.018110286
13/01/2014,35.02,-0.01670717
10/01/2014,35.61,-0.000280781
09/01/2014,35.62,-0.017256203
08/01/2014,36.24,-0.001929704
07/01/2014,36.31,0.007741261
06/01/2014,36.03,-0.002217911
03/01/2014,36.11,-0.015934403
02/01/2014,36.69,-0.00651999
31/12/2013,36.93,0.008702802
30/12/2013,36.61,-0.001637555
27/12/2013,36.67,-0.000272665
26/12/2013,36.68,0.001091108
24/12/2013,36.64,0.010149587
23/12/2013,36.27,0.011647386
20/12/2013,35.85,-0.008609968
19/12/2013,36.16,-0.014005447
18/12/2013,36.67,0.019829898
17/12/2013,35.95,0.010907674
16/12/2013,35.56,0.011312338
13/12/2013,35.16,0.005704522
12/12/2013,34.96,0
11/12/2013,34.96,-0.010810916
10/12/2013,35.34,-0.00873368
09/12/2013,35.65,-0.001681615
06/12/2013,35.71,0.0106983
05/12/2013,35.33,0.008527624
04/12/2013,35.03,0.001142531
03/12/2013,34.99,-0.00399316
02/12/2013,35.13,0.000569476
29/11/2013,35.11,-0.008790642
27/11/2013,35.42,0.011642897
26/11/2013,35.01,0.001715266
25/11/2013,34.95,-0.006843483
22/11/2013,35.19,0.018065007
21/11/2013,34.56,0.015748357
20/11/2013,34.02,-0.01197969
19/11/2013,34.43,-0.003768667
18/11/2013,34.56,-0.006345565
15/11/2013,34.78,0.015064016
14/11/2013,34.26,0.009089639
13/11/2013,33.95,-0.001471671
12/11/2013,34,-0.00732604
11/11/2013,34.25,0.007620201
08/11/2013,33.99,0.014520925
07/11/2013,33.5,-0.017458647
06/11/2013,34.09,-0.002636592
05/11/2013,34.18,-0.033091784
04/11/2013,35.33,0.005676995
01/11/2013,35.13,0.008002329
31/10/2013,34.85,-0.007147993
30/10/2013,35.1,-0.000854336
29/10/2013,35.13,-0.098591285
28/10/2013,38.77,-0.013832188
25/10/2013,39.31,0.004845094
24/10/2013,39.12,0.014418375
23/10/2013,38.56,-0.008007275
22/10/2013,38.87,0.008785586
21/10/2013,38.53,-0.003885512
18/10/2013,38.68,0.003885512
17/10/2013,38.53,0.027096226
16/10/2013,37.5,-0.000533191
15/10/2013,37.52,-0.013764114
14/10/2013,38.04,0.007387896
11/10/2013,37.76,0.006642777
10/10/2013,37.51,0.021285998
09/10/2013,36.72,-0.004618946
08/10/2013,36.89,-0.016933613
07/10/2013,37.52,0
04/10/2013,37.52,0.001600427
03/10/2013,37.46,-0.017203018
02/10/2013,38.11,-0.009402002
01/10/2013,38.47,0.002342226
30/09/2013,38.38,-0.008044678
27/09/2013,38.69,-0.008749412
26/09/2013,39.03,0.017315331
25/09/2013,38.36,-0.006755027
24/09/2013,38.62,0.004151537
23/09/2013,38.46,0.003907781
20/09/2013,38.31,-0.012451523
19/09/2013,38.79,-0.001545595
18/09/2013,38.85,0.015041777
17/09/2013,38.27,-0.007289801
16/09/2013,38.55,-0.00025937
13/09/2013,38.56,0.011476391
12/09/2013,38.12,-0.004710817
11/09/2013,38.3,0.006286034
10/09/2013,38.06,0.003948932
09/09/2013,37.91,0.024837704
06/09/2013,36.98,-0.003239744
05/09/2013,37.1,0.007847422
04/09/2013,36.81,0.012575343
03/09/2013,36.35,0.013850637
30/08/2013,35.85,-0.012749618
29/08/2013,36.31,0.001102232
28/08/2013,36.27,0.000827472
27/08/2013,36.24,-0.013974744
26/08/2013,36.75,0.011494379
23/08/2013,36.33,0.000275293
22/08/2013,36.32,0.005245009
21/08/2013,36.13,-0.00359166
20/08/2013,36.26,0.00359166
19/08/2013,36.13,-0.006620714
16/08/2013,36.37,0.006343974
15/08/2013,36.14,-0.025137936
14/08/2013,37.06,-0.00242555
13/08/2013,37.15,0
12/08/2013,37.15,0.00675222
09/08/2013,36.9,-0.003246756
08/08/2013,37.02,-0.00134971
07/08/2013,37.07,-0.002424897
06/08/2013,37.16,-0.00563533
05/08/2013,37.37,-0.006401729
02/08/2013,37.61,-0.002655339
01/08/2013,37.71,0.020359664
31/07/2013,36.95,0.017747906
30/07/2013,36.3,0.003587695
29/07/2013,36.17,-0.004964158
26/07/2013,36.35,-0.006580775
25/07/2013,36.59,0.008508354
24/07/2013,36.28,-0.004674833
23/07/2013,36.45,-0.00547197
22/07/2013,36.65,0.000272889
19/07/2013,36.64,0.001092299
18/07/2013,36.6,0.013755375
17/07/2013,36.1,0.006949298
16/07/2013,35.85,-0.006117928
15/07/2013,36.07,0.000832062
12/07/2013,36.04,0.011441453
11/07/2013,35.63,0.024145471
10/07/2013,34.78,-0.00287109
09/07/2013,34.88,0.006327315
08/07/2013,34.66,0.005206838
05/07/2013,34.48,0.008738768
03/07/2013,34.18,-0.002629658
02/07/2013,34.27,-0.013045554
01/07/2013,34.72,0.017725293
28/06/2013,34.11,-0.006429011
27/06/2013,34.33,0.002041115
26/06/2013,34.26,0.011744116
25/06/2013,33.86,0.003253959
24/06/2013,33.75,-0.026317308
21/06/2013,34.65,0.003758859
20/06/2013,34.52,-0.013809195
19/06/2013,35,-0.011646205
18/06/2013,35.41,-0.008156423
17/06/2013,35.7,-0.000560067
14/06/2013,35.72,0.000279994
13/06/2013,35.71,0.016090679
12/06/2013,35.14,-0.009065218
11/06/2013,35.46,-0.003940337
10/06/2013,35.6,-0.001964362
07/06/2013,35.67,0.013548048
06/06/2013,35.19,0.014887192
05/06/2013,34.67,-0.010330078
04/06/2013,35.03,-0.013327859
03/06/2013,35.5,0.014184635
31/05/2013,35,-0.014747857
30/05/2013,35.52,0.001972665
29/05/2013,35.45,-0.006747285
28/05/2013,35.69,0.019522476
24/05/2013,35,-0.00796817
23/05/2013,35.28,0.01686477
22/05/2013,34.69,-0.017148177
21/05/2013,35.29,-0.000283326
20/05/2013,35.3,-0.013226589
17/05/2013,35.77,-0.014708188
16/05/2013,36.3,0.00165426
15/05/2013,36.24,0.013892971
14/05/2013,35.74,0.004767924
13/05/2013,35.57,0.009320785
10/05/2013,35.24,0.003695811
09/05/2013,35.11,0.002281153
08/05/2013,35.03,0.008313076
07/05/2013,34.74,0.004905507
06/05/2013,34.57,0.00202693
03/05/2013,34.5,0.018724947
02/05/2013,33.86,0.00770831
01/05/2013,33.6,-0.025853379
30/04/2013,34.48,-0.001738627
29/04/2013,34.54,0.010184869
26/04/2013,34.19,-0.014806483
25/04/2013,34.7,-0.011461444
24/04/2013,35.1,0.001425517
23/04/2013,35.05,0.007445624
22/04/2013,34.79,0.011273425
19/04/2013,34.4,0.01169604
18/04/2013,34,-0.01169604
17/04/2013,34.4,-0.008394897
16/04/2013,34.69,0.006072015
15/04/2013,34.48,-0.036730107
12/04/2013,35.77,-0.011396927
11/04/2013,36.18,-0.005237779
10/04/2013,36.37,0.004961421
09/04/2013,36.19,-0.006335237
08/04/2013,36.42,0.011321397
05/04/2013,36.01,-0.003326867
04/04/2013,36.13,0.002494112
03/04/2013,36.04,-0.013504408
02/04/2013,36.53,0.008522388
01/04/2013,36.22,-0.002206289
28/03/2013,36.3,0.003034904
27/03/2013,36.19,-0.005511174
26/03/2013,36.39,0.001374949
25/03/2013,36.34,-0.009039919
22/03/2013,36.67,-0.002723313
21/03/2013,36.77,-0.032903864
20/03/2013,38,0.003691014
19/03/2013,37.86,0.004765696
18/03/2013,37.68,-0.000530645
15/03/2013,37.7,0.00185849
14/03/2013,37.63,0.012030622
13/03/2013,37.18,0.011360685
12/03/2013,36.76,0
11/03/2013,36.76,0.009292223
08/03/2013,36.42,0.015495606
07/03/2013,35.86,-0.00139334
06/03/2013,35.91,0.002509412
05/03/2013,35.82,0.006722714
04/03/2013,35.58,-0.000561956
01/03/2013,35.6,-0.003085124
28/02/2013,35.71,0.001962159
27/02/2013,35.64,0.020695281
26/02/2013,34.91,0.016462466
25/02/2013,34.34,-0.017893695
22/02/2013,34.96,0.019350784
21/02/2013,34.29,-0.006395371
20/02/2013,34.51,-0.018944309
19/02/2013,35.17,-0.0135557
15/02/2013,35.65,0.11806358
14/02/2013,31.68,0.001895735
13/02/2013,31.62,0.003484876
12/02/2013,31.51,0.000634921
11/02/2013,31.49,-0.007277362
08/02/2013,31.72,0.008866429
07/02/2013,31.44,-0.005708864
06/02/2013,31.62,-0.002526849
05/02/2013,31.7,0.003792672
04/02/2013,31.58,-0.012586699
01/02/2013,31.98,0.01989644
31/01/2013,31.35,-0.00889177
30/01/2013,31.63,-0.040278059
29/01/2013,32.93,0.004870634
28/01/2013,32.77,-0.008508104
25/01/2013,33.05,0.020480618
24/01/2013,32.38,0.012430241
23/01/2013,31.98,-0.015821642
22/01/2013,32.49,0
18/01/2013,32.49,-0.002766253
17/01/2013,32.58,0.004923087
16/01/2013,32.42,-0.009210995
15/01/2013,32.72,-0.00091645
14/01/2013,32.75,-0.00942113
11/01/2013,33.06,0.013705103
10/01/2013,32.61,-0.005809526
09/01/2013,32.8,0.000915053
08/01/2013,32.77,-0.006691023
07/01/2013,32.99,-0.00664655
04/01/2013,33.21,0.012117688
03/01/2013,32.81,0.008878062
02/01/2013,32.52,0.020190156
31/12/2012,31.87,0.015494381
28/12/2012,31.38,-0.00951482
27/12/2012,31.68,-0.000315607
26/12/2012,31.69,0.004110678
24/12/2012,31.56,0.002538072
21/12/2012,31.48,-0.00664875
20/12/2012,31.69,0.018471863
19/12/2012,31.11,-0.001284934
18/12/2012,31.15,0.010974933
17/12/2012,30.81,0.017021688
14/12/2012,30.29,-0.000330087
13/12/2012,30.3,-0.01148495
12/12/2012,30.65,-0.011031909
11/12/2012,30.99,0.005500742
10/12/2012,30.82,0.004226961
07/12/2012,30.69,0.006538108
06/12/2012,30.49,0.004931787
05/12/2012,30.34,-0.006897712
04/12/2012,30.55,-0.003594188
03/12/2012,30.66,-0.008120883
30/11/2012,30.91,0.006491422
29/11/2012,30.71,0.00850234
28/11/2012,30.45,0.011228652
27/11/2012,30.11,0.024543172
26/11/2012,29.38,-0.001360544
23/11/2012,29.42,0.013344937
21/11/2012,29.03,0.004488183
20/11/2012,28.9,-0.012721506
19/11/2012,29.27,0.021060678
16/11/2012,28.66,0.013347581
15/11/2012,28.28,-0.020648153
14/11/2012,28.87,-0.018871721
13/11/2012,29.42,-0.005423742
12/11/2012,29.58,0.002030458
09/11/2012,29.52,0.000338811
08/11/2012,29.51,-0.013129291
07/11/2012,29.9,-0.011968228
06/11/2012,30.26,0.007629826
05/11/2012,30.03,0.003669729
02/11/2012,29.92,-0.015257344
01/11/2012,30.38,0.022974208
31/10/2012,29.69,0.002698147
26/10/2012,29.61,0.000675676
25/10/2012,29.59,-0.000337895
24/10/2012,29.6,-0.007404948
23/10/2012,29.82,-0.018934298
22/10/2012,30.39,0.000658328
19/10/2012,30.37,-0.016977228
18/10/2012,30.89,0.007147529
17/10/2012,30.67,0.002938778
16/10/2012,30.58,0.014161277
15/10/2012,30.15,0.002324424
12/10/2012,30.08,-0.000332392
11/10/2012,30.09,0.000997506
10/10/2012,30.06,-0.002657809
09/10/2012,30.14,-0.006613781
08/10/2012,30.34,-0.00361902
05/10/2012,30.45,-0.024332101
04/10/2012,31.2,0.00160385
03/10/2012,31.15,0.00870552
02/10/2012,30.88,-0.000323782
01/10/2012,30.89,0.009432498
28/09/2012,30.6,-0.001958864
27/09/2012,30.66,0.003921574
26/09/2012,30.54,-0.000327386
25/09/2012,30.55,-0.010096161
24/09/2012,30.86,0.005198192
21/09/2012,30.7,0.004897969
20/09/2012,30.55,0.008216973
19/09/2012,30.3,0
18/09/2012,30.3,0.000330087
17/09/2012,30.29,-0.017021688
14/09/2012,30.81,0.011424965
13/09/2012,30.46,0.019224987
12/09/2012,29.88,0.011105616
11/09/2012,29.55,0.001693481
10/09/2012,29.5,-0.004397098
07/09/2012,29.63,0.011541201
06/09/2012,29.29,0.016870774
05/09/2012,28.8,0.003129893
04/09/2012,28.71,-0.001740039
31/08/2012,28.76,0.004181191
30/08/2012,28.64,-0.008691172
29/08/2012,28.89,0.009739207
28/08/2012,28.61,-0.002094973
27/08/2012,28.67,-0.002438601
24/08/2012,28.74,0.007333715
23/08/2012,28.53,-0.010460346
22/08/2012,28.83,0.007310738
21/08/2012,28.62,-0.002442856
20/08/2012,28.69,-0.002436903
17/08/2012,28.76,0.00104366
16/08/2012,28.73,0.01720246
15/08/2012,28.24,0.001772107
14/08/2012,28.19,-0.001417937
13/08/2012,28.23,0.001772736
10/08/2012,28.18,0.010344305
09/08/2012,27.89,0.011539977
08/08/2012,27.57,-0.014404282
07/08/2012,27.97,0.008257092
06/08/2012,27.74,-0.001800829
03/08/2012,27.79,0.018155909
02/08/2012,27.29,-0.017796003
01/08/2012,27.78,-0.022072808
31/07/2012,28.4,0.002114911
30/07/2012,28.34,-0.012622889
27/07/2012,28.7,0.011564874
26/07/2012,28.37,0.003531077
25/07/2012,28.27,0.012457894
24/07/2012,27.92,-0.02406344
23/07/2012,28.6,-0.016299997
20/07/2012,29.07,-0.004804402
19/07/2012,29.21,0.005148458
18/07/2012,29.06,0.014558316
17/07/2012,28.64,0.007359416
16/07/2012,28.43,-0.004912291
13/07/2012,28.57,0.004912291
12/07/2012,28.43,-0.004562212
11/07/2012,28.56,0.005970167
10/07/2012,28.39,0.010623329
09/07/2012,28.09,-0.004617305
06/07/2012,28.22,-0.015122497
05/07/2012,28.65,-0.006263068
03/07/2012,28.83,0.011512424
02/07/2012,28.5,-0.00873368
29/06/2012,28.75,0.02786285
28/06/2012,27.96,0.002506716
27/06/2012,27.89,-0.008212865
26/06/2012,28.12,0.006063867
25/06/2012,27.95,-0.008195307
22/06/2012,28.18,0.014656205
21/06/2012,27.77,-0.021375948
20/06/2012,28.37,-0.005974363
19/06/2012,28.54,0.005269642
18/06/2012,28.39,0.006360445
15/06/2012,28.21,0.012484557
14/06/2012,27.86,0.00865182
13/06/2012,27.62,-0.014735217
12/06/2012,28.03,0.019816898
11/06/2012,27.48,-0.018388836
08/06/2012,27.99,0.018752803
07/06/2012,27.47,0.004743669
06/06/2012,27.34,0.02219026
05/06/2012,26.74,0.006754247
04/06/2012,26.56,0.008317628
01/06/2012,26.34,-0.043097308
31/05/2012,27.5,-0.001090314
30/05/2012,27.53,-0.023336187
29/05/2012,28.18,0.016097647
25/05/2012,27.73,-0.008617648
24/05/2012,27.97,0.005017932
23/05/2012,27.83,0.016301756
22/05/2012,27.38,-0.01342302
21/05/2012,27.75,0.033715176
18/05/2012,26.83,-0.007426696
17/05/2012,27.03,-0.015054443
16/05/2012,27.44,-0.016624886
15/05/2012,27.9,0.001793722
14/05/2012,27.85,-0.000359002
11/05/2012,27.86,0
10/05/2012,27.86,0.009013942
09/05/2012,27.61,-0.012954481
08/05/2012,27.97,-0.00996095
07/05/2012,28.25,-0.001414928
04/05/2012,28.29,-0.011946734
03/05/2012,28.63,-0.001047303
02/05/2012,28.66,-0.011448521
01/05/2012,28.99,-0.09314408
30/04/2012,31.82,0
27/04/2012,31.82,0.001887387
26/04/2012,31.76,-0.016549948
25/04/2012,32.29,0.022867089
24/04/2012,31.56,0.00158554
23/04/2012,31.51,-0.014805752
20/04/2012,31.98,0.017347857
19/04/2012,31.43,0.011842033
18/04/2012,31.06,-0.006738354
17/04/2012,31.27,0.003844926
16/04/2012,31.15,0.003859767
13/04/2012,31.03,-0.006104437
12/04/2012,31.22,0.025301382
11/04/2012,30.44,0.01023618
10/04/2012,30.13,-0.027497641
09/04/2012,30.97,-0.011237877
05/04/2012,31.32,0
04/04/2012,31.32,-0.001913876
03/04/2012,31.38,-0.006986373
02/04/2012,31.6,0.000316506
30/03/2012,31.59,0.004123717
29/03/2012,31.46,-0.001588058
28/03/2012,31.51,-0.002852165
