Date,Close,KR
04/04/2014,44.68,-0.006247231
03/04/2014,44.96,-0.006650435
02/04/2014,45.26,0.036907879
01/04/2014,43.62,-0.000687522
31/03/2014,43.65,-0.006849342
28/03/2014,43.95,0.007307637
27/03/2014,43.63,0.008285433
26/03/2014,43.27,-0.005531242
25/03/2014,43.51,-0.002295685
24/03/2014,43.61,-0.008221101
21/03/2014,43.97,-0.000454752
20/03/2014,43.99,0.006843092
19/03/2014,43.69,-0.007070391
18/03/2014,44,-0.000454442
17/03/2014,44.02,0.002501992
14/03/2014,43.91,0.009611058
13/03/2014,43.49,-0.008699689
12/03/2014,43.87,0.012154719
11/03/2014,43.34,-0.009415617
10/03/2014,43.75,-0.000685479
07/03/2014,43.78,0.009409134
06/03/2014,43.37,-0.007122374
05/03/2014,43.68,0.029977846
04/03/2014,42.39,0.009480991
03/03/2014,41.99,0.001191469
28/02/2014,41.94,0.043866682
27/02/2014,40.14,0.00274417
26/02/2014,40.03,0.009538225
25/02/2014,39.65,-0.003273325
24/02/2014,39.78,0.004535155
21/02/2014,39.6,0.008113635
20/02/2014,39.28,0.013068732
19/02/2014,38.77,0.030642701
18/02/2014,37.6,0.005868248
14/02/2014,37.38,0.007788411
13/02/2014,37.09,0.004323163
12/02/2014,36.93,-0.004323163
11/02/2014,37.09,0.024564554
10/02/2014,36.19,-0.002483788
07/02/2014,36.28,-0.013143672
06/02/2014,36.76,0.036287045
05/02/2014,35.45,-0.000564016
04/02/2014,35.47,0.00254058
03/02/2014,35.38,-0.020146177
31/01/2014,36.1,-0.008825209
30/01/2014,36.42,-0.003015767
29/01/2014,36.53,-0.003279588
28/01/2014,36.65,0.02402435
27/01/2014,35.78,-0.008349617
24/01/2014,36.08,-0.008830079
23/01/2014,36.4,-0.000823836
22/01/2014,36.43,-0.004382368
21/01/2014,36.59,-0.00545109
17/01/2014,36.79,-0.015106842
16/01/2014,37.35,-0.049873277
15/01/2014,39.26,0.006644543
14/01/2014,39,0.010050336
13/01/2014,38.61,-0.02177619
10/01/2014,39.46,0.002537428
09/01/2014,39.36,0.0104713
08/01/2014,38.95,-0.001282874
07/01/2014,39,0.006172859
06/01/2014,38.76,-0.00873368
03/01/2014,39.1,-0.004593016
02/01/2014,39.28,-0.006344394
31/12/2013,39.53,-0.003031071
30/12/2013,39.65,0.00277813
27/12/2013,39.54,-0.007809587
26/12/2013,39.85,-0.001003261
24/12/2013,39.89,0
23/12/2013,39.89,0.004774478
20/12/2013,39.7,0.000755953
19/12/2013,39.67,-0.010282222
18/12/2013,40.08,0.00625706
17/12/2013,39.83,-0.005757933
16/12/2013,40.06,0.003500879
13/12/2013,39.92,-0.001751971
12/12/2013,39.99,-0.009209773
11/12/2013,40.36,0.000247801
10/12/2013,40.35,-0.001733317
09/12/2013,40.42,-0.000494682
06/12/2013,40.44,0.009441064
05/12/2013,40.06,-0.035796909
04/12/2013,41.52,-0.013872502
03/12/2013,42.1,0.007390664
02/12/2013,41.79,0.000957625
29/11/2013,41.75,-0.003108935
27/11/2013,41.88,-0.001670047
26/11/2013,41.95,-0.014436412
25/11/2013,42.56,0.00400236
22/11/2013,42.39,0.009242867
21/11/2013,42,0.00836825
20/11/2013,41.65,-0.004790428
19/11/2013,41.85,0.011535816
18/11/2013,41.37,-0.029298273
15/11/2013,42.6,-0.001876173
14/11/2013,42.68,0.01297035
13/11/2013,42.13,0.005235614
12/11/2013,41.91,0.009108404
11/11/2013,41.53,-0.010300726
08/11/2013,41.96,0.007415415
07/11/2013,41.65,-0.026301718
06/11/2013,42.76,0.002575812
05/11/2013,42.65,0.003287932
04/11/2013,42.51,-0.004459578
01/11/2013,42.7,-0.003273325
31/10/2013,42.84,-0.001166453
30/10/2013,42.89,-0.009513936
29/10/2013,43.3,0.003238495
