Date,Close,wMT
04/04/2014,77.31,-0.001938361
03/04/2014,77.46,0.003621318
02/04/2014,77.18,0.005326417
01/04/2014,76.77,0.00443865
31/03/2014,76.43,0.005510379
28/03/2014,76.01,-0.00170884
27/03/2014,76.14,-0.001181335
26/03/2014,76.23,-0.008360597
25/03/2014,76.87,0.001432012
24/03/2014,76.76,0.008635406
21/03/2014,76.1,0.009506277
20/03/2014,75.38,0.013354899
19/03/2014,74.38,-0.005229647
18/03/2014,74.77,0.001204416
17/03/2014,74.68,0.005370582
14/03/2014,74.28,-0.008712608
13/03/2014,74.93,-0.007975584
12/03/2014,75.53,0.008109051
11/03/2014,74.92,0.006561791
10/03/2014,74.43,-0.002013288
07/03/2014,74.58,-0.004014457
06/03/2014,74.88,0.001068947
05/03/2014,74.8,-0.004402061
04/03/2014,75.13,0.013534545
03/03/2014,74.12,-0.007794691
28/02/2014,74.7,0.001875922
27/02/2014,74.56,-0.002946299
26/02/2014,74.78,0.019307965
25/02/2014,73.35,0
24/02/2014,73.35,0.003140577
21/02/2014,73.12,-0.005455551
20/02/2014,73.52,-0.017928633
19/02/2014,74.85,-0.006392351
18/02/2014,75.33,-0.006087896
14/02/2014,75.79,0.005689728
13/02/2014,75.36,0.005321992
12/02/2014,74.96,0.002136753
11/02/2014,74.8,0.014001306
10/02/2014,73.76,0.000135584
07/02/2014,73.75,0.012690352
06/02/2014,72.82,-0.000686389
05/02/2014,72.87,0.001923078
04/02/2014,72.73,0.000962927
03/02/2014,72.66,-0.027421292
31/01/2014,74.68,-0.000936894
30/01/2014,74.75,0.00873368
29/01/2014,74.1,-0.007662873
28/01/2014,74.67,0.006988336
27/01/2014,74.15,-0.003634654
24/01/2014,74.42,-0.007229915
23/01/2014,74.96,-0.005189287
22/01/2014,75.35,-0.006481933
21/01/2014,75.84,-0.004604363
17/01/2014,76.19,-0.007453451
16/01/2014,76.76,-0.011656653
15/01/2014,77.66,-0.00385555
14/01/2014,77.96,0.006046979
13/01/2014,77.49,-0.00707262
10/01/2014,78.04,-0.000640492
09/01/2014,78.09,0.003335047
08/01/2014,77.83,-0.007934518
07/01/2014,78.45,0.003063963
06/01/2014,78.21,-0.005610113
03/01/2014,78.65,-0.003300333
02/01/2014,78.91,0.00279188
31/12/2013,78.69,0.000762777
30/12/2013,78.63,0.00203692
27/12/2013,78.47,0.001020018
26/12/2013,78.39,0.004859345
24/12/2013,78.01,0.001796254
23/12/2013,77.87,0.005666467
20/12/2013,77.43,0.002456845
19/12/2013,77.24,-0.009021842
18/12/2013,77.94,0.008892384
17/12/2013,77.25,-0.00632301
16/12/2013,77.74,-0.004364017
