Date,Close,HON
04/04/2014,93.33,-0.010127478
03/04/2014,94.28,0.004251707
02/04/2014,93.88,0.00662608
01/04/2014,93.26,0.005375779
31/03/2014,92.76,0.020365528
28/03/2014,90.89,0.006512524
27/03/2014,90.3,-0.005962257
26/03/2014,90.84,-0.017460068
25/03/2014,92.44,0.005097348
24/03/2014,91.97,-0.011029524
21/03/2014,92.99,0.000430246
20/03/2014,92.95,0.000645717
19/03/2014,92.89,-0.009215667
18/03/2014,93.75,0.00374032
17/03/2014,93.4,0.014994078
14/03/2014,92.01,-0.009088021
13/03/2014,92.85,-0.010712475
12/03/2014,93.85,-0.002766548
11/03/2014,94.11,-0.012040703
10/03/2014,95.25,-0.001992764
07/03/2014,95.44,0.007255934
06/03/2014,94.75,0.000950319
05/03/2014,94.66,0.000634048
04/03/2014,94.6,0.010733936
03/03/2014,93.59,-0.009041172
28/02/2014,94.44,0.000741486
27/02/2014,94.37,0.005418916
26/02/2014,93.86,-0.000106536
25/02/2014,93.87,0.001172521
24/02/2014,93.76,-0.001811498
21/02/2014,93.93,0.003946882
20/02/2014,93.56,0.006541228
19/02/2014,92.95,-0.014949558
18/02/2014,94.35,-0.002751907
14/02/2014,94.61,0.000845934
13/02/2014,94.53,0.002542105
12/02/2014,94.29,0.001379677
11/02/2014,94.16,0.014010175
10/02/2014,92.85,-0.003333157
07/02/2014,93.16,0.021921659
06/02/2014,91.14,0.017153079
05/02/2014,89.59,-0.001895735
04/02/2014,89.76,0.011316013
03/02/2014,88.75,-0.027560362
31/01/2014,91.23,-0.005138589
30/01/2014,91.7,0.021605779
29/01/2014,89.74,-0.007880611
28/01/2014,90.45,0.0017705
27/01/2014,90.29,0.020363201
24/01/2014,88.47,-0.014921464
23/01/2014,89.8,-0.014263053
22/01/2014,91.09,0.005504197
21/01/2014,90.59,0.007089871
17/01/2014,89.95,-0.001111111
16/01/2014,90.05,0.001555902
15/01/2014,89.91,0.005800351
14/01/2014,89.39,0.005834191
13/01/2014,88.87,-0.014411242
10/01/2014,90.16,-0.003432434
09/01/2014,90.47,0.000331657
08/01/2014,90.44,-0.003972638
07/01/2014,90.8,0.004083215
06/01/2014,90.43,-0.00099475
03/01/2014,90.52,0.002211901
02/01/2014,90.32,-0.011558277
31/12/2013,91.37,0.00405769
30/12/2013,91,-0.001537279
27/12/2013,91.14,0.000438982
26/12/2013,91.1,0.007160592
24/12/2013,90.45,0.008103502
23/12/2013,89.72,0.001896581
20/12/2013,89.55,0.010213906
19/12/2013,88.64,0.002145802
18/12/2013,88.45,0.022524247
17/12/2013,86.48,-0.010238801
16/12/2013,87.37,0.008736692
13/12/2013,86.61,0.003701566
12/12/2013,86.29,-0.001852496
11/12/2013,86.45,-0.015950766
10/12/2013,87.84,-0.000341472
09/12/2013,87.87,-0.005108133
06/12/2013,88.32,0.016668955
05/12/2013,86.86,0.000345443
04/12/2013,86.83,-0.002760209
03/12/2013,87.07,-0.012214067
02/12/2013,88.14,-0.004189081
29/11/2013,88.51,-0.004059088
27/11/2013,88.87,0.00383315
26/11/2013,88.53,-0.000677507
25/11/2013,88.59,-0.002367666
22/11/2013,88.8,0.009731886
21/11/2013,87.94,0.008221101
20/11/2013,87.22,-0.007310976
19/11/2013,87.86,-0.009289746
18/11/2013,88.68,0.000676819
15/11/2013,88.62,-0.000564048
14/11/2013,88.67,0.013168541
13/11/2013,87.51,0.010568737
12/11/2013,86.59,-0.009539754
11/11/2013,87.42,-0.000228754
08/11/2013,87.44,0.022904414
07/11/2013,85.46,-0.014636107
06/11/2013,86.72,0.004391548
05/11/2013,86.34,0.000347524
04/11/2013,86.31,-0.006927634
01/11/2013,86.91,0.002073256
31/10/2013,86.73,0.000115307
30/10/2013,86.72,-0.008497008
29/10/2013,87.46,0.0014875
28/10/2013,87.33,-0.001944747
25/10/2013,87.5,0.002517452
24/10/2013,87.28,0.006782805
23/10/2013,86.69,0.006132504
22/10/2013,86.16,0.017680924
21/10/2013,84.65,0.000827277
18/10/2013,84.58,-0.025217306
17/10/2013,86.74,0.011479052
16/10/2013,85.75,0.007139126
15/10/2013,85.14,-0.009817751
14/10/2013,85.98,-0.005567168
11/10/2013,86.46,0.015972359
10/10/2013,85.09,0.038210529
09/10/2013,81.9,0.000977278
08/10/2013,81.82,-0.01323397
07/10/2013,82.91,0.00811388
04/10/2013,82.24,0.009652467
03/10/2013,81.45,-0.016921701
02/10/2013,82.84,-0.004576667
01/10/2013,83.22,0.002165284
30/09/2013,83.04,-0.006481838
27/09/2013,83.58,-0.005607603
26/09/2013,84.05,0.002501639
25/09/2013,83.84,-0.004878349
24/09/2013,84.25,0.001425348
23/09/2013,84.13,-0.015919209
20/09/2013,85.48,-0.015208977
19/09/2013,86.79,0.001614391
18/09/2013,86.65,0.013945607
17/09/2013,85.45,0.004104374
16/09/2013,85.1,0.012415176
13/09/2013,84.05,0.003217544
12/09/2013,83.78,-0.002979562
11/09/2013,84.03,-0.001189344
10/09/2013,84.13,0.020413773
09/09/2013,82.43,0.009385162
06/09/2013,81.66,0.003311871
05/09/2013,81.39,0.00529721
04/09/2013,80.96,-0.000247005
03/09/2013,80.98,0.017565073
30/08/2013,79.57,-0.006139216
29/08/2013,80.06,0.007648461
28/08/2013,79.45,0.00252048
27/08/2013,79.25,-0.022458835
26/08/2013,81.05,-0.004309025
23/08/2013,81.4,0.007769664
22/08/2013,80.77,0.00235513
21/08/2013,80.58,-0.01404829
20/08/2013,81.72,0.003186668
19/08/2013,81.46,-0.006119221
16/08/2013,81.96,-0.000609868
15/08/2013,82.01,-0.016207418
14/08/2013,83.35,-0.004070887
13/08/2013,83.69,0.003111539
