Date,Close,PAYX
04/04/2014,41.47,-0.031567828
03/04/2014,42.8,-0.000233618
02/04/2014,42.81,0.007267644
01/04/2014,42.5,-0.002350177
31/03/2014,42.6,0.000939408
28/03/2014,42.56,0.000940292
27/03/2014,42.52,0.014211513
26/03/2014,41.92,-0.013034904
25/03/2014,42.47,0.002829523
24/03/2014,42.35,-0.011503824
21/03/2014,42.84,-0.001865672
20/03/2014,42.92,0.008188138
19/03/2014,42.57,-0.002580647
18/03/2014,42.68,0.010362787
17/03/2014,42.24,0.009992945
14/03/2014,41.82,0.003113402
13/03/2014,41.69,-0.01688707
12/03/2014,42.4,0.002124898
11/03/2014,42.31,-0.002832194
10/03/2014,42.43,-0.004937121
07/03/2014,42.64,0.014647084
06/03/2014,42.02,-0.000475851
05/03/2014,42.04,-0.00711072
04/03/2014,42.34,0.027779564
03/03/2014,41.18,-0.013986242
28/02/2014,41.76,0.005041422
27/02/2014,41.55,-0.002163722
26/02/2014,41.64,0.0089254
25/02/2014,41.27,-0.006280214
24/02/2014,41.53,0.004343636
21/02/2014,41.35,0.001936578
20/02/2014,41.27,-0.005798518
19/02/2014,41.51,-0.000240877
18/02/2014,41.52,-0.001684515
14/02/2014,41.59,0.001202935
13/02/2014,41.54,0.001686544
12/02/2014,41.47,0.007260438
11/02/2014,41.17,0.010744914
10/02/2014,40.73,-0.004165141
07/02/2014,40.9,-0.002685876
06/02/2014,41.01,0.006605529
05/02/2014,40.74,-0.002206695
04/02/2014,40.83,0.01058732
03/02/2014,40.4,-0.034544909
31/01/2014,41.82,-0.010939467
30/01/2014,42.28,0.006168466
29/01/2014,42.02,-0.006404956
28/01/2014,42.29,0.009742265
27/01/2014,41.88,-0.004764182
24/01/2014,42.08,-0.028349093
23/01/2014,43.29,-0.009655247
22/01/2014,43.71,-0.001600183
21/01/2014,43.78,-0.00728269
17/01/2014,44.1,0.003407158
16/01/2014,43.95,0.007078463
15/01/2014,43.64,-0.002745997
14/01/2014,43.76,0.004121829
13/01/2014,43.58,-0.017965236
10/01/2014,44.37,-0.003599554
09/01/2014,44.53,-0.005151764
08/01/2014,44.76,-0.007345609
07/01/2014,45.09,0.005782934
06/01/2014,44.83,-0.008661909
03/01/2014,45.22,0.003544532
02/01/2014,45.06,-0.010376514
31/12/2013,45.53,-0.003070178
30/12/2013,45.67,0.001972603
27/12/2013,45.58,-0.001315501
26/12/2013,45.64,0.004611845
24/12/2013,45.43,-0.001099989
23/12/2013,45.48,0.007282389
20/12/2013,45.15,0.005552485
19/12/2013,44.9,0.035823373
18/12/2013,43.32,0.009742596
17/12/2013,42.9,-0.006273984
16/12/2013,43.17,0.012587579
13/12/2013,42.63,-0.008874416
12/12/2013,43.01,0.000232531
11/12/2013,43,-0.00879839
10/12/2013,43.38,-0.002532521
09/12/2013,43.49,0.002763069
06/12/2013,43.37,0.016037531
05/12/2013,42.68,-0.018570636
04/12/2013,43.48,-0.005733303
