Date,Close,COG
04/04/2014,34.57,-0.026264713
03/04/2014,35.49,0.015904908
02/04/2014,34.93,0.018783965
01/04/2014,34.28,0.011737224
31/03/2014,33.88,0.001181335
28/03/2014,33.84,0.011591748
27/03/2014,33.45,0.036843869
26/03/2014,32.24,-0.01171768
25/03/2014,32.62,-0.000919259
24/03/2014,32.65,-0.009449849
21/03/2014,32.96,-0.006049625
20/03/2014,33.16,-0.009006365
19/03/2014,33.46,-0.003282115
18/03/2014,33.57,0.005376357
17/03/2014,33.39,-0.016926907
14/03/2014,33.96,-0.020402923
13/03/2014,34.66,-0.012614846
12/03/2014,35.1,-0.004548046
11/03/2014,35.26,0.000283648
10/03/2014,35.25,0.003979539
07/03/2014,35.11,0.003995439
06/03/2014,34.97,0.012083001
05/03/2014,34.55,-0.007497152
04/03/2014,34.81,0.002012941
03/03/2014,34.74,-0.007456301
28/02/2014,35,-0.010798627
27/02/2014,35.38,0.000282686
26/02/2014,35.37,-0.004513407
25/02/2014,35.53,-0.003371737
24/02/2014,35.65,-0.011712348
21/02/2014,36.07,-0.085253989
20/02/2014,39.28,-0.019912441
19/02/2014,40.07,0.010284802
18/02/2014,39.66,0.020377679
14/02/2014,38.86,0.0007723
13/02/2014,38.83,0.005681833
12/02/2014,38.61,-0.016440134
11/02/2014,39.25,0.01385348
10/02/2014,38.71,-0.015635331
07/02/2014,39.32,-0.023625125
06/02/2014,40.26,-0.003966292
05/02/2014,40.42,-0.029015811
04/02/2014,41.61,0.053053022
03/02/2014,39.46,-0.013091828
31/01/2014,39.98,0.00652449
30/01/2014,39.72,-0.019200191
29/01/2014,40.49,0.0024728
28/01/2014,40.39,0.033227321
27/01/2014,39.07,-0.012210785
24/01/2014,39.55,-0.006552443
23/01/2014,39.81,-0.002508782
22/01/2014,39.91,0.020760239
21/01/2014,39.09,0.042059222
17/01/2014,37.48,-0.017980389
16/01/2014,38.16,0.014252023
15/01/2014,37.62,0.006935211
14/01/2014,37.36,0.024933541
13/01/2014,36.44,-0.028673861
10/01/2014,37.5,0.001601281
09/01/2014,37.44,-0.034391104
08/01/2014,38.75,-0.003091989
07/01/2014,38.87,0.017387229
06/01/2014,38.2,0.006566012
03/01/2014,37.95,-0.005780363
02/01/2014,38.17,-0.01533892
31/12/2013,38.76,0.001032525
30/12/2013,38.72,-0.000258231
27/12/2013,38.73,0.004399024
26/12/2013,38.56,-0.009549692
24/12/2013,38.93,0.009290389
23/12/2013,38.57,0.003636368
20/12/2013,38.43,0.003127446
19/12/2013,38.31,0.050867497
18/12/2013,36.41,0.016337066
17/12/2013,35.82,0
16/12/2013,35.82,-0.008340332
13/12/2013,36.12,-0.012381504
12/12/2013,36.57,0.02323756
11/12/2013,35.73,-0.017478597
10/12/2013,36.36,-0.012571906
09/12/2013,36.82,0.044995093
06/12/2013,35.2,-0.018855209
05/12/2013,35.87,0.041263501
04/12/2013,34.42,-0.003480282
03/12/2013,34.54,-0.004045079
02/12/2013,34.68,0.006654154
29/11/2013,34.45,-0.000870448
27/11/2013,34.48,0.002032226
26/11/2013,34.41,-0.011270167
25/11/2013,34.8,-0.009722696
22/11/2013,35.14,0.011448322
21/11/2013,34.74,0.019181059
20/11/2013,34.08,0.02947958
19/11/2013,33.09,0.006670734
18/11/2013,32.87,-0.013897505
15/11/2013,33.33,0.005113562
14/11/2013,33.16,-0.02148054
13/11/2013,33.88,0.010980968
12/11/2013,33.51,-0.000298374
11/11/2013,33.52,-0.002383791
08/11/2013,33.6,0.029293956
07/11/2013,32.63,-0.037887875
06/11/2013,33.89,-0.029939745
05/11/2013,34.92,-0.005426259
04/11/2013,35.11,0.001995724
01/11/2013,35.04,-0.00795911
31/10/2013,35.32,-0.003109543
30/10/2013,35.43,-0.032762508
29/10/2013,36.61,-0.007347972
28/10/2013,36.88,-0.002707827
25/10/2013,36.98,0.059611074
24/10/2013,34.84,0.001436163
23/10/2013,34.79,-0.030571302
22/10/2013,35.87,-0.005282926
21/10/2013,36.06,-0.001662511
18/10/2013,36.12,-0.006072334
17/10/2013,36.34,-0.03062155
16/10/2013,37.47,0.029796354
15/10/2013,36.37,-0.01120996
14/10/2013,36.78,0.000815994
11/10/2013,36.75,0.014526773
10/10/2013,36.22,0.022052534
09/10/2013,35.43,0.009642729
08/10/2013,35.09,-0.020590207
07/10/2013,35.82,-0.013862157
04/10/2013,36.32,0.017498016
03/10/2013,35.69,-0.013635942
02/10/2013,36.18,-0.02511049
01/10/2013,37.1,-0.005912406
30/09/2013,37.32,0.005642901
27/09/2013,37.11,-0.000269433
26/09/2013,37.12,0.042653322
25/09/2013,35.57,-0.032091274
24/09/2013,36.73,-0.014058085
23/09/2013,37.25,-0.012273366
20/09/2013,37.71,-0.009501259
19/09/2013,38.07,-0.00810992
18/09/2013,38.38,0.004439229
17/09/2013,38.21,0.016093211
16/09/2013,37.6,0.002129926
13/09/2013,37.52,-0.013764114
12/09/2013,38.04,-0.021841742
11/09/2013,38.88,0.006709703
10/09/2013,38.62,-0.009791369
09/09/2013,39,0.006688988
06/09/2013,38.74,0.007513962
05/09/2013,38.45,-0.025168252
04/09/2013,39.43,-0.012600973
03/09/2013,39.93,0.020238485
30/08/2013,39.13,-0.00687638
29/08/2013,39.4,-0.001521684
28/08/2013,39.46,0.018156745
27/08/2013,38.75,-0.002319888
26/08/2013,38.84,-0.000257433
23/08/2013,38.85,-0.000771903
22/08/2013,38.88,0.038274659
21/08/2013,37.42,-0.003734333
20/08/2013,37.56,0.022618089
19/08/2013,36.72,-0.011103702
16/08/2013,37.13,-0.016030266
15/08/2013,37.73,-0.684094936
14/08/2013,74.78,-0.005999618
13/08/2013,75.23,-0.003582569
12/08/2013,75.5,-0.006600684
09/08/2013,76,0.00395518
08/08/2013,75.7,0.000132109
07/08/2013,75.69,-0.024663611
06/08/2013,77.58,0.004392204
05/08/2013,77.24,0.000777101
02/08/2013,77.18,-0.003492211
01/08/2013,77.45,0.021270457
31/07/2013,75.82,-0.01180032
30/07/2013,76.72,0.002348951
29/07/2013,76.54,-0.008067708
26/07/2013,77.16,0.007806441
25/07/2013,76.56,0.065444539
24/07/2013,71.71,-0.007778897
23/07/2013,72.27,-0.007032087
22/07/2013,72.78,-0.012154469
19/07/2013,73.67,0.014079926
18/07/2013,72.64,0.041458899
17/07/2013,69.69,0.001579666
16/07/2013,69.58,-0.009156001
15/07/2013,70.22,-0.008649469
12/07/2013,70.83,-0.00155181
11/07/2013,70.94,-0.003939229
10/07/2013,71.22,-0.007692884
09/07/2013,71.77,0.002930303
08/07/2013,71.56,0.001538354
05/07/2013,71.45,-0.003353363
03/07/2013,71.69,0.007842079
02/07/2013,71.13,0.007195798
01/07/2013,70.62,-0.005648137
28/06/2013,71.02,0.003102527
27/06/2013,70.8,-0.013607561
26/06/2013,71.77,0.019983778
25/06/2013,70.35,0.0183623
24/06/2013,69.07,0.015612778
21/06/2013,68,-0.013728856
20/06/2013,68.94,-0.03604122
19/06/2013,71.47,-0.009746666
18/06/2013,72.17,0.011987877
17/06/2013,71.31,0.025134443
14/06/2013,69.54,-0.014702998
13/06/2013,70.57,0.015998056
12/06/2013,69.45,-0.015289288
11/06/2013,70.52,-0.01575722
10/06/2013,71.64,-0.009308855
07/06/2013,72.31,0.024215614
06/06/2013,70.58,0.004828869
05/06/2013,70.24,-0.002559364
04/06/2013,70.42,-0.007357136
03/06/2013,70.94,0.008209529
31/05/2013,70.36,-0.025399527
30/05/2013,72.17,-0.000277085
29/05/2013,72.19,-0.004147089
28/05/2013,72.49,0.021332283
24/05/2013,70.96,-0.018707791
23/05/2013,72.3,0.024219004
22/05/2013,70.57,-0.007622849
21/05/2013,71.11,-0.016319492
20/05/2013,72.28,0.028060202
17/05/2013,70.28,0.03695805
16/05/2013,67.73,-0.011742392
15/05/2013,68.53,0.00043786
14/05/2013,68.5,0.027228672
13/05/2013,66.66,-0.002696631
10/05/2013,66.84,-0.01219346
09/05/2013,67.66,-0.006775692
08/05/2013,68.12,0.004413719
07/05/2013,67.82,-0.003679451
06/05/2013,68.07,0.011227773
03/05/2013,67.31,0.017081626
02/05/2013,66.17,-0.000302206
01/05/2013,66.19,-0.027713335
30/04/2013,68.05,-0.001908538
29/04/2013,68.18,0.012545364
26/04/2013,67.33,-0.012838662
25/04/2013,68.2,0.018946689
24/04/2013,66.92,0.015359435
23/04/2013,65.9,0.001518603
22/04/2013,65.8,0.018405428
19/04/2013,64.6,-0.017188882
18/04/2013,65.72,0.027145405
17/04/2013,63.96,-0.012893382
16/04/2013,64.79,0.019639035
15/04/2013,63.53,-0.063573945
12/04/2013,67.7,-0.03054783
11/04/2013,69.8,0.003588091
10/04/2013,69.55,-0.011152532
09/04/2013,70.33,0.024322995
08/04/2013,68.64,0.009956158
05/04/2013,67.96,0.050085883
04/04/2013,64.64,-0.001700286
03/04/2013,64.75,-0.028921346
02/04/2013,66.65,-0.001798831
01/04/2013,66.77,-0.012502023
28/03/2013,67.61,-0.005898852
27/03/2013,68.01,0.003830293
26/03/2013,67.75,0.00488275
25/03/2013,67.42,-0.003849005
22/03/2013,67.68,0.001182732
21/03/2013,67.6,-0.003838776
20/03/2013,67.86,-0.003089828
19/03/2013,68.07,0.003384596
18/03/2013,67.84,0.01156425
15/03/2013,67.06,-0.017736202
14/03/2013,68.26,0.037312193
13/03/2013,65.76,0.008552282
12/03/2013,65.2,-0.011740624
11/03/2013,65.97,0.020985682
08/03/2013,64.6,-0.001083005
07/03/2013,64.67,0.038620924
06/03/2013,62.22,-0.013885787
05/03/2013,63.09,-0.000316957
04/03/2013,63.11,-0.004584626
01/03/2013,63.4,0.022813464
28/02/2013,61.97,-0.009635533
27/02/2013,62.57,0.029354252
26/02/2013,60.76,0.037904923
25/02/2013,58.5,-0.022146117
22/02/2013,59.81,0.104784784
21/02/2013,53.86,0.003161323
20/02/2013,53.69,-0.033516552
19/02/2013,55.52,0.022034944
15/02/2013,54.31,-0.011897276
14/02/2013,54.96,-0.009056392
13/02/2013,55.46,0.013798331
12/02/2013,54.7,0.000731529
11/02/2013,54.66,-0.004381168
08/02/2013,54.9,0.01154176
07/02/2013,54.27,-0.002392566
06/02/2013,54.4,0.017056402
05/02/2013,53.48,0.017542655
04/02/2013,52.55,-0.011917288
01/02/2013,53.18,0.007550055
31/01/2013,52.78,0.005319161
30/01/2013,52.5,-0.004750603
29/01/2013,52.75,0.018173623
28/01/2013,51.8,-0.020067563
25/01/2013,52.85,0.004171413
24/01/2013,52.63,0.013389642
23/01/2013,51.93,-0.012248957
22/01/2013,52.57,0.022896623
18/01/2013,51.38,0.024031095
17/01/2013,50.16,0.011428696
16/01/2013,49.59,0.003029387
15/01/2013,49.44,0.016313575
14/01/2013,48.64,0.011164061
11/01/2013,48.1,0.007093708
10/01/2013,47.76,0.004827378
09/01/2013,47.53,-0.029642548
08/01/2013,48.96,-0.015202482
07/01/2013,49.71,-0.008014469
04/01/2013,50.11,0.004400007
03/01/2013,49.89,0.013317388
02/01/2013,49.23,-0.010306245
31/12/2012,49.74,0.01846456
28/12/2012,48.83,-0.018665586
27/12/2012,49.75,0.00625065
26/12/2012,49.44,-0.010262692
24/12/2012,49.95,-0.017464226
21/12/2012,50.83,-0.004710509
20/12/2012,51.07,0.028803262
19/12/2012,49.62,0.018304355
18/12/2012,48.72,0.020110556
17/12/2012,47.75,0.020309562
14/12/2012,46.79,-0.004903538
13/12/2012,47.02,-0.032844705
12/12/2012,48.59,0.010759467
11/12/2012,48.07,0.000832466
10/12/2012,48.03,-0.016723834
07/12/2012,48.84,0.001024275
06/12/2012,48.79,0.023852629
05/12/2012,47.64,0.001470434
