Date,Close,ADT
04/04/2014,32.18,0.003735994
03/04/2014,32.06,0.0214384
02/04/2014,31.38,0.0297564
01/04/2014,30.46,0.016885023
31/03/2014,29.95,0.009055906
28/03/2014,29.68,-0.009723463
27/03/2014,29.97,0.010734756
26/03/2014,29.65,-0.008061851
25/03/2014,29.89,0.004694844
24/03/2014,29.75,0.016949558
21/03/2014,29.25,0.006172859
20/03/2014,29.07,-0.00103146
19/03/2014,29.1,-0.001373627
18/03/2014,29.14,0.015563171
17/03/2014,28.69,0.021491051
14/03/2014,28.08,-0.005327663
13/03/2014,28.23,-0.018252525
12/03/2014,28.75,-0.03351887
11/03/2014,29.73,-0.008373856
10/03/2014,29.98,-0.028606258
07/03/2014,30.85,-0.002589836
06/03/2014,30.93,-0.009972738
05/03/2014,31.24,0.017762456
04/03/2014,30.69,0.006866138
03/03/2014,30.48,-0.007517604
28/02/2014,30.71,-0.020306902
27/02/2014,31.34,0.014139053
26/02/2014,30.9,-0.025560497
25/02/2014,31.7,0.013657509
24/02/2014,31.27,0.022640036
21/02/2014,30.57,-0.009441711
20/02/2014,30.86,-0.018938136
19/02/2014,31.45,0.004780886
18/02/2014,31.3,-0.009855429
14/02/2014,31.61,0.009855429
13/02/2014,31.3,0.024253412
12/02/2014,30.55,-0.005223649
11/02/2014,30.71,-0.007138252
10/02/2014,30.93,-0.019212887
07/02/2014,31.53,0.051076315
06/02/2014,29.96,0.007034027
05/02/2014,29.75,-0.015012792
04/02/2014,30.2,0.046425413
03/02/2014,28.83,-0.041113315
31/01/2014,30.04,-0.044278066
30/01/2014,31.4,-0.185765725
29/01/2014,37.81,-0.012353949
28/01/2014,38.28,0.003663966
27/01/2014,38.14,-0.01664105
24/01/2014,38.78,-0.006169685
23/01/2014,39.02,-0.013744172
22/01/2014,39.56,-0.000505433
21/01/2014,39.58,-0.002019183
17/01/2014,39.66,0.011921511
16/01/2014,39.19,0.00614284
15/01/2014,38.95,0.000256772
14/01/2014,38.94,-0.001796024
13/01/2014,39.01,-0.001792804
10/01/2014,39.08,-0.003575994
09/01/2014,39.22,-0.00610068
08/01/2014,39.46,-0.018579495
07/01/2014,40.2,0.013776048
06/01/2014,39.65,0.003790276
03/01/2014,39.5,-0.003033369
02/01/2014,39.62,-0.021226918
31/12/2013,40.47,-0.002714376
30/12/2013,40.58,-0.013948593
27/12/2013,41.15,0.005116347
26/12/2013,40.94,0.019236105
24/12/2013,40.16,0.003742053
23/12/2013,40.01,0.008030156
20/12/2013,39.69,-0.006529405
19/12/2013,39.95,-0.004993768
18/12/2013,40.15,0.016321768
17/12/2013,39.5,-0.000253133
16/12/2013,39.51,0.018133558
13/12/2013,38.8,-0.011531198
12/12/2013,39.25,-0.011399743
11/12/2013,39.7,-0.003018111
10/12/2013,39.82,0.003270032
09/12/2013,39.69,-0.020696413
06/12/2013,40.52,-0.005414731
05/12/2013,40.74,0.002703701
04/12/2013,40.63,0.003945751
03/12/2013,40.47,0.002969564
02/12/2013,40.35,-0.005190965
29/11/2013,40.56,-0.007124462
27/11/2013,40.85,0
26/11/2013,40.85,-0.014822286
25/11/2013,41.46,-0.059687774
22/11/2013,44.01,0.015110178
21/11/2013,43.35,-0.011239939
20/11/2013,43.84,0.023774922
19/11/2013,42.81,0.000934798
18/11/2013,42.77,-0.011160311
15/11/2013,43.25,-0.002770724
14/11/2013,43.37,0.014632708
13/11/2013,42.74,0.003515766
12/11/2013,42.59,-0.002110942
11/11/2013,42.68,0.006582064
08/11/2013,42.4,-0.005409869
07/11/2013,42.63,-0.01467019
06/11/2013,43.26,0.002546003
05/11/2013,43.15,-0.000695008
04/11/2013,43.18,-0.00646355
01/11/2013,43.46,0.002073017
31/10/2013,43.37,0.00926576
30/10/2013,42.97,0.008647945
29/10/2013,42.6,0.019436497
28/10/2013,41.78,-0.009291312
25/10/2013,42.17,-0.000237107
24/10/2013,42.18,0.014326893
23/10/2013,41.58,0.003131401
22/10/2013,41.45,0.015070776
21/10/2013,40.83,-0.003911029
18/10/2013,40.99,0.016976666
17/10/2013,40.3,0.010978154
16/10/2013,39.86,0.017972892
15/10/2013,39.15,-0.021729
14/10/2013,40.01,0.01688761
11/10/2013,39.34,-0.009864757
10/10/2013,39.73,0.010118983
09/10/2013,39.33,0.00842594
08/10/2013,39,-0.015519966
07/10/2013,39.61,-0.011296719
04/10/2013,40.06,0.004503385
03/10/2013,39.88,-0.019861626
02/10/2013,40.68,0.004928546
01/10/2013,40.48,-0.004436783
30/09/2013,40.66,-0.014648699
27/09/2013,41.26,-0.020866568
26/09/2013,42.13,0.004281643
25/09/2013,41.95,-0.017720487
24/09/2013,42.7,-0.004206597
23/09/2013,42.88,0.013145729
20/09/2013,42.32,-0.008704913
19/09/2013,42.69,0.01796314
18/09/2013,41.93,0.014412933
17/09/2013,41.33,-0.003622755
16/09/2013,41.48,0.03558221
13/09/2013,40.03,0.008277985
12/09/2013,39.7,-0.011022156
11/09/2013,40.14,-0.008928631
10/09/2013,40.5,0.013172801
09/09/2013,39.97,0.012334958
06/09/2013,39.48,-0.011834458
05/09/2013,39.95,0.021250483
04/09/2013,39.11,-0.000766773
03/09/2013,39.14,-0.017475435
30/08/2013,39.83,-0.021853365
29/08/2013,40.71,0.006407119
28/08/2013,40.45,-0.000494315
27/08/2013,40.47,-0.019332549
26/08/2013,41.26,0.000242395
23/08/2013,41.25,-0.006283249
22/08/2013,41.51,0.015538064
21/08/2013,40.87,-0.009254815
20/08/2013,41.25,0.009744291
19/08/2013,40.85,-0.00512759
16/08/2013,41.06,0.023159448
15/08/2013,40.12,-0.018765983
14/08/2013,40.88,-0.002931121
13/08/2013,41,0.000976086
12/08/2013,40.96,-0.005842276
09/08/2013,41.2,0.00364742
08/08/2013,41.05,0.017447303
07/08/2013,40.34,0.003227812
06/08/2013,40.21,-0.025535392
05/08/2013,41.25,0.015883046
02/08/2013,40.6,0.021158226
01/08/2013,39.75,-0.008267616
31/07/2013,40.08,-0.048932726
30/07/2013,42.09,0.022343272
29/07/2013,41.16,0
26/07/2013,41.16,-0.010633256
25/07/2013,41.6,-0.011710016
24/07/2013,42.09,-0.005449605
23/07/2013,42.32,0.007590169
22/07/2013,42,-0.004039449
19/07/2013,42.17,-0.007559686
18/07/2013,42.49,-0.004930166
17/07/2013,42.7,-0.00607053
16/07/2013,42.96,-0.020733293
15/07/2013,43.86,0.019337619
12/07/2013,43.02,0.007700423
11/07/2013,42.69,0.019156315
10/07/2013,41.88,-0.003337309
09/07/2013,42.02,0.050517023
08/07/2013,39.95,0.008547061
05/07/2013,39.61,0.009384977
03/07/2013,39.24,-0.008879926
02/07/2013,39.59,-0.020995523
01/07/2013,40.43,0.014449678
28/06/2013,39.85,-0.012468989
27/06/2013,40.35,-0.014760416
26/06/2013,40.95,0.022722637
25/06/2013,40.03,0.022484211
24/06/2013,39.14,-0.005859143
21/06/2013,39.37,-0.001269197
20/06/2013,39.42,-0.028262479
19/06/2013,40.55,-0.005410736
18/06/2013,40.77,0.028612476
17/06/2013,39.62,0.00531445
14/06/2013,39.41,0.01637284
13/06/2013,38.77,-0.009753671
12/06/2013,39.15,-0.019477029
