Date,Close,PNW
04/04/2014,54.92,0.006210066
03/04/2014,54.58,0.009203084
02/04/2014,54.08,-0.003691403
01/04/2014,54.28,-0.006976346
31/03/2014,54.66,0.011592733
28/03/2014,54.03,-0.008661254
27/03/2014,54.5,0.005704312
26/03/2014,54.19,-0.005520809
25/03/2014,54.49,-0.0051254
24/03/2014,54.77,0.015270281
21/03/2014,53.94,0.007256521
20/03/2014,53.55,-0.012249596
19/03/2014,54.21,-0.025137936
18/03/2014,55.59,0.00306279
17/03/2014,55.42,0.006880346
14/03/2014,55.04,0.002000546
13/03/2014,54.93,0.012641004
12/03/2014,54.24,0.011123585
11/03/2014,53.64,-0.011307934
10/03/2014,54.25,0.003878479
07/03/2014,54.04,-0.000185031
06/03/2014,54.05,-0.008474627
05/03/2014,54.51,-0.013484169
04/03/2014,55.25,0.003263237
03/03/2014,55.07,-0.010476974
28/02/2014,55.65,0.006851812
27/02/2014,55.27,0.000542937
26/02/2014,55.24,0.001811923
25/02/2014,55.14,0.012776228
24/02/2014,54.44,-0.005312827
21/02/2014,54.73,-0.006737711
20/02/2014,55.1,0.013521127
19/02/2014,54.36,-0.008791265
18/02/2014,54.84,0.008239541
14/02/2014,54.39,0.006825965
13/02/2014,54.02,0.004452698
12/02/2014,53.78,0
11/02/2014,53.78,0.013289854
10/02/2014,53.07,0.005858469
07/02/2014,52.76,0.012396459
06/02/2014,52.11,0.013524163
05/02/2014,51.41,-0.004270193
04/02/2014,51.63,0.006802086
03/02/2014,51.28,-0.025985487
31/01/2014,52.63,0.008203804
30/01/2014,52.2,0.009237941
29/01/2014,51.72,-0.005206838
28/01/2014,51.99,0.001732602
27/01/2014,51.9,-0.002117218
24/01/2014,52.01,-0.012230231
23/01/2014,52.65,-0.009828089
22/01/2014,53.17,0.003957416
21/01/2014,52.96,0.010821178
17/01/2014,52.39,-0.007795457
16/01/2014,52.8,0.004555817
15/01/2014,52.56,-0.003797954
14/01/2014,52.76,-0.003972388
13/01/2014,52.97,-0.005835311
10/01/2014,53.28,0.014366977
09/01/2014,52.52,0.008029101
08/01/2014,52.1,-0.006313998
07/01/2014,52.43,0.007658471
06/01/2014,52.03,-0.000768492
03/01/2014,52.07,0.000384172
02/01/2014,52.05,-0.016576544
31/12/2013,52.92,-0.001699236
30/12/2013,53.01,-0.00451723
27/12/2013,53.25,0.004705891
26/12/2013,53,-0.003766483
24/12/2013,53.2,0.002258187
23/12/2013,53.08,0
20/12/2013,53.08,-0.000376719
19/12/2013,53.1,-0.012724723
18/12/2013,53.78,0.016876455
17/12/2013,52.88,-0.00640907
16/12/2013,53.22,0.007923075
13/12/2013,52.8,0.000189412
12/12/2013,52.79,0.004556682
11/12/2013,52.55,-0.006070973
10/12/2013,52.87,-0.009037908
09/12/2013,53.35,-0.00951411
06/12/2013,53.86,0.014587878
05/12/2013,53.08,-0.003009784
04/12/2013,53.24,0.003763648
03/12/2013,53.04,0.000565771
02/12/2013,53.01,-0.006580827
29/11/2013,53.36,0.004131461
27/11/2013,53.14,0.000564706
26/11/2013,53.11,-0.015692457
25/11/2013,53.95,-0.006834792
22/11/2013,54.32,-0.004041894
21/11/2013,54.54,0.009580029
20/11/2013,54.02,-0.012509361
19/11/2013,54.7,-0.012715884
18/11/2013,55.4,-0.003603608
15/11/2013,55.6,-0.002155948
14/11/2013,55.72,0.025262588
13/11/2013,54.33,-0.006238552
12/11/2013,54.67,-0.011276947
11/11/2013,55.29,-0.007926541
08/11/2013,55.73,0.001256845
07/11/2013,55.66,-0.008230499
06/11/2013,56.12,0.008769631
05/11/2013,55.63,-0.012327088
04/11/2013,56.32,0.001421464
01/11/2013,56.24,0.003740986
31/10/2013,56.03,-0.02832951
30/10/2013,57.64,-0.010355633
29/10/2013,58.24,-0.001372684
28/10/2013,58.32,-0.001884369
25/10/2013,58.43,0.011013706
24/10/2013,57.79,0.003640465
23/10/2013,57.58,0.00052115
22/10/2013,57.55,0.012941769
21/10/2013,56.81,-0.002110076
18/10/2013,56.93,0.004577473
17/10/2013,56.67,0.018522346
16/10/2013,55.63,0.01539746
15/10/2013,54.78,-0.013778318
14/10/2013,55.54,-0.00878378
11/10/2013,56.03,0.004651171
10/10/2013,55.77,0.016087107
09/10/2013,54.88,0.001093893
08/10/2013,54.82,0.006588604
07/10/2013,54.46,0.000734754
04/10/2013,54.42,-0.001101928
03/10/2013,54.48,-0.010589838
02/10/2013,55.06,-0.000181604
01/10/2013,55.07,0.0060104
30/09/2013,54.74,-0.003464944
27/09/2013,54.93,-0.002363852
26/09/2013,55.06,-0.001995828
25/09/2013,55.17,-0.00848304
24/09/2013,55.64,-0.002692275
23/09/2013,55.79,0.010994073
20/09/2013,55.18,-0.011352496
19/09/2013,55.81,0.001434463
18/09/2013,55.73,0.031904994
17/09/2013,53.98,0.004269941
16/09/2013,53.75,-0.001858737
