Date,Close,SPLS
04/04/2014,12.16,0.004946424
03/04/2014,12.1,0.009132484
02/04/2014,11.99,0.047831491
01/04/2014,11.43,0.00790518
31/03/2014,11.34,-0.002642009
28/03/2014,11.37,0.02854788
27/03/2014,11.05,-0.014375809
26/03/2014,11.21,-0.035921514
25/03/2014,11.62,-0.001719691
24/03/2014,11.64,0.016457712
21/03/2014,11.45,0.01230244
20/03/2014,11.31,-0.007926065
19/03/2014,11.4,-0.003502631
18/03/2014,11.44,0
17/03/2014,11.44,0.01231326
14/03/2014,11.3,0.007104826
13/03/2014,11.22,-0.024649135
12/03/2014,11.5,-0.010380716
11/03/2014,11.62,-0.000860215
10/03/2014,11.63,0.012981576
07/03/2014,11.48,0.011388647
06/03/2014,11.35,-0.166036963
05/03/2014,13.4,-0.005210283
04/03/2014,13.47,0.000742666
03/03/2014,13.46,-0.009611904
28/02/2014,13.59,0.011098893
27/02/2014,13.44,-0.011834458
26/02/2014,13.6,0.045120435
25/02/2014,13,-0.029558802
24/02/2014,13.39,0.02265958
21/02/2014,13.09,-0.00076365
20/02/2014,13.1,0.009202519
19/02/2014,12.98,-0.011489977
18/02/2014,13.13,0.007645297
14/02/2014,13.03,-0.003065136
13/02/2014,13.07,-0.009897302
12/02/2014,13.2,-0.019505495
11/02/2014,13.46,0.017235346
10/02/2014,13.23,0.01216745
07/02/2014,13.07,-0.015186321
06/02/2014,13.27,0.029054031
05/02/2014,12.89,0.000776096
04/02/2014,12.88,-0.001551591
03/02/2014,12.9,-0.019954615
31/01/2014,13.16,-0.020309085
30/01/2014,13.43,0.009726975
29/01/2014,13.3,-0.01344307
28/01/2014,13.48,0.005952399
27/01/2014,13.4,-0.008915364
24/01/2014,13.52,-0.016868753
23/01/2014,13.75,-0.005077994
22/01/2014,13.82,0.013843573
21/01/2014,13.63,0.001468429
17/01/2014,13.61,-0.02036434
16/01/2014,13.89,-0.040908384
15/01/2014,14.47,-0.008943988
14/01/2014,14.6,0.006872879
13/01/2014,14.5,-0.031899549
10/01/2014,14.97,-0.01129205
09/01/2014,15.14,-0.030571487
08/01/2014,15.61,-0.012098206
07/01/2014,15.8,0.030198247
06/01/2014,15.33,-0.029565135
03/01/2014,15.79,0.012747145
02/01/2014,15.59,-0.019060297
31/12/2013,15.89,-0.005021982
30/12/2013,15.97,0.011335134
27/12/2013,15.79,-0.006313152
26/12/2013,15.89,-0.001257862
24/12/2013,15.91,-0.001256282
23/12/2013,15.93,0.012634407
20/12/2013,15.73,0.009581677
19/12/2013,15.58,-0.002564104
18/12/2013,15.62,0.025941792
17/12/2013,15.22,-0.012406297
16/12/2013,15.41,-0.001297017
13/12/2013,15.43,-0.005171311
12/12/2013,15.51,-0.023575479
11/12/2013,15.88,-0.016859594
10/12/2013,16.15,0.006834447
09/12/2013,16.04,0.00500001
06/12/2013,15.96,0.018337536
05/12/2013,15.67,0.017380547
04/12/2013,15.4,-0.009693129
03/12/2013,15.55,0.00451177
02/12/2013,15.48,-0.003224769
29/11/2013,15.53,0.004517594
27/11/2013,15.46,0.009096879
26/11/2013,15.32,-0.01168086
25/11/2013,15.5,0.001291156
22/11/2013,15.48,-0.001291156
21/11/2013,15.5,0.02614528
20/11/2013,15.1,-0.015769052
19/11/2013,15.34,-0.009730858
18/11/2013,15.49,-0.005151331
15/11/2013,15.57,-0.011494379
14/11/2013,15.75,-0.010735815
13/11/2013,15.92,0.005669307
12/11/2013,15.83,-0.003153582
11/11/2013,15.88,0.009490739
08/11/2013,15.73,0.014729693
07/11/2013,15.5,-0.034868826
06/11/2013,16.05,-0.001867414
05/11/2013,16.08,-0.006199648
04/11/2013,16.18,0
01/11/2013,16.18,0.003095019
31/10/2013,16.13,0.023840527
30/10/2013,15.75,-0.022599832
29/10/2013,16.11,0.002486017
28/10/2013,16.07,0.003740653
25/10/2013,16.01,-0.002495323
24/10/2013,16.05,0.018868484
23/10/2013,15.75,-0.020735898
22/10/2013,16.08,0.006238323
21/10/2013,15.98,0.004390098
18/10/2013,15.91,0.019036108
17/10/2013,15.61,0.001923694
16/10/2013,15.58,0.033945818
15/10/2013,15.06,-0.005298026
14/10/2013,15.14,0.014637653
11/10/2013,14.92,0.000670466
10/10/2013,14.91,0.028573372
09/10/2013,14.49,0.003456623
08/10/2013,14.44,-0.027324104
07/10/2013,14.84,0.002699057
04/10/2013,14.8,-0.000675448
03/10/2013,14.81,-0.02203762
02/10/2013,15.14,0.022713067
01/10/2013,14.8,0.010186845
30/09/2013,14.65,0.004103973
27/09/2013,14.59,-0.012261734
26/09/2013,14.77,0.000677277
25/09/2013,14.76,-0.007424941
24/09/2013,14.87,0.008102678
23/09/2013,14.75,-0.004059545
20/09/2013,14.81,0.002027713
19/09/2013,14.78,-0.022743455
18/09/2013,15.12,0.010638398
