Date,Close,WY
04/04/2014,29.6,-0.005054771
03/04/2014,29.75,0.009456335
02/04/2014,29.47,-0.01079997
01/04/2014,29.79,0.01488022
31/03/2014,29.35,0.005809003
28/03/2014,29.18,0.011720231
27/03/2014,28.84,-0.001732202
26/03/2014,28.89,-0.012384059
25/03/2014,29.25,0.000683995
24/03/2014,29.23,-0.002050582
21/03/2014,29.29,0.000341472
20/03/2014,29.28,0.003763905
19/03/2014,29.17,-0.014971358
18/03/2014,29.61,0.009501259
17/03/2014,29.33,-0.017908909
14/03/2014,29.86,0.002682765
13/03/2014,29.78,0.006062666
12/03/2014,29.6,0
11/03/2014,29.6,-0.002362073
10/03/2014,29.67,-0.004036332
07/03/2014,29.79,-0.012343776
06/03/2014,30.16,0.011337234
05/03/2014,29.82,0.0067295
04/03/2014,29.62,0.01154512
03/03/2014,29.28,-0.0078245
28/02/2014,29.51,0
27/02/2014,29.51,-0.011455651
26/02/2014,29.85,-0.002342313
25/02/2014,29.92,-0.009645842
24/02/2014,30.21,0.000993542
21/02/2014,30.18,-0.008906541
20/02/2014,30.45,0.003289477
19/02/2014,30.35,-0.005257981
18/02/2014,30.51,0.001968505
14/02/2014,30.45,0.001972387
13/02/2014,30.39,0.003626178
12/02/2014,30.28,0.002976685
11/02/2014,30.19,0.005980084
10/02/2014,30.01,0.004341299
07/02/2014,29.88,0.012460171
06/02/2014,29.51,0.015022474
05/02/2014,29.07,-0.011628038
04/02/2014,29.41,0.000680272
03/02/2014,29.39,-0.01653488
31/01/2014,29.88,-0.029350829
30/01/2014,30.77,0.00750289
29/01/2014,30.54,-0.006202076
28/01/2014,30.73,0.013102054
27/01/2014,30.33,0.004626578
24/01/2014,30.19,-0.012181221
23/01/2014,30.56,-0.017837347
22/01/2014,31.11,-0.001284934
21/01/2014,31.15,0.005795251
17/01/2014,30.97,-0.0064371
16/01/2014,31.17,0.003857285
15/01/2014,31.05,0.003548963
14/01/2014,30.94,0.011703645
13/01/2014,30.58,-0.015574617
10/01/2014,31.06,0.001933613
09/01/2014,31,0.005823375
08/01/2014,30.82,-0.009365481
07/01/2014,31.11,0.002897153
06/01/2014,31.02,-0.010263079
03/01/2014,31.34,0.002236065
02/01/2014,31.27,-0.009548131
31/12/2013,31.57,0.004444452
30/12/2013,31.43,0.004144753
27/12/2013,31.3,-0.000958007
26/12/2013,31.33,0.001597189
24/12/2013,31.28,-0.001597189
23/12/2013,31.33,-0.002231788
20/12/2013,31.4,0.004148721
19/12/2013,31.27,-0.003830199
18/12/2013,31.39,0.041964199
17/12/2013,30.1,-0.016801581
16/12/2013,30.61,0.019796094
13/12/2013,30.01,0.012743298
12/12/2013,29.63,0.011199846
11/12/2013,29.3,-0.023276477
10/12/2013,29.99,-0.002996506
09/12/2013,30.08,0.00868119
06/12/2013,29.82,0.013504594
05/12/2013,29.42,0.000339963
04/12/2013,29.41,-0.00271647
03/12/2013,29.49,-0.003723139
02/12/2013,29.6,-0.017746992
29/11/2013,30.13,-0.015151805
27/11/2013,30.59,0.033236692
26/11/2013,29.59,0.001352723
25/11/2013,29.55,-0.000338352
22/11/2013,29.56,0.004067802
21/11/2013,29.44,0.00921351
20/11/2013,29.17,-0.014971358
19/11/2013,29.61,-0.001687195
18/11/2013,29.66,-0.002693604
15/11/2013,29.74,-0.004026851
14/11/2013,29.86,0.004363155
13/11/2013,29.73,0.019701724
12/11/2013,29.15,0.001373155
11/11/2013,29.11,-0.006505758
08/11/2013,29.3,0.005818945
07/11/2013,29.13,-0.008205174
06/11/2013,29.37,-0.004416518
05/11/2013,29.5,-0.029065016
04/11/2013,30.37,0.000988305
01/11/2013,30.34,-0.002633313
31/10/2013,30.42,-0.001642306
30/10/2013,30.47,-0.015630406
29/10/2013,30.95,-0.012522238
28/10/2013,31.34,-0.001594134
25/10/2013,31.39,0.035341658
24/10/2013,30.3,-0.005266635
23/10/2013,30.46,0.004277026
22/10/2013,30.33,0.007944431
21/10/2013,30.09,-0.000664452
18/10/2013,30.11,0.003326683
17/10/2013,30.01,0.020535985
16/10/2013,29.4,0.021313973
15/10/2013,28.78,-0.017906815
14/10/2013,29.3,-0.001364257
11/10/2013,29.34,0.013727052
10/10/2013,28.94,0.024131264
09/10/2013,28.25,0.004612391
08/10/2013,28.12,-0.016925651
07/10/2013,28.6,0.000349711
04/10/2013,28.59,-0.006276171
03/10/2013,28.77,-0.010373537
02/10/2013,29.07,-0.002061856
01/10/2013,29.13,0.017313452
30/09/2013,28.63,-0.010424
27/09/2013,28.93,0.003809528
26/09/2013,28.82,0.010113425
25/09/2013,28.53,0.006329135
24/09/2013,28.35,0.003179653
23/09/2013,28.26,-0.019275172
20/09/2013,28.81,-0.015840552
19/09/2013,29.27,-0.00068306
18/09/2013,29.29,0.024538988
17/09/2013,28.58,-0.006626005
16/09/2013,28.77,0.013296207
13/09/2013,28.39,0.002468702
12/09/2013,28.32,-0.003876657
11/09/2013,28.43,-0.012235776
10/09/2013,28.78,-0.005889503
09/09/2013,28.95,0.015315301
06/09/2013,28.51,0.026658767
05/09/2013,27.76,0.024062408
04/09/2013,27.1,0
03/09/2013,27.1,-0.010279092
30/08/2013,27.38,-0.012341354
29/08/2013,27.72,0.002166848
28/08/2013,27.66,0.012002326
27/08/2013,27.33,-0.022789917
26/08/2013,27.96,0.005379249
23/08/2013,27.81,0.011937201
22/08/2013,27.48,0.005839433
21/08/2013,27.32,-0.001097494
20/08/2013,27.35,0.025927378
19/08/2013,26.65,-0.015267472
16/08/2013,27.06,-0.004056801
15/08/2013,27.17,-0.02256282
14/08/2013,27.79,0.029209817
13/08/2013,26.99,-0.012152608
