Date,Close,PPL
04/04/2014,32.71,0.007364255
03/04/2014,32.47,0.00154107
02/04/2014,32.42,-0.010737946
01/04/2014,32.77,-0.011227549
31/03/2014,33.14,0.004839695
28/03/2014,32.98,0.00516797
27/03/2014,32.81,0.01226633
26/03/2014,32.41,0.001234949
25/03/2014,32.37,0
24/03/2014,32.37,-0.002160161
21/03/2014,32.44,0.007115266
20/03/2014,32.21,0
19/03/2014,32.21,-0.018151552
18/03/2014,32.8,0.001220256
17/03/2014,32.76,-0.000305204
14/03/2014,32.77,0.012281395
13/03/2014,32.37,0.005576223
12/03/2014,32.19,0.016601791
11/03/2014,31.66,-0.002208551
10/03/2014,31.73,-0.003460755
07/03/2014,31.84,0.014871339
06/03/2014,31.37,-0.019883881
05/03/2014,32,-0.009640877
04/03/2014,32.31,0.009328426
03/03/2014,32.01,-0.008709231
28/02/2014,32.29,0.010272464
27/02/2014,31.96,-0.005616239
26/02/2014,32.14,0.00718192
25/02/2014,31.91,0.003138735
24/02/2014,31.81,0.000314416
21/02/2014,31.8,0.000314515
20/02/2014,31.79,0.005678249
19/02/2014,31.61,-0.005363635
18/02/2014,31.78,0.008214896
14/02/2014,31.52,0.004770243
13/02/2014,31.37,0.008965798
12/02/2014,31.09,0.000321699
11/02/2014,31.08,0.010999787
10/02/2014,30.74,0.013097764
07/02/2014,30.34,0.001649349
06/02/2014,30.29,0.005960283
05/02/2014,30.11,-0.00629037
04/02/2014,30.3,-0.006251048
03/02/2014,30.49,-0.002620375
31/01/2014,30.57,0.005905529
30/01/2014,30.39,0.01058561
29/01/2014,30.07,0.000332613
28/01/2014,30.06,0.010366252
27/01/2014,29.75,-0.0040255
24/01/2014,29.87,-0.009661911
23/01/2014,30.16,0.00033162
22/01/2014,30.15,0.009330291
21/01/2014,29.87,0.009418166
17/01/2014,29.59,-0.009083326
16/01/2014,29.86,0.005709503
15/01/2014,29.69,-0.011719538
14/01/2014,30.04,-0.003323366
13/01/2014,30.14,-0.004964432
10/01/2014,30.29,0.019670579
09/01/2014,29.7,0.00168492
08/01/2014,29.65,-0.009065028
07/01/2014,29.92,0.005698021
06/01/2014,29.75,0.004379323
03/01/2014,29.62,-0.001012317
02/01/2014,29.65,-0.014730765
31/12/2013,30.09,0.004663566
30/12/2013,29.95,0.003344485
27/12/2013,29.85,0.003355708
26/12/2013,29.75,-0.00369066
24/12/2013,29.86,0.003354582
23/12/2013,29.76,0.002691792
20/12/2013,29.68,0.011862535
19/12/2013,29.33,-0.011862535
18/12/2013,29.68,0.013227257
17/12/2013,29.29,-0.004088592
16/12/2013,29.41,0.005455179
13/12/2013,29.25,-0.000683527
12/12/2013,29.27,-0.001365654
11/12/2013,29.31,-0.011196046
10/12/2013,29.64,-0.014070584
09/12/2013,30.06,0.002664892
06/12/2013,29.98,-0.010287132
05/12/2013,30.29,-0.018319125
04/12/2013,30.85,0.003572012
03/12/2013,30.74,0.010464451
02/12/2013,30.42,-0.009488048
29/11/2013,30.71,0.006861651
27/11/2013,30.5,0.003942186
26/11/2013,30.38,-0.011129411
25/11/2013,30.72,0.000651254
22/11/2013,30.7,0.004243519
21/11/2013,30.57,0.005905529
20/11/2013,30.39,-0.00949737
19/11/2013,30.68,-0.007145207
18/11/2013,30.9,-0.005808342
15/11/2013,31.08,0.007751977
14/11/2013,30.84,0.016675227
13/11/2013,30.33,0.004295397
12/11/2013,30.2,-0.009228806
11/11/2013,30.48,-0.000983768
08/11/2013,30.51,-0.004904375
07/11/2013,30.66,-0.000652103
06/11/2013,30.68,0.009168368
05/11/2013,30.4,-0.014045633
04/11/2013,30.83,0.003248866
01/11/2013,30.73,0.003259455
31/10/2013,30.63,-0.004560268
30/10/2013,30.77,-0.004539567
29/10/2013,30.91,0.004214628
28/10/2013,30.78,-0.000324834
25/10/2013,30.79,0.006189953
24/10/2013,30.6,-0.001632653
23/10/2013,30.65,0.002613526
22/10/2013,30.57,0.009201511
21/10/2013,30.29,-0.000330087
18/10/2013,30.3,-0.00559488
17/10/2013,30.47,0.022569826
16/10/2013,29.79,0.007412433
15/10/2013,29.57,-0.019756209
14/10/2013,30.16,-0.01121014
11/10/2013,30.5,-0.000983123
10/10/2013,30.53,0.017512425
09/10/2013,30,-0.0009995
08/10/2013,30.03,0.001666389
07/10/2013,29.98,-0.00499086
04/10/2013,30.13,-0.003644198
03/10/2013,30.24,-0.014771317
02/10/2013,30.69,0.001304206
01/10/2013,30.65,0.008848165
30/09/2013,30.38,0.001317523
