Date,Close,COL
04/04/2014,79.43,-0.018214076
03/04/2014,80.89,0.000370943
02/04/2014,80.86,0.004959098
01/04/2014,80.46,0.009867063
31/03/2014,79.67,0.008318677
28/03/2014,79.01,0.006093709
27/03/2014,78.53,-0.005460678
26/03/2014,78.96,-0.016454557
25/03/2014,80.27,0.002869442
24/03/2014,80.04,-0.004612037
21/03/2014,80.41,0.002989167
20/03/2014,80.17,0.001872777
19/03/2014,80.02,-0.011431536
18/03/2014,80.94,0.003217426
17/03/2014,80.68,0.012221127
14/03/2014,79.7,0.000627549
13/03/2014,79.65,-0.007753916
12/03/2014,80.27,-0.004846837
11/03/2014,80.66,-0.012811212
10/03/2014,81.7,-0.005857962
07/03/2014,82.18,-0.002066493
06/03/2014,82.35,-0.007982626
05/03/2014,83.01,-0.005526203
04/03/2014,83.47,0.008421609
03/03/2014,82.77,0.002782653
28/02/2014,82.54,0.000848433
27/02/2014,82.47,0.006081264
26/02/2014,81.97,-0.005474799
25/02/2014,82.42,-0.004841452
24/02/2014,82.82,0.010316251
21/02/2014,81.97,0.012151116
20/02/2014,80.98,0.027289214
19/02/2014,78.8,0.000634719
18/02/2014,78.75,0.002924908
14/02/2014,78.52,0.008697932
13/02/2014,77.84,0.003603608
12/02/2014,77.56,0.006986702
11/02/2014,77.02,0.002600105
10/02/2014,76.82,-0.004675333
07/02/2014,77.18,0.014092091
06/02/2014,76.1,0.015760872
05/02/2014,74.91,0.001202164
04/02/2014,74.82,0.003346947
03/02/2014,74.57,-0.013188761
31/01/2014,75.56,-0.005411483
30/01/2014,75.97,0.007266034
29/01/2014,75.42,-0.012517457
28/01/2014,76.37,-0.003007128
27/01/2014,76.6,-0.006117023
24/01/2014,77.07,-0.028397917
23/01/2014,79.29,0.001261989
22/01/2014,79.19,0.012324659
21/01/2014,78.22,0.008215707
17/01/2014,77.58,0.0068551
16/01/2014,77.05,0.013852809
15/01/2014,75.99,-0.00157791
14/01/2014,76.11,0.012826622
13/01/2014,75.14,-0.011117108
10/01/2014,75.98,-0.002760073
09/01/2014,76.19,0.00236531
08/01/2014,76.01,0.003030505
07/01/2014,75.78,0.001452625
06/01/2014,75.67,0.024887557
03/01/2014,73.81,0.009529067
02/01/2014,73.11,-0.011018271
31/12/2013,73.92,0.001895735
30/12/2013,73.78,-0.002977401
27/12/2013,74,-0.000540395
26/12/2013,74.04,0.004195716
24/12/2013,73.73,0.008991886
23/12/2013,73.07,0.002740854
20/12/2013,72.87,0.013400767
19/12/2013,71.9,-0.004440751
18/12/2013,72.22,0.016333161
17/12/2013,71.05,-0.011335927
16/12/2013,71.86,0.007683212
