Date,Close,KORS
04/04/2014,89.54,-0.034035561
03/04/2014,92.64,-0.025471617
02/04/2014,95.03,-0.002312383
01/04/2014,95.25,0.021006501
31/03/2014,93.27,0.005590811
28/03/2014,92.75,0.013131666
27/03/2014,91.54,-0.00544723
26/03/2014,92.04,-0.015096254
25/03/2014,93.44,-0.007144792
24/03/2014,94.11,-0.034977727
21/03/2014,97.46,-0.002152412
20/03/2014,97.67,-0.010591809
19/03/2014,98.71,0.01984923
18/03/2014,96.77,-0.018328471
17/03/2014,98.56,0.00447428
14/03/2014,98.12,0.011274077
13/03/2014,97.02,-0.010356411
12/03/2014,98.03,-0.000102004
11/03/2014,98.04,-0.002343234
10/03/2014,98.27,-0.000101755
07/03/2014,98.28,-0.003453533
06/03/2014,98.62,-0.003744754
05/03/2014,98.99,0.001111841
04/03/2014,98.88,0.009143617
03/03/2014,97.98,-0.000510178
28/02/2014,98.03,-0.015486923
27/02/2014,99.56,0.002413517
26/02/2014,99.32,-0.005221944
25/02/2014,99.84,0.012700503
24/02/2014,98.58,0.010400828
21/02/2014,97.56,-0.004499905
20/02/2014,98,0.002247422
19/02/2014,97.78,-0.010782324
18/02/2014,98.84,0.003852007
14/02/2014,98.46,0.000507949
13/02/2014,98.41,0.024690072
12/02/2014,96.01,-0.002184884
11/02/2014,96.22,0.006882914
10/02/2014,95.56,0.014121849
07/02/2014,94.22,0.029293501
06/02/2014,91.5,0.001750165
05/02/2014,91.34,0.015779638
04/02/2014,89.91,0.159298672
03/02/2014,76.67,-0.041640754
31/01/2014,79.93,-0.005738539
30/01/2014,80.39,0.020738505
29/01/2014,78.74,-0.038737018
28/01/2014,81.85,0.009328655
27/01/2014,81.09,0.012658397
24/01/2014,80.07,-0.002743828
23/01/2014,80.29,0.006748339
22/01/2014,79.75,0.032497285
21/01/2014,77.2,0.002204501
17/01/2014,77.03,0.017416796
16/01/2014,75.7,-0.022337811
15/01/2014,77.41,0.004661409
14/01/2014,77.05,0.004944064
13/01/2014,76.67,-0.040013007
10/01/2014,79.8,0.01527904
09/01/2014,78.59,0.008690151
08/01/2014,77.91,-0.013133756
07/01/2014,78.94,-0.038518863
06/01/2014,82.04,-0.005712565
03/01/2014,82.51,0.001212709
02/01/2014,82.41,0.014914702
31/12/2013,81.19,0.007417515
30/12/2013,80.59,0.000124093
27/12/2013,80.58,-0.005445558
26/12/2013,81.02,-0.004679235
24/12/2013,81.4,0.007398307
23/12/2013,80.8,-0.037410241
20/12/2013,83.88,-0.000476758
19/12/2013,83.92,-0.003212185
18/12/2013,84.19,0.015320467
17/12/2013,82.91,0.00860038
16/12/2013,82.2,-0.000851219
13/12/2013,82.27,-0.004608303
12/12/2013,82.65,0.025364345
11/12/2013,80.58,-0.015149006
10/12/2013,81.81,0.014776774
09/12/2013,80.61,0.011604098
06/12/2013,79.68,-0.01346318
05/12/2013,80.76,0
04/12/2013,80.76,0.004592003
03/12/2013,80.39,-0.016898336
02/12/2013,81.76,0.002571797
29/11/2013,81.55,-0.003549793
27/11/2013,81.84,0.015267472
26/11/2013,80.6,0.00559877
25/11/2013,80.15,-0.006094925
22/11/2013,80.64,0.002483239
21/11/2013,80.44,0.01692512
20/11/2013,79.09,-0.010564807
19/11/2013,79.93,-0.012680428
18/11/2013,80.95,-0.021750613
15/11/2013,82.73,0.010571822
14/11/2013,81.86,-0.004023169
13/11/2013,82.19,0.000608532
12/11/2013,82.14,0.012742147
11/11/2013,81.1,0.021184593
08/11/2013,79.4,0.018944054
07/11/2013,77.91,-0.020076913
06/11/2013,79.49,0.004539158
05/11/2013,79.13,0.0565416
04/11/2013,74.78,-0.008654604
01/11/2013,75.43,-0.019950786
31/10/2013,76.95,-0.013296523
30/10/2013,77.98,0.007724034
29/10/2013,77.38,0.012745653
28/10/2013,76.4,0.002096437
25/10/2013,76.24,-0.009139638
24/10/2013,76.94,-0.00854153
23/10/2013,77.6,-0.014075728
22/10/2013,78.7,0.019502799
21/10/2013,77.18,0.025457352
18/10/2013,75.24,0.020002009
17/10/2013,73.75,-0.007699099
16/10/2013,74.32,0.017235956
15/10/2013,73.05,-0.013326278
14/10/2013,74.03,0.015656164
11/10/2013,72.88,-0.018354128
10/10/2013,74.23,0.02371976
09/10/2013,72.49,0.02189614
08/10/2013,70.92,-0.046962158
07/10/2013,74.33,-0.026813393
04/10/2013,76.35,0.020109158
03/10/2013,74.83,-0.014066049
02/10/2013,75.89,0.000527218
01/10/2013,75.85,0.01769016
30/09/2013,74.52,0.000939787
27/09/2013,74.45,0.00619781
26/09/2013,73.99,0.011007789
25/09/2013,73.18,-0.013302762
24/09/2013,74.16,-0.011396517
23/09/2013,75.01,-0.01284871
20/09/2013,75.98,-0.019678748
19/09/2013,77.49,0.023106569
18/09/2013,75.72,0.009287582
17/09/2013,75.02,0.009643793
16/09/2013,74.3,0.003640535
13/09/2013,74.03,0.009636993
12/09/2013,73.32,-0.017038952
11/09/2013,74.58,0.018540351
10/09/2013,73.21,-0.032388775
09/09/2013,75.62,-0.001057362
06/09/2013,75.7,-0.001847698
05/09/2013,75.84,0.005818583
04/09/2013,75.4,0.012948189
03/09/2013,74.43,0.004578516
30/08/2013,74.09,0.012768443
29/08/2013,73.15,0.019324273
28/08/2013,71.75,0.007273777
27/08/2013,71.23,-0.018637535
26/08/2013,72.57,0
23/08/2013,72.57,0.005250081
22/08/2013,72.19,0.007508378
21/08/2013,71.65,0.005457994
20/08/2013,71.26,0.021274381
19/08/2013,69.76,-0.006287531
16/08/2013,70.2,-0.014565767
15/08/2013,71.23,-0.010752041
14/08/2013,72,-0.00554018
13/08/2013,72.4,0.00554018
12/08/2013,72,-0.000694203
09/08/2013,72.05,0.010744539
08/08/2013,71.28,0.024857469
07/08/2013,69.53,-0.012292894
06/08/2013,70.39,0.036309767
05/08/2013,67.88,-0.013462305
02/08/2013,68.8,0.002182613
01/08/2013,68.65,0.019266718
31/07/2013,67.34,0.02678866
30/07/2013,65.56,0.024082671
29/07/2013,64,-0.012885376
26/07/2013,64.83,0.004018553
25/07/2013,64.57,0.010587052
24/07/2013,63.89,0.007698993
23/07/2013,63.4,0.010783485
22/07/2013,62.72,0.009612378
19/07/2013,62.12,0.006946155
18/07/2013,61.69,-0.020060048
17/07/2013,62.94,0.005256882
16/07/2013,62.61,-0.000638672
15/07/2013,62.65,-0.01850294
12/07/2013,63.82,-0.005780814
11/07/2013,64.19,0.000311624
10/07/2013,64.17,-0.001712729
09/07/2013,64.28,0.008122506
08/07/2013,63.76,0.012467612
05/07/2013,62.97,0.008132071
03/07/2013,62.46,0.001602308
02/07/2013,62.36,0.00289064
01/07/2013,62.18,0.002576491
28/06/2013,62.02,0.012003388
27/06/2013,61.28,0.026121505
26/06/2013,59.7,0.01111684
25/06/2013,59.04,0.033411064
24/06/2013,57.1,-0.03577953
21/06/2013,59.18,-0.007071927
20/06/2013,59.6,-0.034628357
19/06/2013,61.7,0.001135166
18/06/2013,61.63,0.001136456
17/06/2013,61.56,0.01242252
14/06/2013,60.8,0.021613476
13/06/2013,59.5,-0.017162797
12/06/2013,60.53,-0.012151217
11/06/2013,61.27,-0.014582242
10/06/2013,62.17,-0.008329377
07/06/2013,62.69,0.01219723
06/06/2013,61.93,0.011204144
