Date,Close,ADM
04/04/2014,43.05,-0.002320187
03/04/2014,43.15,-0.006468029
02/04/2014,43.43,0
01/04/2014,43.43,0.000921447
31/03/2014,43.39,0.00415705
28/03/2014,43.21,0.002548953
27/03/2014,43.1,0.009324077
26/03/2014,42.7,0.006814737
25/03/2014,42.41,0.002597097
24/03/2014,42.3,-0.008709011
21/03/2014,42.67,-0.000702823
20/03/2014,42.7,0.000937207
19/03/2014,42.66,-0.006309169
18/03/2014,42.93,0.008656037
17/03/2014,42.56,0.001175503
14/03/2014,42.51,0.00259098
13/03/2014,42.4,-0.01242252
12/03/2014,42.93,0.011243969
11/03/2014,42.45,0
10/03/2014,42.45,0.026738284
07/03/2014,41.33,0.009481048
06/03/2014,40.94,0.00661686
05/03/2014,40.67,-0.000737373
04/03/2014,40.7,0.020353147
03/03/2014,39.88,-0.017893122
28/02/2014,40.6,0.017642401
27/02/2014,39.89,-0.012456564
26/02/2014,40.39,0
25/02/2014,40.39,0.005710754
24/02/2014,40.16,0.004242053
21/02/2014,39.99,-0.00324554
20/02/2014,40.12,0.004246291
19/02/2014,39.95,-0.014413768
18/02/2014,40.53,-0.006149325
14/02/2014,40.78,0.002701045
13/02/2014,40.67,0.000491884
12/02/2014,40.65,0.002956395
11/02/2014,40.53,0.010416761
10/02/2014,40.11,0.005500014
07/02/2014,39.89,0.019747477
06/02/2014,39.11,0.011572715
05/02/2014,38.66,0.011184926
04/02/2014,38.23,-0.017630739
03/02/2014,38.91,-0.014542928
31/01/2014,39.48,-0.00075959
30/01/2014,39.51,0.007366984
29/01/2014,39.22,-0.021441104
28/01/2014,40.07,0.017877852
27/01/2014,39.36,-0.005321183
24/01/2014,39.57,-0.031590738
23/01/2014,40.84,-0.033942361
22/01/2014,42.25,0.021048373
21/01/2014,41.37,0.008740041
17/01/2014,41.01,-0.005835173
16/01/2014,41.25,-0.0286758
15/01/2014,42.45,0.002830858
14/01/2014,42.33,0.019079997
13/01/2014,41.53,-0.010777257
10/01/2014,41.98,-0.00427859
09/01/2014,42.16,-0.004732617
08/01/2014,42.36,-0.011501124
07/01/2014,42.85,-0.009984989
06/01/2014,43.28,0.002081648
03/01/2014,43.19,0.004641456
02/01/2014,42.99,-0.009491911
31/12/2013,43.4,-0.006659802
30/12/2013,43.69,-0.001600915
27/12/2013,43.76,0.002516876
26/12/2013,43.65,0.008743728
24/12/2013,43.27,0.005329638
23/12/2013,43.04,-0.007407441
20/12/2013,43.36,-0.009868124
19/12/2013,43.79,0.01495484
18/12/2013,43.14,0.039239258
17/12/2013,41.48,0.019966575
16/12/2013,40.66,0.007901276
13/12/2013,40.34,-0.006178198
12/12/2013,40.59,-0.027219177
11/12/2013,41.71,-0.015463613
10/12/2013,42.36,-0.002828856
09/12/2013,42.48,0.012793351
06/12/2013,41.94,0.011269751
05/12/2013,41.47,-0.00625002
04/12/2013,41.73,0.015212173
03/12/2013,41.1,0.0061013
02/12/2013,40.85,0.014796817
29/11/2013,40.25,-0.03034243
27/11/2013,41.49,-0.002647733
26/11/2013,41.6,0.006027746
25/11/2013,41.35,-0.012258296
22/11/2013,41.86,0.01710679
21/11/2013,41.15,0.030847603
20/11/2013,39.9,-0.026463768
19/11/2013,40.97,0.000732511
18/11/2013,40.94,0.009325221
15/11/2013,40.56,-0.034887259
14/11/2013,42,0.013664362
13/11/2013,41.43,0.024680544
12/11/2013,40.42,-0.017656172
11/11/2013,41.14,-0.007265714
08/11/2013,41.44,0.005080451
07/11/2013,41.23,-0.012772797
06/11/2013,41.76,-0.005254371
05/11/2013,41.98,0.026797017
04/11/2013,40.87,-0.000733765
01/11/2013,40.9,0
31/10/2013,40.9,-0.002442004
30/10/2013,41,0.006607145
29/10/2013,40.73,0.022093489
28/10/2013,39.84,-0.002256488
25/10/2013,39.93,0.018961509
24/10/2013,39.18,-0.002294456
23/10/2013,39.27,-0.005586607
22/10/2013,39.49,0.021242002
21/10/2013,38.66,0.016693137
18/10/2013,38.02,0.003161225
17/10/2013,37.9,0.010076988
16/10/2013,37.52,0.018832948
15/10/2013,36.82,-0.004065597
14/10/2013,36.97,0.010331794
11/10/2013,36.59,-0.013033038
10/10/2013,37.07,0.020164171
09/10/2013,36.33,0.003861009
08/10/2013,36.19,-0.006335237
07/10/2013,36.42,-0.007658681
04/10/2013,36.7,-0.001361471
03/10/2013,36.75,-0.011632757
02/10/2013,37.18,0.008915364
01/10/2013,36.85,0.000271407
30/09/2013,36.84,-0.007571697
27/09/2013,37.12,0.008386361
26/09/2013,36.81,0.003810565
25/09/2013,36.67,-0.002723313
24/09/2013,36.77,0.003814719
23/09/2013,36.63,-0.016515876
20/09/2013,37.24,0.004845232
19/09/2013,37.06,-0.001348254
18/09/2013,37.11,-0.001346439
17/09/2013,37.16,0.011094688
16/09/2013,36.75,0.014526773
13/09/2013,36.22,0.00637033
12/09/2013,35.99,-0.003882423
11/09/2013,36.13,0.00138485
10/09/2013,36.08,-0.00083114
09/09/2013,36.11,0.008901311
06/09/2013,35.79,-0.011114313
05/09/2013,36.19,0.002489972
04/09/2013,36.1,0.019581045
03/09/2013,35.4,0.005381687
30/08/2013,35.21,0.011425431
29/08/2013,34.81,0.00605102
28/08/2013,34.6,-0.000866676
27/08/2013,34.63,0.003761034
26/08/2013,34.5,-0.050307301
23/08/2013,36.28,0.00580513
22/08/2013,36.07,-0.006356246
21/08/2013,36.3,-0.007957238
20/08/2013,36.59,0.000273336
19/08/2013,36.58,-0.018150302
16/08/2013,37.25,0.00592355
15/08/2013,37.03,-0.039968268
14/08/2013,38.54,-0.002332514
13/08/2013,38.63,0.001813707
12/08/2013,38.56,0.004678979
09/08/2013,38.38,0.002086594
08/08/2013,38.3,0.014199555
07/08/2013,37.76,-0.003436884
06/08/2013,37.89,0.000792079
05/08/2013,37.86,0.007689286
02/08/2013,37.57,0.010434877
01/08/2013,37.18,0.019280977
31/07/2013,36.47,0.012415665
30/07/2013,36.02,-0.00939493
29/07/2013,36.36,-0.008489713
26/07/2013,36.67,0.000818442
25/07/2013,36.64,0.015679045
24/07/2013,36.07,-0.013493252
23/07/2013,36.56,0.010724701
22/07/2013,36.17,-0.014001601
19/07/2013,36.68,0.024563123
18/07/2013,35.79,0.002797987
17/07/2013,35.69,-0.000560224
16/07/2013,35.71,-0.014180691
15/07/2013,36.22,-0.002481733
12/07/2013,36.31,0.003310348
11/07/2013,36.19,0.008045542
10/07/2013,35.9,0.005026539
09/07/2013,35.72,0.010129518
08/07/2013,35.36,0.013667639
05/07/2013,34.88,0.002008897
03/07/2013,34.81,-0.001722159
02/07/2013,34.87,0.015024842
01/07/2013,34.35,0.012892063
28/06/2013,33.91,0.005915427
27/06/2013,33.71,0.003863878
26/06/2013,33.58,0.012284799
25/06/2013,33.17,0.007261757
24/06/2013,32.93,-0.004847026
21/06/2013,33.09,0.014612132
20/06/2013,32.61,-0.019736484
19/06/2013,33.26,-0.016992509
18/06/2013,33.83,0.016691893
17/06/2013,33.27,0.00572722
14/06/2013,33.08,-0.009327584
13/06/2013,33.39,0.015087794
12/06/2013,32.89,-0.006968669
11/06/2013,33.12,0.000604047
10/06/2013,33.1,0.005756719
07/06/2013,32.91,0.007931707
06/06/2013,32.65,0.001532567
05/06/2013,32.6,-0.012195273
04/06/2013,33,0.010662706
03/06/2013,32.65,0.01294716
31/05/2013,32.23,-0.032959956
30/05/2013,33.31,-0.003596048
29/05/2013,33.43,-0.021016017
28/05/2013,34.14,0.007644848
24/05/2013,33.88,-0.008230499
23/05/2013,34.16,0.000585652
22/05/2013,34.14,-0.016558113
21/05/2013,34.71,0.008971265
20/05/2013,34.4,-0.017291497
17/05/2013,35,0.024292693
16/05/2013,34.16,-0.015972461
15/05/2013,34.71,0.018904155
14/05/2013,34.06,0.002057312
13/05/2013,33.99,-0.002057312
10/05/2013,34.06,0.004413719
09/05/2013,33.91,-0.014346608
08/05/2013,34.4,0.001745709
07/05/2013,34.34,0.013485986
06/05/2013,33.88,-0.009400774
03/05/2013,34.2,0.017699577
02/05/2013,33.6,0.000595415
01/05/2013,33.58,-0.010663608
30/04/2013,33.94,-0.002648229
29/04/2013,34.03,0.016592973
26/04/2013,33.47,0.00870223
25/04/2013,33.18,0.024097552
24/04/2013,32.39,-0.004927635
23/04/2013,32.55,0.010189991
22/04/2013,32.22,0.001242236
19/04/2013,32.18,0.008425701
18/04/2013,31.91,-0.005001573
17/04/2013,32.07,-0.003424128
16/04/2013,32.18,0.020722877
15/04/2013,31.52,-0.034916265
12/04/2013,32.64,-0.010362787
11/04/2013,32.98,-0.005744536
10/04/2013,33.17,0.013353764
09/04/2013,32.73,-0.017865729
08/04/2013,33.32,0.004511964
05/04/2013,33.17,-0.012582551
04/04/2013,33.59,0.010775321
03/04/2013,33.23,-0.026137514
02/04/2013,34.11,0.012389539
01/04/2013,33.69,-0.001186592
28/03/2013,33.73,0.022789592
27/03/2013,32.97,0.004255326
26/03/2013,32.83,0.007951112
25/03/2013,32.57,-0.006426954
22/03/2013,32.78,0.005199584
21/03/2013,32.61,-0.012191556
20/03/2013,33.01,0.009435468
19/03/2013,32.7,0.000305857
18/03/2013,32.69,-0.009438341
15/03/2013,33,0.002730999
14/03/2013,32.91,-0.000607533
13/03/2013,32.93,0.011299555
12/03/2013,32.56,0.003075979
11/03/2013,32.46,-0.00246154
08/03/2013,32.54,-0.000921517
07/03/2013,32.57,0.007705386
06/03/2013,32.32,0.00340927
05/03/2013,32.21,0.005916256
04/03/2013,32.02,0.001562744
01/03/2013,31.97,0.003446659
28/02/2013,31.86,-0.004384598
27/02/2013,32,0.005326662
26/02/2013,31.83,0.00409256
25/02/2013,31.7,-0.012539349
22/02/2013,32.1,-0.000311478
21/02/2013,32.11,-0.012072581
20/02/2013,32.5,-0.017688781
19/02/2013,33.08,0.015537251
15/02/2013,32.57,0.036583726
