Date,Close,WMB
04/04/2014,40.26,-0.008409646
03/04/2014,40.6,0
02/04/2014,40.6,-0.01053544
01/04/2014,41.03,0.011028172
31/03/2014,40.58,-0.008343607
28/03/2014,40.92,0.006866138
27/03/2014,40.64,0.015873349
26/03/2014,40,-0.019312311
25/03/2014,40.78,0.000490557
24/03/2014,40.76,0.003686867
21/03/2014,40.61,-0.006137248
20/03/2014,40.86,-0.018909654
19/03/2014,41.64,0.00120149
18/03/2014,41.59,0.001443696
17/03/2014,41.53,0.00289366
14/03/2014,41.41,0.009950331
13/03/2014,41,-0.004380635
12/03/2014,41.18,-0.010147466
11/03/2014,41.6,-0.011472401
10/03/2014,42.08,-0.014392132
07/03/2014,42.69,0.000937427
06/03/2014,42.65,0.004700361
05/03/2014,42.45,-0.004231318
04/03/2014,42.63,0.023496987
03/03/2014,41.64,0.008198744
28/02/2014,41.3,0.000968992
27/02/2014,41.26,0.000969932
26/02/2014,41.22,-0.007733243
25/02/2014,41.54,-0.00552156
24/02/2014,41.77,-0.006918792
21/02/2014,42.06,0.001427552
20/02/2014,42,0.036367644
19/02/2014,40.5,-0.000987167
18/02/2014,40.54,-0.007127964
14/02/2014,40.83,-0.000489716
13/02/2014,40.85,0.003924459
12/02/2014,40.69,-0.025956582
11/02/2014,41.76,0.020320002
10/02/2014,40.92,-0.012144915
07/02/2014,41.42,0.008485928
06/02/2014,41.07,0.030155523
05/02/2014,39.85,-0.001755046
04/02/2014,39.92,0.014889865
03/02/2014,39.33,-0.029067444
31/01/2014,40.49,0.00843259
30/01/2014,40.15,0.010767601
29/01/2014,39.72,-0.002012073
28/01/2014,39.8,0.023386933
27/01/2014,38.88,-0.00231214
24/01/2014,38.97,-0.007414069
23/01/2014,39.26,0.00767071
22/01/2014,38.96,-0.012498569
21/01/2014,39.45,0.005847227
17/01/2014,39.22,-0.003817284
16/01/2014,39.37,0.006625916
15/01/2014,39.11,-0.001277629
14/01/2014,39.16,0.003069056
13/01/2014,39.04,-0.007909213
10/01/2014,39.35,0.002544531
09/01/2014,39.25,0.002295627
08/01/2014,39.16,0.003837794
07/01/2014,39.01,0.015760564
06/01/2014,38.4,0.009682138
03/01/2014,38.03,-0.006552245
02/01/2014,38.28,-0.007547206
31/12/2013,38.57,0.00415693
30/12/2013,38.41,0.002867946
27/12/2013,38.3,0.001829348
26/12/2013,38.23,0.013960453
24/12/2013,37.7,0.002656044
23/12/2013,37.6,0.015815904
20/12/2013,37.01,0.003247635
19/12/2013,36.89,0.006527083
18/12/2013,36.65,-0.005170783
17/12/2013,36.84,0.04185175
16/12/2013,35.33,0.031045897
13/12/2013,34.25,-0.003206532
12/12/2013,34.36,0.000582242
11/12/2013,34.34,-0.032658302
10/12/2013,35.48,-0.010095431
09/12/2013,35.84,-0.010270736
06/12/2013,36.21,-0.002206897
05/12/2013,36.29,-0.013411998
04/12/2013,36.78,0.013963266
03/12/2013,36.27,0.030513214
02/12/2013,35.18,-0.001136364
29/11/2013,35.22,0.001136364
27/11/2013,35.18,-0.014112568
26/11/2013,35.68,-0.003357586
25/11/2013,35.8,0.014915149
22/11/2013,35.27,0.010259423
21/11/2013,34.91,0.003730812
20/11/2013,34.78,-0.007162328
19/11/2013,35.03,-0.007111394
18/11/2013,35.28,0.001418239
15/11/2013,35.23,0.004837113
14/11/2013,35.06,0.019295055
13/11/2013,34.39,-0.005220429
12/11/2013,34.57,-0.010359805
11/11/2013,34.93,0.00401607
08/11/2013,34.79,0.008370665
07/11/2013,34.5,-0.011527505
06/11/2013,34.9,-0.003146906
05/11/2013,35.01,-0.020356937
04/11/2013,35.73,0.005894754
01/11/2013,35.52,-0.005334843
31/10/2013,35.71,-0.034134886
30/10/2013,36.95,-0.009159547
29/10/2013,37.29,0.002954212
28/10/2013,37.18,-0.003222344
25/10/2013,37.3,0.011323928
24/10/2013,36.88,0.005710417
23/10/2013,36.67,-0.008147791
22/10/2013,36.97,0.021876727
21/10/2013,36.17,-0.001933435
18/10/2013,36.24,0.005811556
17/10/2013,36.03,0.002222841
16/10/2013,35.95,0.011751674
15/10/2013,35.53,-0.006732143
14/10/2013,35.77,-0.010567395
11/10/2013,36.15,0.011126679
10/10/2013,35.75,0.022345718
09/10/2013,34.96,-0.002571063
08/10/2013,35.05,-0.013320305
07/10/2013,35.52,-0.011198325
04/10/2013,35.92,-0.010523498
03/10/2013,36.3,-0.007683902
02/10/2013,36.58,-0.004636583
01/10/2013,36.75,0.010668956
30/09/2013,36.36,0.003305788
