Date,Close,F
04/04/2014,16.13,-0.015990501
03/04/2014,16.39,-0.004261802
02/04/2014,16.46,0.008541846
01/04/2014,16.32,0.045120435
31/03/2014,15.6,0.009661911
28/03/2014,15.45,0.0130295
27/03/2014,15.25,0
26/03/2014,15.25,-0.00523219
25/03/2014,15.33,-0.003906255
24/03/2014,15.39,-0.005184717
21/03/2014,15.47,-0.005157974
20/03/2014,15.55,0.00451177
19/03/2014,15.48,-0.000645786
18/03/2014,15.49,0.013649871
17/03/2014,15.28,0.013175421
14/03/2014,15.08,-0.006609409
13/03/2014,15.18,-0.014388737
12/03/2014,15.4,0.006514681
11/03/2014,15.3,-0.013632149
10/03/2014,15.51,-0.007067167
07/03/2014,15.62,-0.003195912
06/03/2014,15.67,0.002555912
05/03/2014,15.63,0.016774587
04/03/2014,15.37,0.01112213
03/03/2014,15.2,-0.01242252
28/02/2014,15.39,0
27/02/2014,15.39,0.008482922
26/02/2014,15.26,0.007234494
25/02/2014,15.15,-0.00197824
24/02/2014,15.18,0.001318392
21/02/2014,15.16,-0.007229739
20/02/2014,15.27,0.001310616
19/02/2014,15.25,-0.009138445
18/02/2014,15.39,0.009794398
14/02/2014,15.24,0.010554188
13/02/2014,15.08,0.005319161
12/02/2014,15,0.002670229
11/02/2014,14.96,0.008053735
10/02/2014,14.84,-0.008721961
07/02/2014,14.97,0.008048333
06/02/2014,14.85,0.008113635
05/02/2014,14.73,-0.00945953
04/02/2014,14.87,0.021754767
03/02/2014,14.55,-0.027788979
31/01/2014,14.96,-0.019199531
30/01/2014,15.25,-0.000655523
29/01/2014,15.26,-0.029698761
28/01/2014,15.72,0.000636335
27/01/2014,15.71,-0.007609422
24/01/2014,15.83,-0.037202058
23/01/2014,16.43,-0.00727717
22/01/2014,16.55,0.008495197
21/01/2014,16.41,-0.006680863
17/01/2014,16.52,-0.012631747
16/01/2014,16.73,0.001794796
15/01/2014,16.7,0.018127385
14/01/2014,16.4,0.017841138
13/01/2014,16.11,0.002486017
10/01/2014,16.07,0.014415793
09/01/2014,15.84,0.019121041
08/01/2014,15.54,0.010349381
07/01/2014,15.38,-0.012920076
06/01/2014,15.58,0.004503063
03/01/2014,15.51,0.004523433
02/01/2014,15.44,0.000647878
31/12/2013,15.43,0.009768883
30/12/2013,15.28,-0.001308045
27/12/2013,15.3,-0.001958864
26/12/2013,15.33,0.009174376
24/12/2013,15.19,0.002636785
23/12/2013,15.15,-0.017664836
20/12/2013,15.42,0.00781254
19/12/2013,15.3,-0.022618089
18/12/2013,15.65,-0.064937802
17/12/2013,16.7,-0.009535233
16/12/2013,16.86,0.016143848
13/12/2013,16.59,0.012128711
12/12/2013,16.39,-0.001219512
11/12/2013,16.41,-0.007286007
10/12/2013,16.53,-0.001813237
09/12/2013,16.56,-0.00841857
06/12/2013,16.7,-0.002392346
05/12/2013,16.74,0.007194276
04/12/2013,16.62,0.00361664
03/12/2013,16.56,-0.029746393
02/12/2013,17.06,-0.001171646
29/11/2013,17.08,0.002931694
27/11/2013,17.03,0.009439598
26/11/2013,16.87,-0.004140793
25/11/2013,16.94,-0.004123717
22/11/2013,17.01,-0.004692091
21/11/2013,17.09,0.009997143
20/11/2013,16.92,0.002959458
19/11/2013,16.87,-0.006499284
18/11/2013,16.98,-0.005286356
15/11/2013,17.07,-0.00117096
14/11/2013,17.09,-0.000584966
13/11/2013,17.1,0.022472856
12/11/2013,16.72,-0.010116123
11/11/2013,16.89,0.002371074
08/11/2013,16.85,0.017964555
07/11/2013,16.55,-0.021519061
06/11/2013,16.91,-0.010588334
05/11/2013,17.09,0.005280153
04/11/2013,17,0.006491613
01/11/2013,16.89,-0.012941357
31/10/2013,17.11,-0.013352883
30/10/2013,17.34,-0.015450951
29/10/2013,17.61,0.00227402
28/10/2013,17.57,-0.001706
25/10/2013,17.6,-0.009049836
24/10/2013,17.76,0.013605652
23/10/2013,17.52,-0.004555817
22/10/2013,17.6,0.005698021
21/10/2013,17.5,-0.001712818
18/10/2013,17.53,0.004001149
17/10/2013,17.46,0.009784251
16/10/2013,17.29,0.01868122
15/10/2013,16.97,-0.012298837
14/10/2013,17.18,0.004082829
11/10/2013,17.11,0.010575892
10/10/2013,16.93,0.018480407
09/10/2013,16.62,0.007246409
08/10/2013,16.5,-0.018613567
07/10/2013,16.81,-0.01651955
04/10/2013,17.09,0.008225663
03/10/2013,16.95,-0.015222776
02/10/2013,17.21,0.001162791
01/10/2013,17.19,0.018790923
30/09/2013,16.87,-0.010613307
27/09/2013,17.05,-0.012820688
26/09/2013,17.27,0.004643073
25/09/2013,17.19,-0.004063866
24/09/2013,17.26,0.003482302
23/09/2013,17.2,-0.010985945
20/09/2013,17.39,-0.015406867
19/09/2013,17.66,0.001700199
18/09/2013,17.63,0.010835578
17/09/2013,17.44,0.005173912
16/09/2013,17.35,0
13/09/2013,17.35,-0.002302822
12/09/2013,17.39,-0.008588659
11/09/2013,17.54,-0.000569963
10/09/2013,17.55,0.013769581
09/09/2013,17.31,0.018071025
06/09/2013,17,-0.017493157
05/09/2013,17.3,0.022801339
04/09/2013,16.91,0.034289073
03/09/2013,16.34,0.009222322
30/08/2013,16.19,-0.018966613
29/08/2013,16.5,0.029522439
28/08/2013,16.02,0.008777486
27/08/2013,15.88,-0.032830449
26/08/2013,16.41,-0.002434572
23/08/2013,16.45,0.002434572
22/08/2013,16.41,0.009797996
21/08/2013,16.25,-0.003685508
20/08/2013,16.31,0.01171768
19/08/2013,16.12,-0.011104371
16/08/2013,16.3,-0.007943824
15/08/2013,16.43,-0.027612799
14/08/2013,16.89,-0.010014811
13/08/2013,17.06,-0.000585995
12/08/2013,17.07,0.002933414
09/08/2013,17.02,0.002352942
08/08/2013,16.98,0.012444605
07/08/2013,16.77,-0.015384919
06/08/2013,17.03,-0.009351325
05/08/2013,17.19,-0.017873062
02/08/2013,17.5,0.017873062
01/08/2013,17.19,0.01819833
31/07/2013,16.88,-0.011778699
30/07/2013,17.08,0
29/07/2013,17.08,0.003519065
26/07/2013,17.02,0.003531493
25/07/2013,16.96,-0.02388695
24/07/2013,17.37,0.025066891
23/07/2013,16.94,-0.005885832
22/07/2013,17.04,0.016568426
19/07/2013,16.76,-0.010092101
18/07/2013,16.93,0.008899495
17/07/2013,16.78,0.010785006
16/07/2013,16.6,-0.030844675
15/07/2013,17.12,0.000584283
12/07/2013,17.11,0.007626907
11/07/2013,16.98,0.015430573
10/07/2013,16.72,-0.007151401
09/07/2013,16.84,0.001783061
08/07/2013,16.81,0.006565228
05/07/2013,16.7,0.016299787
03/07/2013,16.43,0.01533302
02/07/2013,16.18,0.027570669
01/07/2013,15.74,0.017302578
28/06/2013,15.47,-0.011568252
27/06/2013,15.65,0.023271897
