Date,Close,BDX
04/04/2014,116.34,-0.009155144
03/04/2014,117.41,0.002131561
02/04/2014,117.16,-0.00085317
01/04/2014,117.26,0.00153623
31/03/2014,117.08,0.013240671
28/03/2014,115.54,0.003468011
27/03/2014,115.14,0.005311982
26/03/2014,114.53,0.001922741
25/03/2014,114.31,0.006582724
24/03/2014,113.56,-0.008854658
21/03/2014,114.57,-0.009468863
20/03/2014,115.66,0
19/03/2014,115.66,-0.00989383
18/03/2014,116.81,0.010239732
17/03/2014,115.62,0.002337967
14/03/2014,115.35,0.001388046
13/03/2014,115.19,-0.002427817
12/03/2014,115.47,0.001126468
11/03/2014,115.34,-0.002338169
10/03/2014,115.61,0.000346051
07/03/2014,115.57,0.003553941
06/03/2014,115.16,-0.00967861
05/03/2014,116.28,-0.003605464
04/03/2014,116.7,0.015196286
03/03/2014,114.94,-0.002433091
28/02/2014,115.22,0.001042029
27/02/2014,115.1,0.001826167
26/02/2014,114.89,0.003138351
25/02/2014,114.53,-0.004095331
24/02/2014,115,0.000173928
21/02/2014,114.98,-0.004685475
20/02/2014,115.52,0.01333295
19/02/2014,113.99,-0.01203363
18/02/2014,115.37,0.008443276
14/02/2014,114.4,0.000524613
13/02/2014,114.34,0.00904904
12/02/2014,113.31,0.002828106
11/02/2014,112.99,0.018309805
10/02/2014,110.94,0.007418834
07/02/2014,110.12,0.027154322
06/02/2014,107.17,-0.000746199
05/02/2014,107.25,0.011629129
04/02/2014,106.01,0.005770793
03/02/2014,105.4,-0.025479085
31/01/2014,108.12,0.001295697
30/01/2014,107.98,0.002225108
29/01/2014,107.74,-0.004352866
28/01/2014,108.21,0.012179966
27/01/2014,106.9,-0.007919911
24/01/2014,107.75,-0.024296405
23/01/2014,110.4,-0.010452429
22/01/2014,111.56,0.000986503
21/01/2014,111.45,0.001256958
17/01/2014,111.31,-0.00609048
16/01/2014,111.99,0.001519146
15/01/2014,111.82,0.00107373
14/01/2014,111.7,0.00574611
13/01/2014,111.06,-0.013238118
10/01/2014,112.54,0.003471453
09/01/2014,112.15,0.009586599
08/01/2014,111.08,0.000450227
07/01/2014,111.03,0.014332611
06/01/2014,109.45,0.000731195
03/01/2014,109.37,0.002105168
02/01/2014,109.14,-0.012293557
31/12/2013,110.49,-0.00099507
30/12/2013,110.6,0.002262956
27/12/2013,110.35,0.002268089
26/12/2013,110.1,0.003822008
24/12/2013,109.68,0.00228196
23/12/2013,109.43,0.005038717
20/12/2013,108.88,0.007929963
19/12/2013,108.02,-0.004894501
18/12/2013,108.55,0.026133078
17/12/2013,105.75,-0.001228559
16/12/2013,105.88,0.00406947
13/12/2013,105.45,0.004276557
12/12/2013,105,-0.006076737
11/12/2013,105.64,-0.015777938
10/12/2013,107.32,-0.011948459
09/12/2013,108.61,0.002396756
06/12/2013,108.35,0.012537894
05/12/2013,107,-0.003824453
04/12/2013,107.41,-0.009267048
03/12/2013,108.41,0.002678614
02/12/2013,108.12,-0.004337601
29/11/2013,108.59,-0.00321795
27/11/2013,108.94,0.000459074
26/11/2013,108.89,-0.003209098
25/11/2013,109.24,0.001190749
22/11/2013,109.11,-0.000458148
21/11/2013,109.16,0.004406911
20/11/2013,108.68,0.00221076
19/11/2013,108.44,0.002955303
18/11/2013,108.12,-0.009206473
15/11/2013,109.12,0.004224453
14/11/2013,108.66,0.005814775
13/11/2013,108.03,-0.008204701
12/11/2013,108.92,0.008482441
11/11/2013,108,0.002688797
08/11/2013,107.71,0.013177145
07/11/2013,106.3,-0.00712414
06/11/2013,107.06,0.000467137
05/11/2013,107.01,0.004214081
04/11/2013,106.56,0.013130118
01/11/2013,105.17,0.000380409
31/10/2013,105.13,-0.004934064
30/10/2013,105.65,-0.008013241
