Date,Close,AMZN
04/04/2014,323,-0.032350298
03/04/2014,333.62,-0.02469115
02/04/2014,341.96,-0.003007521
01/04/2014,342.99,0.019489548
31/03/2014,336.37,-0.005691771
28/03/2014,338.29,-0.000531946
27/03/2014,338.47,-0.014489606
26/03/2014,343.41,-0.032375486
25/03/2014,354.71,0.008095606
24/03/2014,351.85,-0.024619824
21/03/2014,360.62,-0.022890568
20/03/2014,368.97,-0.011479512
19/03/2014,373.23,-0.014734309
18/03/2014,378.77,0.009896474
17/03/2014,375.04,0.003472318
14/03/2014,373.74,0.005984587
13/03/2014,371.51,0.002344541
12/03/2014,370.64,0.004922521
11/03/2014,368.82,-0.004625693
10/03/2014,370.53,-0.004120718
07/03/2014,372.06,-0.000268738
06/03/2014,372.16,-0.000564114
05/03/2014,372.37,0.023008879
04/03/2014,363.9,0.011386371
03/03/2014,359.78,-0.006427683
28/02/2014,362.1,0.005455339
27/02/2014,360.13,0.000916756
26/02/2014,359.8,0.00412188
25/02/2014,358.32,0.018420462
24/02/2014,351.78,0.014373082
21/02/2014,346.76,-0.008728665
20/02/2014,349.8,0.006942281
19/02/2014,347.38,-0.017888442
18/02/2014,353.65,-0.01040797
14/02/2014,357.35,0.000419845
13/02/2014,357.2,0.022507851
12/02/2014,349.25,-0.035275935
11/02/2014,361.79,0.00254615
10/02/2014,360.87,-0.000581758
07/02/2014,361.08,0.018137348
06/02/2014,354.59,0.023223684
05/02/2014,346.45,-0.004320283
04/02/2014,347.95,0.005186584
03/02/2014,346.15,-0.035586299
31/01/2014,358.69,-0.11650287
30/01/2014,403.01,0.047798125
29/01/2014,384.2,-0.026278434
28/01/2014,394.43,0.02087919
27/01/2014,386.28,-0.003411385
24/01/2014,387.6,-0.031165614
23/01/2014,399.87,-0.011611125
22/01/2014,404.54,-0.006185409
21/01/2014,407.05,0.018446957
17/01/2014,399.61,0.009580038
16/01/2014,395.8,-0.000176841
15/01/2014,395.87,-0.004209683
14/01/2014,397.54,0.01663915
13/01/2014,390.98,-0.016940961
10/01/2014,397.66,-0.008388996
09/01/2014,401.01,-0.002266699
08/01/2014,401.92,0.009725685
07/01/2014,398.03,0.011115998
06/01/2014,393.63,-0.007113324
03/01/2014,396.44,-0.00385192
02/01/2014,397.97,-0.002058337
31/12/2013,398.79,0.013684318
30/12/2013,393.37,-0.011902345
27/12/2013,398.08,-0.015726769
26/12/2013,404.39,0.012917214
24/12/2013,399.2,-0.009275487
23/12/2013,402.92,0.001788554
20/12/2013,402.2,0.017582815
19/12/2013,395.19,-0.001946534
18/12/2013,395.96,0.021210325
17/12/2013,387.65,-0.003399349
16/12/2013,388.97,0.012234862
13/12/2013,384.24,0.007812029
12/12/2013,381.25,-0.002462539
11/12/2013,382.19,-0.014520301
10/12/2013,387.78,0.007480589
09/12/2013,384.89,-0.005337907
06/12/2013,386.95,0.006377705
05/12/2013,384.49,-0.003815956
04/12/2013,385.96,0.00337391
03/12/2013,384.66,-0.019667026
02/12/2013,392.3,-0.003359124
29/11/2013,393.62,0.017710919
27/11/2013,386.71,0.013905026
26/11/2013,381.37,0.012480208
25/11/2013,376.64,0.011562983
22/11/2013,372.31,0.009147022
21/11/2013,368.92,0.017362259
20/11/2013,362.57,-0.006515397
19/11/2013,364.94,-0.003392059
18/11/2013,366.18,-0.008132227
15/11/2013,369.17,0.00480607
14/11/2013,367.4,0.030902655
13/11/2013,356.22,0.018959123
12/11/2013,349.53,-0.013780389
11/11/2013,354.38,0.011551307
08/11/2013,350.31,0.019456708
07/11/2013,343.56,-0.036074452
06/11/2013,356.18,-0.007579714
05/11/2013,358.89,0.000418043
04/11/2013,358.74,-0.000724496
01/11/2013,359,-0.013913893
31/10/2013,364.03,0.008136741
30/10/2013,361.08,-0.004476506
29/10/2013,362.7,0.012596232
28/10/2013,358.16,-0.014496824
