Date,Close,ICE
04/04/2014,196.55,-0.028241538
03/04/2014,202.18,0.009392073
02/04/2014,200.29,0.036351002
01/04/2014,193.14,-0.023992762
31/03/2014,197.83,0.008426446
28/03/2014,196.17,-0.016431523
27/03/2014,199.42,-0.000250696
26/03/2014,199.47,-0.002553512
25/03/2014,199.98,-0.018774545
24/03/2014,203.77,-0.000392522
21/03/2014,203.85,0.002160783
20/03/2014,203.41,-0.000344073
19/03/2014,203.48,-0.012017144
18/03/2014,205.94,-0.015514645
17/03/2014,209.16,0.020431052
14/03/2014,204.93,0.004303396
13/03/2014,204.05,-0.024638822
12/03/2014,209.14,0.00330468
11/03/2014,208.45,-0.008740772
10/03/2014,210.28,-0.011160619
07/03/2014,212.64,-0.010897889
06/03/2014,214.97,0.004989867
05/03/2014,213.9,-0.00475725
04/03/2014,214.92,0.023253578
03/03/2014,209.98,0.00544388
28/02/2014,208.84,-0.001148545
27/02/2014,209.08,0.000909156
26/02/2014,208.89,-0.025242407
25/02/2014,214.23,-0.005075089
24/02/2014,215.32,0.011255752
21/02/2014,212.91,0.012572242
20/02/2014,210.25,-0.007250701
19/02/2014,211.78,-0.024118912
18/02/2014,216.95,0.009726802
14/02/2014,214.85,-0.009542411
13/02/2014,216.91,-0.002302451
12/02/2014,217.41,0.004286807
11/02/2014,216.48,0.020393156
10/02/2014,212.11,-0.015995103
07/02/2014,215.53,0.023994578
06/02/2014,210.42,0.013685079
05/02/2014,207.56,-0.006291594
04/02/2014,208.87,0.026291774
03/02/2014,203.45,-0.025908688
31/01/2014,208.79,-0.002439667
30/01/2014,209.3,0.021832397
29/01/2014,204.78,-0.010299353
28/01/2014,206.9,0.018241739
27/01/2014,203.16,-0.005889299
24/01/2014,204.36,-0.012304107
23/01/2014,206.89,-0.014825037
22/01/2014,209.98,0.009474208
21/01/2014,208,0.005447503
17/01/2014,206.87,-0.011821377
16/01/2014,209.33,-0.007377297
15/01/2014,210.88,-0.041428791
14/01/2014,219.8,-0.003225003
13/01/2014,220.51,-0.021622949
10/01/2014,225.33,-0.009716103
09/01/2014,227.53,0.002288028
08/01/2014,227.01,-0.003561774
07/01/2014,227.82,0.005987515
06/01/2014,226.46,0.002564444
03/01/2014,225.88,0.005682843
02/01/2014,224.6,-0.001423741
31/12/2013,224.92,0.006243888
30/12/2013,223.52,-0.005443283
27/12/2013,224.74,-0.000533808
26/12/2013,224.86,-0.00510126
24/12/2013,226.01,-0.000221205
23/12/2013,226.06,0.007102933
20/12/2013,224.46,0.008186317
19/12/2013,222.63,-0.011255646
18/12/2013,225.15,0.013098965
17/12/2013,222.22,0.001711481
16/12/2013,221.84,0.006330852
13/12/2013,220.44,0.011910607
12/12/2013,217.83,-0.003071072
11/12/2013,218.5,0.007949131
10/12/2013,216.77,-0.002764087
09/12/2013,217.37,-0.003811103
06/12/2013,218.2,0.025764452
05/12/2013,212.65,0.001647253
04/12/2013,212.3,-0.001929367
03/12/2013,212.71,-0.010196534
02/12/2013,214.89,0.007473527
29/11/2013,213.29,-0.005283966
27/11/2013,214.42,0.005330852
26/11/2013,213.28,-0.014152936
25/11/2013,216.32,-0.005026179
22/11/2013,217.41,0.007850059
21/11/2013,215.71,0.012314163
20/11/2013,213.07,0.031707822
19/11/2013,206.42,0.015869861
18/11/2013,203.17,0.003994778
15/11/2013,202.36,0.015939768
14/11/2013,199.16,-0.003408525
13/11/2013,199.84,0.010260627
12/11/2013,197.8,-0.024569297
11/11/2013,202.72,-0.007274189
08/11/2013,204.2,0.019133899
07/11/2013,200.33,0.002649141
06/11/2013,199.8,0.009201362
05/11/2013,197.97,0.021082428
04/11/2013,193.84,-0.007759745
01/11/2013,195.35,0.013502576
31/10/2013,192.73,0.011113254
30/10/2013,190.6,-0.011735693
29/10/2013,192.85,-0.004965613
28/10/2013,193.81,-0.011236362
25/10/2013,196,-0.001019888
24/10/2013,196.2,0.001326057
23/10/2013,195.94,-0.007778184
22/10/2013,197.47,0.001114714
21/10/2013,197.25,-0.004905565
18/10/2013,198.22,0.004905565
17/10/2013,197.25,0.008860431
16/10/2013,195.51,0.007135004
15/10/2013,194.12,-0.007901934
14/10/2013,195.66,0.005021274
11/10/2013,194.68,0.007838324
10/10/2013,193.16,0.021983509
09/10/2013,188.96,-0.003697643
08/10/2013,189.66,-0.017457193
07/10/2013,193,-0.003362217
04/10/2013,193.65,0.029450881
03/10/2013,188.03,0.021068119
02/10/2013,184.11,0.000978155
01/10/2013,183.93,0.013740465
30/09/2013,181.42,0.000771988
27/09/2013,181.28,0.00753049
26/09/2013,179.92,0.005685317
25/09/2013,178.9,-0.009955865
24/09/2013,180.69,-0.002487357
23/09/2013,181.14,-0.005450505
20/09/2013,182.13,-0.004601487
19/09/2013,182.97,0.006855164
18/09/2013,181.72,0.000660575
17/09/2013,181.6,0.002922769
16/09/2013,181.07,0.002986728
13/09/2013,180.53,0.002940118
12/09/2013,180,-0.008574247
11/09/2013,181.55,0.003034067
10/09/2013,181,-0.002372873
09/09/2013,181.43,0.011307698
06/09/2013,179.39,-0.008934825
05/09/2013,181,-0.01071586
04/09/2013,182.95,0.007021037
03/09/2013,181.67,0.010624858
30/08/2013,179.75,-0.00288873
29/08/2013,180.27,0.001887841
28/08/2013,179.93,-0.00172141
27/08/2013,180.24,-0.017216673
26/08/2013,183.37,-0.01063205
23/08/2013,185.33,-0.000970769
