Date,Close,SCHW
04/04/2014,26.05,-0.049429755
03/04/2014,27.37,-0.019179166
02/04/2014,27.9,0.016260521
01/04/2014,27.45,0.004381168
31/03/2014,27.33,0.005135741
28/03/2014,27.19,0.001103956
27/03/2014,27.16,-0.022930941
26/03/2014,27.79,-0.001438332
25/03/2014,27.83,-0.02133035
24/03/2014,28.43,-0.00351124
21/03/2014,28.53,0.00351124
20/03/2014,28.43,0.030354053
19/03/2014,27.58,0.031678524
18/03/2014,26.72,0.007890328
17/03/2014,26.51,0.017504252
14/03/2014,26.05,-0.011450507
13/03/2014,26.35,-0.01169604
12/03/2014,26.66,-0.007101506
11/03/2014,26.85,-0.011111225
10/03/2014,27.15,0.00554018
07/03/2014,27,0.002224695
06/03/2014,26.94,0.000371264
05/03/2014,26.93,0.004093029
04/03/2014,26.82,0.036450505
03/03/2014,25.86,-0.024824647
28/02/2014,26.51,0.003400721
27/02/2014,26.42,0.001894299
26/02/2014,26.37,0.004180131
25/02/2014,26.26,-0.010229299
24/02/2014,26.53,0.010610179
21/02/2014,26.25,0.004964685
20/02/2014,26.12,0.021672675
19/02/2014,25.56,-0.021672675
18/02/2014,26.12,0.025985561
14/02/2014,25.45,-0.013658749
13/02/2014,25.8,0.008954703
12/02/2014,25.57,0.006276992
11/02/2014,25.41,0.02591335
10/02/2014,24.76,0.006483005
07/02/2014,24.6,0.006525309
06/02/2014,24.44,0.024017718
05/02/2014,23.86,-0.011252463
04/02/2014,24.13,0.020092765
03/02/2014,23.65,-0.048286665
31/01/2014,24.82,-0.018759281
30/01/2014,25.29,0.025226563
29/01/2014,24.66,-0.021661497
28/01/2014,25.2,0.015194215
27/01/2014,24.82,-0.017968142
24/01/2014,25.27,-0.033848787
23/01/2014,26.14,-0.024935179
22/01/2014,26.8,0
21/01/2014,26.8,0.00112003
17/01/2014,26.77,-0.00112003
16/01/2014,26.8,0.029152169
15/01/2014,26.03,0.017048069
14/01/2014,25.59,0.030149051
13/01/2014,24.83,-0.03288076
10/01/2014,25.66,-0.007377242
09/01/2014,25.85,0.000386922
08/01/2014,25.84,0.011677828
07/01/2014,25.54,-0.010516163
06/01/2014,25.81,-0.003480955
03/01/2014,25.9,0.003093583
02/01/2014,25.82,-0.006947153
31/12/2013,26,0.016285742
30/12/2013,25.58,-0.003122563
27/12/2013,25.66,-0.003112843
26/12/2013,25.74,0.001166181
24/12/2013,25.71,0.00077821
23/12/2013,25.69,0.003118911
20/12/2013,25.61,0.001172104
19/12/2013,25.58,-0.004680196
18/12/2013,25.7,0.037261544
17/12/2013,24.76,-0.013239913
16/12/2013,25.09,0.012029014
13/12/2013,24.79,-0.000403307
12/12/2013,24.8,-0.002416433
11/12/2013,24.86,0.001207487
10/12/2013,24.83,-0.008421947
09/12/2013,25.04,0.008421947
06/12/2013,24.83,0.017059715
05/12/2013,24.41,-0.008566236
