Date,Close,PCLN
04/04/2014,1178.08,-0.049166816
03/04/2014,1237.45,-0.023330704
02/04/2014,1266.66,0.012144564
01/04/2014,1251.37,0.048698669
31/03/2014,1191.89,-0.000100675
28/03/2014,1192.01,0.008221555
27/03/2014,1182.25,-0.005499757
26/03/2014,1188.77,-0.028959897
25/03/2014,1223.7,-0.003450769
24/03/2014,1227.93,-0.032773272
21/03/2014,1268.84,-0.01839012
20/03/2014,1292.39,0.004000595
19/03/2014,1287.23,-0.013273541
18/03/2014,1304.43,0.012706592
17/03/2014,1287.96,0.015673922
14/03/2014,1267.93,-0.024770901
13/03/2014,1299.73,-0.024960362
12/03/2014,1332.58,0.004723802
11/03/2014,1326.3,-0.012840378
10/03/2014,1343.44,-0.010808995
07/03/2014,1358.04,-0.004672288
06/03/2014,1364.4,-0.004409788
05/03/2014,1370.43,0.001540849
04/03/2014,1368.32,0.022228392
03/03/2014,1338.24,-0.007889646
28/02/2014,1348.84,-0.006613414
27/02/2014,1357.79,0.000626213
26/02/2014,1356.94,0.002545723
25/02/2014,1353.49,0.029861695
24/02/2014,1313.67,-0.001506093
21/02/2014,1315.65,0.025129754
20/02/2014,1283,0.007227929
19/02/2014,1273.76,-0.021651851
18/02/2014,1301.64,0.016780555
14/02/2014,1279.98,0.00305941
13/02/2014,1276.07,0.02333311
12/02/2014,1246.64,0.026588902
11/02/2014,1213.93,0.005045949
10/02/2014,1207.82,0.01034459
07/02/2014,1195.39,0.048901431
06/02/2014,1138.34,0.012668413
05/02/2014,1124.01,-0.001875448
04/02/2014,1126.12,0.011278869
03/02/2014,1113.49,-0.027809336
31/01/2014,1144.89,-0.013111443
30/01/2014,1160,0.022854002
29/01/2014,1133.79,-0.025032662
28/01/2014,1162.53,0.016732328
27/01/2014,1143.24,-0.031588778
24/01/2014,1179.93,-0.024222652
23/01/2014,1208.86,-0.003657911
22/01/2014,1213.29,0.00606804
21/01/2014,1205.95,0.023415598
17/01/2014,1178.04,-0.005595332
16/01/2014,1184.65,0.010002162
15/01/2014,1172.86,0.011706472
14/01/2014,1159.21,0.01695612
13/01/2014,1139.72,-0.007970119
10/01/2014,1148.84,-0.004212764
09/01/2014,1153.69,-0.003297006
08/01/2014,1157.5,-0.004800554
07/01/2014,1163.07,0.020447164
06/01/2014,1139.53,0.006029391
03/01/2014,1132.68,-0.011202337
02/01/2014,1145.44,-0.014697991
31/12/2013,1162.4,0.008215
30/12/2013,1152.89,-0.014996838
27/12/2013,1170.31,-0.016558578
26/12/2013,1189.85,0.00839756
24/12/2013,1179.9,-0.006210019
23/12/2013,1187.25,-0.0031116
20/12/2013,1190.95,-0.000520457
19/12/2013,1191.57,0.003008962
18/12/2013,1187.99,0.023067237
17/12/2013,1160.9,-0.01143408
16/12/2013,1174.25,0.002541016
13/12/2013,1171.27,-0.003383752
12/12/2013,1175.24,-0.002439077
11/12/2013,1178.11,-0.009133873
10/12/2013,1188.92,0.008650164
09/12/2013,1178.68,-0.001458196
06/12/2013,1180.4,0.0051045
05/12/2013,1174.39,-0.006179828
04/12/2013,1181.67,0.004401763
03/12/2013,1176.48,-0.010165078
02/12/2013,1188.5,-0.003217368
29/11/2013,1192.33,0.004320206
27/11/2013,1187.19,0.007788063
26/11/2013,1177.98,0.016096875
25/11/2013,1159.17,0.000155296
22/11/2013,1158.99,-0.000103533
21/11/2013,1159.11,0.010424169
