Date,Close,WHR
04/04/2014,152,-0.007145463
03/04/2014,153.09,-0.00352113
02/04/2014,153.63,0.002150328
01/04/2014,153.3,0.025367987
31/03/2014,149.46,0.01829834
28/03/2014,146.75,0.025326544
27/03/2014,143.08,0.003079941
26/03/2014,142.64,-0.018820653
25/03/2014,145.35,0.016649708
24/03/2014,142.95,-0.013755948
21/03/2014,144.93,0.001450026
20/03/2014,144.72,-0.011200172
19/03/2014,146.35,0.000136668
18/03/2014,146.33,0.009268543
17/03/2014,144.98,0.020205523
14/03/2014,142.08,0.002748707
13/03/2014,141.69,-0.016518889
12/03/2014,144.05,-0.002565259
11/03/2014,144.42,-0.008823992
10/03/2014,145.7,-0.001988413
07/03/2014,145.99,-0.010222251
06/03/2014,147.49,-0.001964304
05/03/2014,147.78,0.012940315
04/03/2014,145.88,0.018961194
03/03/2014,143.14,-0.010355585
28/02/2014,144.63,-0.00276186
27/02/2014,145.03,0.019003112
26/02/2014,142.3,0.011094344
25/02/2014,140.73,-0.000994318
24/02/2014,140.87,0.014803431
21/02/2014,138.8,0.005707902
20/02/2014,138.01,0.021236885
19/02/2014,135.11,-0.011406828
18/02/2014,136.66,-0.013807355
14/02/2014,138.56,0.000938662
13/02/2014,138.43,0.003618473
12/02/2014,137.93,-0.00028996
11/02/2014,137.97,0.010052532
10/02/2014,136.59,0.00029289
07/02/2014,136.55,0.021840587
06/02/2014,133.6,0.024396998
05/02/2014,130.38,-0.001685953
04/02/2014,130.6,0.030396059
03/02/2014,126.69,-0.05085907
31/01/2014,133.3,0.008135025
30/01/2014,132.22,-0.068750821
29/01/2014,141.63,-0.015900591
28/01/2014,143.9,0.009846792
27/01/2014,142.49,-0.022140614
24/01/2014,145.68,-0.051180026
23/01/2014,153.33,0.015445084
22/01/2014,150.98,-0.017855273
21/01/2014,153.7,-0.020223527
17/01/2014,156.84,-0.014118179
16/01/2014,159.07,0.009284179
15/01/2014,157.6,0.015023457
14/01/2014,155.25,0.011336154
13/01/2014,153.5,-0.020249612
10/01/2014,156.64,-0.015016915
09/01/2014,159.01,0.008906916
08/01/2014,157.6,0.019348416
07/01/2014,154.58,0.000841342
06/01/2014,154.45,-0.01573824
03/01/2014,156.9,0.005560363
02/01/2014,156.03,-0.005305391
31/12/2013,156.86,-0.001146862
30/12/2013,157.04,0.000509554
27/12/2013,156.96,-0.005337413
26/12/2013,157.8,0.005464842
24/12/2013,156.94,0.002232642
23/12/2013,156.59,0.008400986
20/12/2013,155.28,0.011399087
19/12/2013,153.52,-0.016986232
18/12/2013,156.15,0.030033459
17/12/2013,151.53,0.010548411
16/12/2013,149.94,0.007296127
13/12/2013,148.85,0.001479091
12/12/2013,148.63,0.004991242
11/12/2013,147.89,-0.024776719
10/12/2013,151.6,0.010676848
09/12/2013,149.99,0.00293784
06/12/2013,149.55,0.017538392
05/12/2013,146.95,-0.007660275
04/12/2013,148.08,-0.006126521
03/12/2013,148.99,-0.002011533
02/12/2013,149.29,-0.022977339
29/11/2013,152.76,0.002884491
27/11/2013,152.32,-0.005173046
26/11/2013,153.11,0.012090298
25/11/2013,151.27,0.006566099
22/11/2013,150.28,0.000332768
21/11/2013,150.23,0.031166964
20/11/2013,145.62,-0.024689263
19/11/2013,149.26,-0.008539078
18/11/2013,150.54,-0.001990843
15/11/2013,150.84,0.011937852
14/11/2013,149.05,0.032733915
13/11/2013,144.25,0.010312962
12/11/2013,142.77,0.001822771
11/11/2013,142.51,-0.019044223
08/11/2013,145.25,0.008990379
07/11/2013,143.95,-0.017764169
06/11/2013,146.53,-0.008968061
05/11/2013,147.85,-0.016168881
04/11/2013,150.26,0.02152646
01/11/2013,147.06,0.007165554
31/10/2013,146.01,-0.006961535
30/10/2013,147.03,-0.012839749
29/10/2013,148.93,0.019938271
28/10/2013,145.99,-0.001300613
25/10/2013,146.18,-0.007360993
24/10/2013,147.26,0.019612505
23/10/2013,144.4,-0.012319919
22/10/2013,146.19,0.109938856
21/10/2013,130.97,-0.018608706
18/10/2013,133.43,-0.009473088
17/10/2013,134.7,0.007152467
16/10/2013,133.74,0.012716978
15/10/2013,132.05,0.005772022
14/10/2013,131.29,-0.067229315
11/10/2013,140.42,0.007577418
10/10/2013,139.36,0.023450202
09/10/2013,136.13,0.01524826
08/10/2013,134.07,-0.018914491
07/10/2013,136.63,-0.02207755
04/10/2013,139.68,0.001863132
03/10/2013,139.42,-0.015656454
02/10/2013,141.62,-0.021446109
01/10/2013,144.69,-0.012022266
30/09/2013,146.44,-0.006602032
27/09/2013,147.41,-0.001694514
26/09/2013,147.66,-0.005739962
25/09/2013,148.51,-0.001816409
24/09/2013,148.78,0.016741046
23/09/2013,146.31,-0.011822396
20/09/2013,148.05,-0.011150035
19/09/2013,149.71,-0.000667735
18/09/2013,149.81,0.046313426
17/09/2013,143.03,0.012593827
16/09/2013,141.24,0.030479645
13/09/2013,137,0.0152248
12/09/2013,134.93,-0.006353449
11/09/2013,135.79,-0.008579338
10/09/2013,136.96,0.009832055
09/09/2013,135.62,0.031839088
06/09/2013,131.37,0.01449134
05/09/2013,129.48,-0.017455657
04/09/2013,131.76,0.024586364
03/09/2013,128.56,-0.000699817
30/08/2013,128.65,-0.00874517
29/08/2013,129.78,0.007269385
28/08/2013,128.84,0.000776458
