Date,Close,NTAP
04/04/2014,37.53,0.000266489
03/04/2014,37.52,-0.003193191
02/04/2014,37.64,0.013911407
01/04/2014,37.12,0.005944357
31/03/2014,36.9,0.019705071
28/03/2014,36.18,-0.002208725
27/03/2014,36.26,-0.011789033
26/03/2014,36.69,-0.010843153
25/03/2014,37.09,0.013845749
24/03/2014,36.58,-0.03280746
21/03/2014,37.8,0.018692133
20/03/2014,37.1,0.000269578
19/03/2014,37.09,-0.009926306
18/03/2014,37.46,0.00428037
17/03/2014,37.3,0.019765094
14/03/2014,36.57,-0.016004682
13/03/2014,37.16,-0.018398066
12/03/2014,37.85,0.010891328
11/03/2014,37.44,-0.009833966
10/03/2014,37.81,-0.002377494
07/03/2014,37.9,-0.029379469
06/03/2014,39.03,-0.019787556
05/03/2014,39.81,-0.009251222
04/03/2014,40.18,-0.007932615
03/03/2014,40.5,0.002224695
28/02/2014,40.41,-0.005183277
27/02/2014,40.62,0.008405488
26/02/2014,40.28,0.010732663
25/02/2014,39.85,-0.006004521
24/02/2014,40.09,0.005001261
21/02/2014,39.89,-0.007243693
20/02/2014,40.18,-0.008673081
19/02/2014,40.53,-0.002218116
18/02/2014,40.62,-0.002458816
14/02/2014,40.72,-0.009288749
13/02/2014,41.1,-0.035611362
12/02/2014,42.59,-0.025499759
11/02/2014,43.69,0.009659689
10/02/2014,43.27,0.010454271
07/02/2014,42.82,0.026264375
06/02/2014,41.71,0.003362155
05/02/2014,41.57,-0.012668987
04/02/2014,42.1,0.003807715
03/02/2014,41.94,-0.00949224
31/01/2014,42.34,-0.018718375
30/01/2014,43.14,0.008847555
29/01/2014,42.76,-0.022659929
28/01/2014,43.74,0.000686106
27/01/2014,43.71,-0.005703221
24/01/2014,43.96,-0.042095069
23/01/2014,45.85,0.008762378
22/01/2014,45.45,0.012397768
21/01/2014,44.89,0.008950608
17/01/2014,44.49,0.02757381
16/01/2014,43.28,-0.005300162
15/01/2014,43.51,0.079372588
14/01/2014,40.19,0.012267021
13/01/2014,39.7,-0.016735747
10/01/2014,40.37,-0.006911901
09/01/2014,40.65,-0.009792
08/01/2014,41.05,0.005618679
07/01/2014,40.82,0.016549717
06/01/2014,40.15,-0.004473168
03/01/2014,40.33,-0.002229103
02/01/2014,40.42,-0.017656172
31/12/2013,41.14,0.003896741
30/12/2013,40.98,0.00685605
27/12/2013,40.7,0.009628515
26/12/2013,40.31,-0.001735036
24/12/2013,40.38,0
23/12/2013,40.38,-0.002720417
20/12/2013,40.49,-0.003697773
19/12/2013,40.64,0.014873849
18/12/2013,40.04,0.002250282
17/12/2013,39.95,-0.002000501
16/12/2013,40.03,0.006516314
13/12/2013,39.77,0.004283741
12/12/2013,39.6,-0.011549212
11/12/2013,40.06,-0.034350777
10/12/2013,41.46,0.004835599
09/12/2013,41.26,-0.007485246
06/12/2013,41.57,0.002890872
05/12/2013,41.45,0.018997162
04/12/2013,40.67,-0.001719691
03/12/2013,40.74,-0.006361656
02/12/2013,41,-0.006079046
29/11/2013,41.25,0.000242454
27/11/2013,41.24,0.008523125
26/11/2013,40.89,0.002939018
25/11/2013,40.77,0.003193714
22/11/2013,40.64,0.006170574
21/11/2013,40.39,0.000743034
20/11/2013,40.36,-0.005682535
19/11/2013,40.59,0.000492854
18/11/2013,40.57,-0.020734979
15/11/2013,41.42,0.008485928
14/11/2013,41.07,-0.005342412
13/11/2013,41.29,0.026753344
12/11/2013,40.2,0.008242834
11/11/2013,39.87,-0.001002758
08/11/2013,39.91,0.011592872
