Date,Close,MDLZ
04/04/2014,34.54,-0.006636873
03/04/2014,34.77,-0.004304785
02/04/2014,34.92,0.002867797
01/04/2014,34.82,0.007784384
31/03/2014,34.55,0.004350986
28/03/2014,34.4,0.005538565
27/03/2014,34.21,0.001169933
26/03/2014,34.17,-0.0035057
25/03/2014,34.29,0.013210232
24/03/2014,33.84,-0.008533228
21/03/2014,34.13,-0.00380173
20/03/2014,34.26,0.003215907
19/03/2014,34.15,-0.007293978
18/03/2014,34.4,0.00437
17/03/2014,34.25,0
14/03/2014,34.25,-0.008141947
13/03/2014,34.53,-0.010658318
12/03/2014,34.9,-0.002003722
11/03/2014,34.97,-0.003140616
10/03/2014,35.08,0
07/03/2014,35.08,0.005717568
06/03/2014,34.88,0.015893992
05/03/2014,34.33,0.000582751
04/03/2014,34.31,0.014976054
03/03/2014,33.8,-0.006781686
28/02/2014,34.03,0.005303489
27/02/2014,33.85,-0.002065812
26/02/2014,33.92,-0.000884043
25/02/2014,33.95,-0.01316771
24/02/2014,34.4,0.00291121
21/02/2014,34.3,-0.005234092
20/02/2014,34.48,0.006400953
19/02/2014,34.26,0.002045289
18/02/2014,34.19,0.002049481
14/02/2014,34.12,0.003229124
13/02/2014,34.01,0.023803564
12/02/2014,33.21,-0.002105581
11/02/2014,33.28,0.004819286
10/02/2014,33.12,0.005753233
07/02/2014,32.93,0.007009018
06/02/2014,32.7,0.018830623
05/02/2014,32.09,0.002496101
04/02/2014,32.01,-0.002184429
03/02/2014,32.08,-0.020975476
31/01/2014,32.76,-0.005175837
30/01/2014,32.93,-0.001820389
29/01/2014,32.99,-0.022183164
28/01/2014,33.73,0.003564007
27/01/2014,33.61,-0.001189414
24/01/2014,33.65,-0.023495941
23/01/2014,34.45,0
22/01/2014,34.45,0
21/01/2014,34.45,-0.022956532
17/01/2014,35.25,-0.01268516
16/01/2014,35.7,0
15/01/2014,35.7,0.008438869
14/01/2014,35.4,0.005665738
13/01/2014,35.2,-0.016901811
10/01/2014,35.8,0.012366656
09/01/2014,35.36,0.015389303
08/01/2014,34.82,0.000287233
07/01/2014,34.81,0.00807619
06/01/2014,34.53,-0.006351061
03/01/2014,34.75,-0.00172513
02/01/2014,34.81,-0.013978262
31/12/2013,35.3,0.004827498
30/12/2013,35.13,0.006282145
27/12/2013,34.91,0
26/12/2013,34.91,0.005457431
24/12/2013,34.72,0.000576203
23/12/2013,34.7,0.000864927
20/12/2013,34.67,0.006946482
19/12/2013,34.43,-0.006080806
18/12/2013,34.64,0.019825722
17/12/2013,33.96,0.003244362
16/12/2013,33.85,0
13/12/2013,33.85,-0.003833117
12/12/2013,33.98,-0.002938586
11/12/2013,34.08,0.000587027
