Date,Close,WDC
04/04/2014,90.5,-0.032183687
03/04/2014,93.46,-0.007249499
02/04/2014,94.14,0.006393884
01/04/2014,93.54,0.018559013
31/03/2014,91.82,0.026597606
28/03/2014,89.41,-0.003238236
27/03/2014,89.7,0.004133391
26/03/2014,89.33,-0.005804236
25/03/2014,89.85,0.021032097
24/03/2014,87.98,-0.00724805
21/03/2014,88.62,0.007134394
20/03/2014,87.99,0.024388647
19/03/2014,85.87,-0.005226796
18/03/2014,86.32,0.013764361
17/03/2014,85.14,0.001410437
14/03/2014,85.02,0.009572844
13/03/2014,84.21,0.00059393
12/03/2014,84.16,0.011352216
11/03/2014,83.21,-0.022577005
10/03/2014,85.11,0.010155968
07/03/2014,84.25,-0.028895968
06/03/2014,86.72,-0.018395263
05/03/2014,88.33,-0.004856297
04/03/2014,88.76,0.009736293
03/03/2014,87.9,0.010406635
28/02/2014,86.99,-0.016305019
27/02/2014,88.42,-0.00967931
26/02/2014,89.28,0.0168299
25/02/2014,87.79,-0.009184259
24/02/2014,88.6,0.006681413
21/02/2014,88.01,0.020316337
20/02/2014,86.24,0.009202698
19/02/2014,85.45,-0.010361581
18/02/2014,86.34,-0.004276227
14/02/2014,86.71,0.000461414
13/02/2014,86.67,0.006946884
12/02/2014,86.07,0.014040245
11/02/2014,84.87,0.002123143
10/02/2014,84.69,0.000118085
07/02/2014,84.68,0.015830837
06/02/2014,83.35,0.007345448
05/02/2014,82.74,-0.009143471
04/02/2014,83.5,0
03/02/2014,83.5,-0.031475457
31/01/2014,86.17,-0.008896136
30/01/2014,86.94,0.032023304
29/01/2014,84.2,0.009906389
28/01/2014,83.37,-0.014527524
27/01/2014,84.59,-0.0048352
24/01/2014,85,-0.02383141
23/01/2014,87.05,-0.011762826
22/01/2014,88.08,-0.008816605
21/01/2014,88.86,0.000450248
17/01/2014,88.82,-0.001462564
16/01/2014,88.95,-0.000337211
15/01/2014,88.98,0.012325593
14/01/2014,87.89,0.03803357
13/01/2014,84.61,-0.009995967
10/01/2014,85.46,0.006338793
09/01/2014,84.92,-0.017393773
08/01/2014,86.41,0.008834185
07/01/2014,85.65,0.032754797
06/01/2014,82.89,-0.004693997
03/01/2014,83.28,0.007230689
02/01/2014,82.68,-0.014647879
31/12/2013,83.9,0.003701718
30/12/2013,83.59,0.009254318
27/12/2013,82.82,-0.003134421
26/12/2013,83.08,0.006278697
24/12/2013,82.56,-0.000847509
23/12/2013,82.63,-0.000604924
20/12/2013,82.68,0.007039718
19/12/2013,82.1,0
18/12/2013,82.1,-0.015710293
17/12/2013,83.4,0.021084023
16/12/2013,81.66,0.032483722
13/12/2013,79.05,0.002406435
12/12/2013,78.86,0.01289023
11/12/2013,77.85,-0.018832469
10/12/2013,79.33,0.00670337
09/12/2013,78.8,-0.001394966
06/12/2013,78.91,0.027363773
05/12/2013,76.78,-0.010236565
04/12/2013,77.57,0.026650826
03/12/2013,75.53,0.00119229
02/12/2013,75.44,0.005316334
29/11/2013,75.04,-0.015208916
27/11/2013,76.19,0.017610518
26/11/2013,74.86,0.000668137
25/11/2013,74.81,-0.00426838
22/11/2013,75.13,0.004001072
21/11/2013,74.83,0.011964921
20/11/2013,73.94,0.004473067
19/11/2013,73.61,-0.008791563
18/11/2013,74.26,-0.01722224
15/11/2013,75.55,-0.003963017
14/11/2013,75.85,0.045999073
13/11/2013,72.44,0.004288586
12/11/2013,72.13,0.007933788
11/11/2013,71.56,-0.001535991
08/11/2013,71.67,0.02029668
07/11/2013,70.23,-0.016102043
06/11/2013,71.37,0.002525254
05/11/2013,71.19,-0.01228551
04/11/2013,72.07,0.031287783
01/11/2013,69.85,0.003154577
31/10/2013,69.63,-0.050136515
30/10/2013,73.21,0.006440584
29/10/2013,72.74,0.004270861
28/10/2013,72.43,-0.002757481
25/10/2013,72.63,0.029198135
24/10/2013,70.54,0.006114488
23/10/2013,70.11,-0.029790035
22/10/2013,72.23,-0.00110696
21/10/2013,72.31,0.007635214
18/10/2013,71.76,0.018282045
17/10/2013,70.46,0.016311708
16/10/2013,69.32,0.014530915
15/10/2013,68.32,-0.008453629
14/10/2013,68.9,0.032001551
11/10/2013,66.73,0.018146574
10/10/2013,65.53,0.037470377
09/10/2013,63.12,-0.004110678
08/10/2013,63.38,-0.015965279
07/10/2013,64.4,-0.009735069
