Date,Close,TJX
04/04/2014,61.18,-0.006029514
03/04/2014,61.55,-0.009861853
02/04/2014,62.16,0.015727929
01/04/2014,61.19,0.008864142
31/03/2014,60.65,0.009109794
28/03/2014,60.1,0.011715615
27/03/2014,59.4,-0.004367553
26/03/2014,59.66,-0.006682283
25/03/2014,60.06,-0.008455658
24/03/2014,60.57,-0.019294255
21/03/2014,61.75,0.017315036
20/03/2014,60.69,0.002970299
19/03/2014,60.51,-0.004781148
18/03/2014,60.8,-0.020350723
17/03/2014,62.05,0.01134534
14/03/2014,61.35,0.004738184
13/03/2014,61.06,-0.007342776
12/03/2014,61.51,-0.005350641
11/03/2014,61.84,-0.006286794
10/03/2014,62.23,0.008391206
07/03/2014,61.71,0.009443248
06/03/2014,61.13,-0.009767292
05/03/2014,61.73,0.003082667
04/03/2014,61.54,0.010618412
03/03/2014,60.89,-0.009317599
28/02/2014,61.46,0.011948747
27/02/2014,60.73,0.007271557
26/02/2014,60.29,-0.011543664
25/02/2014,60.99,0.009886388
24/02/2014,60.39,0.005146521
21/02/2014,60.08,0.000999167
20/02/2014,60.02,0.002836408
19/02/2014,59.85,-0.006329135
18/02/2014,60.23,0.007332144
14/02/2014,59.79,-0.006335466
13/02/2014,60.17,0.000665004
12/02/2014,60.13,0.002831212
11/02/2014,59.96,0.011743131
10/02/2014,59.26,-0.002864607
07/02/2014,59.43,0.000673287
06/02/2014,59.39,0.027310112
05/02/2014,57.79,0.030928489
04/02/2014,56.03,-0.003740986
03/02/2014,56.24,-0.019718949
31/01/2014,57.36,-0.002611649
30/01/2014,57.51,0.004531203
29/01/2014,57.25,-0.015598237
28/01/2014,58.15,0.000860215
27/01/2014,58.1,0.006042314
24/01/2014,57.75,-0.01119254
23/01/2014,58.4,-0.013436719
22/01/2014,59.19,-0.017085843
21/01/2014,60.21,-0.027035316
17/01/2014,61.86,-0.004355197
16/01/2014,62.13,-0.006737273
15/01/2014,62.55,-0.004943794
14/01/2014,62.86,-0.000795102
13/01/2014,62.91,-0.017958895
10/01/2014,64.05,0.011462793
09/01/2014,63.32,-0.002838671
08/01/2014,63.5,0.005052111
07/01/2014,63.18,0.004282662
06/01/2014,62.91,-0.010908337
03/01/2014,63.6,0.001888575
02/01/2014,63.48,-0.003930514
31/12/2013,63.73,0.006454174
30/12/2013,63.32,-0.000947119
27/12/2013,63.38,-0.004250971
26/12/2013,63.65,0.009788521
24/12/2013,63.03,0.005089879
23/12/2013,62.71,0.003514381
20/12/2013,62.49,-0.000959693
19/12/2013,62.55,0.00079968
18/12/2013,62.5,0.0184084
17/12/2013,61.36,-0.004228336
16/12/2013,61.62,0.00732962
13/12/2013,61.17,-0.001306976
12/12/2013,61.25,-0.001631322
11/12/2013,61.35,-0.013438233
10/12/2013,62.18,0.001931746
09/12/2013,62.06,-0.004501615
06/12/2013,62.34,0.001766076
05/12/2013,62.23,-0.006087811
04/12/2013,62.61,0.002558773
03/12/2013,62.45,-0.004154688
02/12/2013,62.71,-0.002707224
29/11/2013,62.88,-0.00602507
27/11/2013,63.26,0.003483772
26/11/2013,63.04,-0.001901744
25/11/2013,63.16,0.001584535
22/11/2013,63.06,-0.014640167
21/11/2013,63.99,0.011315538
20/11/2013,63.27,0.002373607
19/11/2013,63.12,0.010031133
18/11/2013,62.49,-0.016348273
15/11/2013,63.52,0.008061373
14/11/2013,63.01,0.004613068
13/11/2013,62.72,0.017693883
12/11/2013,61.62,-0.00113535
11/11/2013,61.69,-0.000486184
08/11/2013,61.72,0.018148132
07/11/2013,60.61,-0.018148132
06/11/2013,61.72,0.00699133
05/11/2013,61.29,0.007533609
04/11/2013,60.83,-0.000821625
01/11/2013,60.88,0.001479412
31/10/2013,60.79,0.009088718
30/10/2013,60.24,0.003325577
29/10/2013,60.04,0.021549655
28/10/2013,58.76,-0.005769573
25/10/2013,59.1,0.005259152
24/10/2013,58.79,0.001532046
23/10/2013,58.7,0.001875693
22/10/2013,58.59,0.017388748
21/10/2013,57.58,-0.003294325
18/10/2013,57.77,0.003641728
17/10/2013,57.56,-0.002775852
16/10/2013,57.72,0.03688111
15/10/2013,55.63,-0.010016181
14/10/2013,56.19,0.011095318
11/10/2013,55.57,-0.002875114
10/10/2013,55.73,0.01482312
09/10/2013,54.91,0.004380368
08/10/2013,54.67,-0.012542198
07/10/2013,55.36,-0.017724929
04/10/2013,56.35,0.002843435
03/10/2013,56.19,-0.009211757
02/10/2013,56.71,-0.001233589
01/10/2013,56.78,0.006892313
30/09/2013,56.39,-0.001417686
27/09/2013,56.47,0
26/09/2013,56.47,0.015166675
25/09/2013,55.62,-0.004484715
24/09/2013,55.87,-0.004464692
23/09/2013,56.12,-0.00851673
20/09/2013,56.6,-0.002117897
19/09/2013,56.72,-0.002113421
18/09/2013,56.84,0.015960615
17/09/2013,55.94,0.011687627
16/09/2013,55.29,0.019911152
13/09/2013,54.2,0.002216477
12/09/2013,54.08,-0.009019849
11/09/2013,54.57,0.011982815
10/09/2013,53.92,-0.000556225
09/09/2013,53.95,0.000556225
06/09/2013,53.92,-0.003702337
05/09/2013,54.12,0.004630067
04/09/2013,53.87,0.013831996
03/09/2013,53.13,0.00774685
30/08/2013,52.72,-0.005297023
29/08/2013,53,0.003780723
28/08/2013,52.8,-0.002836881
27/08/2013,52.95,-0.020191376
26/08/2013,54.03,-0.00755973
23/08/2013,54.44,0.005156549
22/08/2013,54.16,0.000738825
21/08/2013,54.12,-0.00221484
20/08/2013,54.24,0.066507026
19/08/2013,50.75,0.0053344
16/08/2013,50.48,-0.005728411
15/08/2013,50.77,-0.023361
14/08/2013,51.97,-0.013569248
13/08/2013,52.68,0.005329286
12/08/2013,52.4,0
09/08/2013,52.4,-0.007415188
08/08/2013,52.79,-0.001892506
07/08/2013,52.89,-0.016315411
06/08/2013,53.76,-0.009073296
05/08/2013,54.25,0.005916083
02/08/2013,53.93,0.008379157
01/08/2013,53.48,0.027295099
31/07/2013,52.04,-0.000960338
30/07/2013,52.09,0.005582842
29/07/2013,51.8,0.002899954
26/07/2013,51.65,-0.002320635
25/07/2013,51.77,0.003289158
24/07/2013,51.6,-0.006567534
23/07/2013,51.94,-0.004226711
22/07/2013,52.16,-0.004590674
19/07/2013,52.4,-0.000190821
18/07/2013,52.41,-0.000381534
17/07/2013,52.43,0.003247686
16/07/2013,52.26,0.001340354
15/07/2013,52.19,-0.002296652
12/07/2013,52.31,0.001339072
11/07/2013,52.24,0.009037654
10/07/2013,51.77,0.00990011
09/07/2013,51.26,-0.002921985
08/07/2013,51.41,0.009576932
05/07/2013,50.92,0.012449524
03/07/2013,50.29,0.000994728
02/07/2013,50.24,-0.004567578
01/07/2013,50.47,0.008156814
28/06/2013,50.06,-0.001197844
27/06/2013,50.12,0.011841583
26/06/2013,49.53,0.005669179
25/06/2013,49.25,0.008154989
24/06/2013,48.85,-0.01301625
21/06/2013,49.49,0.010562763
20/06/2013,48.97,-0.017610009
19/06/2013,49.84,-0.013749345
18/06/2013,50.53,0.015154826
17/06/2013,49.77,-0.012975529
14/06/2013,50.42,-0.014960909
13/06/2013,51.18,0.023725905
12/06/2013,49.98,0.001802344
11/06/2013,49.89,-0.008184495
10/06/2013,50.3,-0.00297767
07/06/2013,50.45,0.010561023
06/06/2013,49.92,-0.001801261
05/06/2013,50.01,-0.009948351
