Date,Close,STT
04/04/2014,68.25,-0.018005423
03/04/2014,69.49,0.003026593
02/04/2014,69.28,-0.004177176
01/04/2014,69.57,0.000287522
31/03/2014,69.55,0.008084352
28/03/2014,68.99,0.007273817
27/03/2014,68.49,-0.002187706
26/03/2014,68.64,-0.021902893
25/03/2014,70.16,-0.000712403
24/03/2014,70.21,0.020141668
21/03/2014,68.81,0.011841378
20/03/2014,68,0.027582815
19/03/2014,66.15,0.012320484
18/03/2014,65.34,-0.001529286
17/03/2014,65.44,0.01090892
14/03/2014,64.73,0.003869674
13/03/2014,64.48,-0.025720953
12/03/2014,66.16,-0.010076031
11/03/2014,66.83,-0.020292483
10/03/2014,68.2,0.000880153
07/03/2014,68.14,0.006035199
06/03/2014,67.73,0.018327266
05/03/2014,66.5,0.0013543
04/03/2014,66.41,0.018388179
03/03/2014,65.2,-0.007182731
28/02/2014,65.67,-0.025854439
27/02/2014,67.39,-0.000296736
26/02/2014,67.41,-0.006800736
25/02/2014,67.87,-0.017526372
24/02/2014,69.07,0.00799481
21/02/2014,68.52,0.010268537
20/02/2014,67.82,-0.003385592
19/02/2014,68.05,-0.002495048
18/02/2014,68.22,-0.008611306
14/02/2014,68.81,0.004515338
13/02/2014,68.5,-0.00437
12/02/2014,68.8,0.000727008
11/02/2014,68.75,0.008618854
10/02/2014,68.16,-0.001026468
07/02/2014,68.23,0.034442465
06/02/2014,65.92,0.024260364
05/02/2014,64.34,-0.017257747
04/02/2014,65.46,0.013224858
03/02/2014,64.6,-0.035731661
31/01/2014,66.95,-0.019084831
30/01/2014,68.24,0.00942292
29/01/2014,67.6,-0.018757877
28/01/2014,68.88,0.008456094
27/01/2014,68.3,-0.017704714
24/01/2014,69.52,-0.045551873
23/01/2014,72.76,-0.032319763
22/01/2014,75.15,0.01312636
21/01/2014,74.17,0.00907435
17/01/2014,73.5,-0.002988727
16/01/2014,73.72,-0.008105962
15/01/2014,74.32,0.011502935
14/01/2014,73.47,0.007377083
13/01/2014,72.93,-0.026386755
10/01/2014,74.88,-0.006257093
09/01/2014,75.35,0.003989367
08/01/2014,75.05,-0.002528446
