Date,Close,GPC
04/04/2014,86.3,-0.015065549
03/04/2014,87.61,0.006987028
02/04/2014,87,0.002301497
01/04/2014,86.8,-0.000575871
31/03/2014,86.85,0.018829008
28/03/2014,85.23,0.01501299
27/03/2014,83.96,-0.003329373
26/03/2014,84.24,-0.002608182
25/03/2014,84.46,0.003083128
24/03/2014,84.2,-0.00580261
21/03/2014,84.69,-0.004594459
20/03/2014,85.08,0.002117897
19/03/2014,84.9,-0.011127494
18/03/2014,85.85,0.000932292
17/03/2014,85.77,0.003971968
14/03/2014,85.43,-0.001286776
13/03/2014,85.54,-0.014392078
12/03/2014,86.78,0.003925649
11/03/2014,86.44,-0.00127175
10/03/2014,86.55,-0.010687914
07/03/2014,87.48,0.004468129
06/03/2014,87.09,-0.005838931
05/03/2014,87.6,-0.003760045
04/03/2014,87.93,0.010862836
03/03/2014,86.98,-0.012680812
28/02/2014,88.09,0.014867611
27/02/2014,86.79,-0.004139364
26/02/2014,87.15,0.005061555
25/02/2014,86.71,-0.004717261
24/02/2014,87.12,-0.001491082
21/02/2014,87.25,0.002294895
20/02/2014,87.05,0.006800787
19/02/2014,86.46,-0.010927813
18/02/2014,87.41,0.016843961
14/02/2014,85.95,0.015358764
13/02/2014,84.64,0.009735326
12/02/2014,83.82,0.011639899
11/02/2014,82.85,0.011776983
10/02/2014,81.88,0.003548055
07/02/2014,81.59,0.012208056
06/02/2014,80.6,0.031892789
05/02/2014,78.07,0.000897033
04/02/2014,78,0.003210276
03/02/2014,77.75,-0.056264839
31/01/2014,82.25,0.002069008
30/01/2014,82.08,0.009302393
29/01/2014,81.32,-0.022975544
28/01/2014,83.21,0.003611851
27/01/2014,82.91,0.006898666
24/01/2014,82.34,-0.020554844
23/01/2014,84.05,-0.008293886
22/01/2014,84.75,0.006035878
21/01/2014,84.24,0.00118779
17/01/2014,84.14,-0.005452188
16/01/2014,84.6,0.012249663
15/01/2014,83.57,0.009981443
14/01/2014,82.74,0.01350632
13/01/2014,81.63,-0.022050809
10/01/2014,83.45,0.007457335
09/01/2014,82.83,-0.000965368
08/01/2014,82.91,-0.002649965
07/01/2014,83.13,0.013198714
06/01/2014,82.04,-0.003407158
03/01/2014,82.32,0.00487093
02/01/2014,81.92,-0.015383987
31/12/2013,83.19,0.000480943
30/12/2013,83.15,-0.000841498
27/12/2013,83.22,0.002285715
26/12/2013,83.03,0.003498827
24/12/2013,82.74,0.005332053
23/12/2013,82.3,0.00646068
20/12/2013,81.77,0.002081166
19/12/2013,81.6,-0.001714216
18/12/2013,81.74,0.01454123
17/12/2013,80.56,-0.004705891
16/12/2013,80.94,-0.0022214
13/12/2013,81.12,0.000369891
12/12/2013,81.09,-0.006514681
11/12/2013,81.62,-0.014112156
10/12/2013,82.78,0.00435836
09/12/2013,82.42,0.008529356
06/12/2013,81.72,0.01715562
05/12/2013,80.33,-0.013968952
04/12/2013,81.46,-0.018246462
03/12/2013,82.96,0.007744472
02/12/2013,82.32,-0.006296945
29/11/2013,82.84,0.012144915
27/11/2013,81.84,0.006005288
26/11/2013,81.35,-0.002945872
25/11/2013,81.59,-0.0044026
22/11/2013,81.95,0.003667486
21/11/2013,81.65,0.004910998
20/11/2013,81.25,-0.00772394
19/11/2013,81.88,-0.006694688
18/11/2013,82.43,-0.003874566
15/11/2013,82.75,0.001451204
14/11/2013,82.63,0.010584684
13/11/2013,81.76,0.004412853
12/11/2013,81.4,-0.00049128
11/11/2013,81.44,0.009251901
08/11/2013,80.69,0.015109234
07/11/2013,79.48,-0.018449788
06/11/2013,80.96,0.00930701
05/11/2013,80.21,-0.00398159
04/11/2013,80.53,0.019308524
01/11/2013,78.99,0.002027627
31/10/2013,78.83,-0.00341924
30/10/2013,79.1,-0.004918353
29/10/2013,79.49,0.005171229
28/10/2013,79.08,-0.000126446
25/10/2013,79.09,0.003165962
24/10/2013,78.84,0.005596555
23/10/2013,78.4,0.00255428
22/10/2013,78.2,0.00140764
21/10/2013,78.09,-0.007145622
18/10/2013,78.65,-0.02659798
17/10/2013,80.77,0.012834268
16/10/2013,79.74,0.010336661
15/10/2013,78.92,-0.01246632
14/10/2013,79.91,-0.00872171
11/10/2013,80.61,0.000744602
10/10/2013,80.55,0.028713722
09/10/2013,78.27,-0.000127755
08/10/2013,78.28,-0.015339085
07/10/2013,79.49,-0.014487577
04/10/2013,80.65,0.016250358
03/10/2013,79.35,-0.02341619
02/10/2013,81.23,0.00049255
01/10/2013,81.19,0.00370188
30/09/2013,80.89,0.006200417
27/09/2013,80.39,-0.003848785
26/09/2013,80.7,-0.002969564
25/09/2013,80.94,0.001236247
24/09/2013,80.84,-0.002841086
23/09/2013,81.07,-0.002956031
20/09/2013,81.31,-0.0053968
19/09/2013,81.75,0.002081676
18/09/2013,81.58,0.015067594
17/09/2013,80.36,0.005865851
16/09/2013,79.89,0.001127184
13/09/2013,79.8,-0.005374005
12/09/2013,80.23,-0.009798528
11/09/2013,81.02,0.001111454
10/09/2013,80.93,0.008811723
09/09/2013,80.22,0.019638093
06/09/2013,78.66,0.004331769
05/09/2013,78.32,0.015699718
04/09/2013,77.1,-0.000129693
03/09/2013,77.11,0.00129769
30/08/2013,77.01,-0.003758672
29/08/2013,77.3,0.000517598
28/08/2013,77.26,-0.007479081
27/08/2013,77.84,-0.020094788
26/08/2013,79.42,0
23/08/2013,79.42,0.000881779
22/08/2013,79.35,0.005307063
21/08/2013,78.93,-0.010084543
20/08/2013,79.73,0.019887919
19/08/2013,78.16,0.004231047
16/08/2013,77.83,-0.011751317
15/08/2013,78.75,-0.02346848
14/08/2013,80.62,-0.01171479
13/08/2013,81.57,-0.000980272
12/08/2013,81.65,-0.011325701
09/08/2013,82.58,0.002182084
08/08/2013,82.4,-0.003392298
07/08/2013,82.68,-0.007830894
06/08/2013,83.33,-0.012521778
05/08/2013,84.38,-0.002249187
02/08/2013,84.57,0.007120002
01/08/2013,83.97,0.023862304
31/07/2013,81.99,0.001953364
30/07/2013,81.83,0.003550227
29/07/2013,81.54,-0.006844319
26/07/2013,82.1,0.002316933
25/07/2013,81.91,0.007598076
24/07/2013,81.29,-0.004786166
23/07/2013,81.68,-0.001956948
22/07/2013,81.84,-0.006819315
19/07/2013,82.4,0.000728421
18/07/2013,82.34,-0.021506205
17/07/2013,84.13,-0.000712928
16/07/2013,84.19,-0.003912043
15/07/2013,84.52,-0.006015943
12/07/2013,85.03,0.002708593
11/07/2013,84.8,0.015448911
10/07/2013,83.5,-0.001555676
09/07/2013,83.63,-0.000597693
08/07/2013,83.68,-0.00071676
05/07/2013,83.74,0.010564324
03/07/2013,82.86,-0.004455423
02/07/2013,83.23,0.042460366
01/07/2013,79.77,0.021541634
28/06/2013,78.07,0.009265283
27/06/2013,77.35,0.008438869
26/06/2013,76.7,-0.007792247
25/06/2013,77.3,0.01748707
24/06/2013,75.96,-0.004597105
21/06/2013,76.31,-0.002094516
20/06/2013,76.47,-0.026327498
19/06/2013,78.51,-0.014290474
18/06/2013,79.64,0.008448446
17/06/2013,78.97,0.004187558
14/06/2013,78.64,0.000254356
13/06/2013,78.62,0.015122677
12/06/2013,77.44,0.00168013
11/06/2013,77.31,-0.007987675
10/06/2013,77.93,0.005920223
07/06/2013,77.47,0.02047408
06/06/2013,75.9,0.007405482
05/06/2013,75.34,-0.019323638
04/06/2013,76.81,-0.008943096
03/06/2013,77.5,-0.003091989
31/05/2013,77.74,-0.010110792
30/05/2013,78.53,-0.013407739
29/05/2013,79.59,-0.028488426
28/05/2013,81.89,0.00600161
24/05/2013,81.4,-0.006978054
23/05/2013,81.97,-0.001706485
22/05/2013,82.11,-0.006434013
21/05/2013,82.64,0.017332303
20/05/2013,81.22,-0.000369299
17/05/2013,81.25,0.017380947
16/05/2013,79.85,-0.002751377
15/05/2013,80.07,0.014720024
14/05/2013,78.9,0.012755275
13/05/2013,77.9,0.000513611
10/05/2013,77.86,0.002572018
09/05/2013,77.66,-0.002443574
08/05/2013,77.85,-0.005635983
07/05/2013,78.29,0.012596568
06/05/2013,77.31,0.002720033
03/05/2013,77.1,0.015423126
02/05/2013,75.92,0.017271587
01/05/2013,74.62,-0.022657478
30/04/2013,76.33,0.015180808
29/04/2013,75.18,0.001863933
26/04/2013,75.04,-0.006376217
25/04/2013,75.52,0.017633372
24/04/2013,74.2,0.000539229
23/04/2013,74.16,0.016999117
22/04/2013,72.91,-0.010234107
19/04/2013,73.66,-0.022020224
18/04/2013,75.3,0.000132811
17/04/2013,75.29,-0.00964914
16/04/2013,76.02,0.006996266
15/04/2013,75.49,-0.029369728
12/04/2013,77.74,-0.003338901
11/04/2013,78,0
10/04/2013,78,0.00707626
09/04/2013,77.45,-0.005536614
08/04/2013,77.88,0.010584841
05/04/2013,77.06,-0.005693597
04/04/2013,77.5,0.011419797
03/04/2013,76.62,-0.017978884
02/04/2013,78.01,0.011474373
01/04/2013,77.12,-0.011346176
28/03/2013,78,0.008238976
27/03/2013,77.36,0.000775896
26/03/2013,77.3,0.012496908
25/03/2013,76.34,-0.013789733
22/03/2013,77.4,0.002457798
21/03/2013,77.21,0.007279377
20/03/2013,76.65,0.012471445
19/03/2013,75.7,-0.000264166
18/03/2013,75.72,-0.00184721
15/03/2013,75.86,-0.009185211
14/03/2013,76.56,0.010636303
13/03/2013,75.75,0.004100806
12/03/2013,75.44,0.004383933
11/03/2013,75.11,0.015835006
08/03/2013,73.93,0.009786676
07/03/2013,73.21,0.008091658
06/03/2013,72.62,-0.002063416
05/03/2013,72.77,0.011054417
04/03/2013,71.97,0.013569488
01/03/2013,71,-0.000422446
28/02/2013,71.03,0.007631467
27/02/2013,70.49,0.017603317
26/02/2013,69.26,0.006082568
25/02/2013,68.84,-0.010548469
22/02/2013,69.57,0.013457985
21/02/2013,68.64,-0.005231049
20/02/2013,69,0.003629768
19/02/2013,68.75,-0.0383812
15/02/2013,71.44,0.009140189
14/02/2013,70.79,0.003537823
13/02/2013,70.54,0.004974074
12/02/2013,70.19,0.004283273
11/02/2013,69.89,-0.000429154
08/02/2013,69.92,0.006024979
07/02/2013,69.5,0.001295803
06/02/2013,69.41,0.003030087
05/02/2013,69.2,0.008708328
04/02/2013,68.6,-0.004944026
01/02/2013,68.94,0.013287777
31/01/2013,68.03,0.006340801
30/01/2013,67.6,-0.00942292
29/01/2013,68.24,0.02342583
28/01/2013,66.66,-0.004788994
25/01/2013,66.98,0.00568949
24/01/2013,66.6,0.010869672
23/01/2013,65.88,-0.002728515
22/01/2013,66.06,0.009735398
18/01/2013,65.42,0
17/01/2013,65.42,0.001682858
16/01/2013,65.31,-0.005040102
15/01/2013,65.64,0.00519323
14/01/2013,65.3,0.003989571
11/01/2013,65.04,-0.009182801
10/01/2013,65.64,-0.001218027
09/01/2013,65.72,0.008864493
08/01/2013,65.14,-0.001074032
07/01/2013,65.21,-0.006420077
04/01/2013,65.63,0.00351065
03/01/2013,65.4,0.003829955
02/01/2013,65.15,0.024393348
31/12/2012,63.58,0.012662404
28/12/2012,62.78,-0.01234779
27/12/2012,63.56,0.006629859
26/12/2012,63.14,-0.010712138
24/12/2012,63.82,-0.004533737
