Date,Close,RHI
04/04/2014,41.53,-0.020260495
03/04/2014,42.38,0
02/04/2014,42.38,-0.006350721
01/04/2014,42.65,0.016548841
31/03/2014,41.95,0.018040177
28/03/2014,41.2,0.002430135
27/03/2014,41.1,-0.017844698
26/03/2014,41.84,-0.010934266
25/03/2014,42.3,0.006403437
24/03/2014,42.03,-0.010414295
21/03/2014,42.47,0.016380188
20/03/2014,41.78,0.002156464
19/03/2014,41.69,-0.011921934
18/03/2014,42.19,0.014563944
17/03/2014,41.58,0.008210623
14/03/2014,41.24,0.004130731
13/03/2014,41.07,-0.02239169
12/03/2014,42,0.001191185
11/03/2014,41.95,-0.010434052
10/03/2014,42.39,-0.009625617
07/03/2014,42.8,0.014829035
06/03/2014,42.17,0.012407699
05/03/2014,41.65,0.006987138
04/03/2014,41.36,0.019531871
03/03/2014,40.56,-0.009325221
28/02/2014,40.94,0.01105255
27/02/2014,40.49,0.007188034
26/02/2014,40.2,0.006488668
25/02/2014,39.94,-0.007483198
24/02/2014,40.24,0
21/02/2014,40.24,-0.001738051
20/02/2014,40.31,-0.010610834
19/02/2014,40.74,-0.01316771
18/02/2014,41.28,0.019570096
14/02/2014,40.48,0.000741381
13/02/2014,40.45,0.010687314
12/02/2014,40.02,0.010045288
11/02/2014,39.62,-0.002772529
10/02/2014,39.73,-0.013748498
07/02/2014,40.28,0.006725645
06/02/2014,40.01,0.017396128
05/02/2014,39.32,-0.007853112
04/02/2014,39.63,0.01167526
03/02/2014,39.17,-0.064506608
31/01/2014,41.78,-0.007154812
30/01/2014,42.08,0.013638206
29/01/2014,41.51,0.002895056
28/01/2014,41.39,0.003630647
27/01/2014,41.24,0.030279236
24/01/2014,40.01,-0.032217221
23/01/2014,41.32,-0.010831734
22/01/2014,41.77,-0.001196315
21/01/2014,41.82,-0.007385382
17/01/2014,42.13,-0.009214477
16/01/2014,42.52,-0.003755873
15/01/2014,42.68,0.039183226
14/01/2014,41.04,0.016460266
13/01/2014,40.37,-0.028810586
10/01/2014,41.55,0.015034231
09/01/2014,40.93,-0.004144831
08/01/2014,41.1,-0.0060643
07/01/2014,41.35,0.009476441
06/01/2014,40.96,-0.014301541
03/01/2014,41.55,0.004341541
02/01/2014,41.37,-0.014875514
31/12/2013,41.99,-0.000238124
30/12/2013,42,0.001906578
27/12/2013,41.92,-0.004284701
26/12/2013,42.1,0.002854426
24/12/2013,41.98,0.006932022
23/12/2013,41.69,0.012794381
20/12/2013,41.16,0.035108674
19/12/2013,39.74,-0.017708406
18/12/2013,40.45,-0.001975797
17/12/2013,40.53,0.017673142
16/12/2013,39.82,0.012636003
13/12/2013,39.32,0
12/12/2013,39.32,-0.001524778
11/12/2013,39.38,-0.013619378
10/12/2013,39.92,-0.008977616
09/12/2013,40.28,0.024121773
06/12/2013,39.32,0.02654453
05/12/2013,38.29,-0.00987534
04/12/2013,38.67,0.006746263
03/12/2013,38.41,-0.006746263
02/12/2013,38.67,0.001034929
29/11/2013,38.63,0.005971717
27/11/2013,38.4,0.009682138
26/11/2013,38.03,-0.002363757
25/11/2013,38.12,0.003679373
22/11/2013,37.98,0.002108593
21/11/2013,37.9,0.007947062
20/11/2013,37.6,-0.009001914
19/11/2013,37.94,-0.014911983
18/11/2013,38.51,-0.008532696
15/11/2013,38.84,0.00283615
14/11/2013,38.73,-0.014864446
13/11/2013,39.31,0.009456939
12/11/2013,38.94,0.007733991
11/11/2013,38.64,0.011452494
08/11/2013,38.2,0.026526754
07/11/2013,37.2,-0.025216996
06/11/2013,38.15,-0.00887271
05/11/2013,38.49,-0.008794676
04/11/2013,38.83,-0.001544004
01/11/2013,38.89,0.00929999
31/10/2013,38.53,-0.003109616
30/10/2013,38.65,-0.0179492
29/10/2013,39.35,0.001780491
28/10/2013,39.28,0.000764039
25/10/2013,39.25,0.001274697
24/10/2013,39.2,-0.002038737
23/10/2013,39.28,-0.036003889
22/10/2013,40.72,0.004923693
21/10/2013,40.52,-0.010067611
18/10/2013,40.93,0.00982085
17/10/2013,40.53,0.000493583
16/10/2013,40.51,0.02373035
15/10/2013,39.56,-0.0017679
14/10/2013,39.63,-0.001260875
11/10/2013,39.68,0.007335305
10/10/2013,39.39,0.028323211
09/10/2013,38.29,-0.012457986
08/10/2013,38.77,-0.01637284
07/10/2013,39.41,-0.007331596
04/10/2013,39.7,0.021385744
03/10/2013,38.86,-0.005901236
02/10/2013,39.09,-0.000255787
01/10/2013,39.1,0.001791886
30/09/2013,39.03,0.001538462
27/09/2013,38.97,-0.002306806
26/09/2013,39.06,0.001280902
25/09/2013,39.01,0.00901255
24/09/2013,38.66,0.010139174
23/09/2013,38.27,-0.008067708
20/09/2013,38.58,-0.009031154
19/09/2013,38.93,0.002314518
18/09/2013,38.84,0.003611043
17/09/2013,38.7,0.00778214
16/09/2013,38.4,0.008893598
13/09/2013,38.06,-0.002099738
12/09/2013,38.14,-0.007054242
11/09/2013,38.41,-0.000520562
10/09/2013,38.43,0.004956316
09/09/2013,38.24,0.031613736
06/09/2013,37.05,0.006770507
05/09/2013,36.8,0.022256723
04/09/2013,35.99,0.006690853
03/09/2013,35.75,0.013517525
30/08/2013,35.27,-0.013797206
29/08/2013,35.76,-0.002513617
28/08/2013,35.85,0.001954489
27/08/2013,35.78,-0.03865083
26/08/2013,37.19,0
23/08/2013,37.19,-0.010165952
22/08/2013,37.57,0.01258889
21/08/2013,37.1,-0.014184635
20/08/2013,37.63,0.001063547
19/08/2013,37.59,-0.009531446
16/08/2013,37.95,0.007140054
15/08/2013,37.68,-0.02515856
14/08/2013,38.64,-0.006706241
13/08/2013,38.9,0.008260243
12/08/2013,38.58,0.000777907
09/08/2013,38.55,-0.002331909
08/08/2013,38.64,0.022508147
07/08/2013,37.78,-0.015756629
06/08/2013,38.38,-0.005715786
05/08/2013,38.6,0.009893338
02/08/2013,38.22,-0.002090957
01/08/2013,38.3,0.028066444
31/07/2013,37.24,0.021167683
30/07/2013,36.46,0.006604317
29/07/2013,36.22,-0.003032394
26/07/2013,36.33,-0.010405351
25/07/2013,36.71,-0.003263533
24/07/2013,36.83,0.027248142
23/07/2013,35.84,-0.001394117
22/07/2013,35.89,-0.015757064
19/07/2013,36.46,0.026119851
18/07/2013,35.52,0.013320305
17/07/2013,35.05,0.012632956
16/07/2013,34.61,-0.002308803
15/07/2013,34.69,0.004912595
12/07/2013,34.52,0.01077628
11/07/2013,34.15,0.015046751
10/07/2013,33.64,0.002977079
09/07/2013,33.54,0.024752245
08/07/2013,32.72,0.01106342
05/07/2013,32.36,0.025032596
03/07/2013,31.56,-0.053666901
02/07/2013,33.3,-0.00568949
01/07/2013,33.49,0.007793804
28/06/2013,33.23,0.004826555
27/06/2013,33.07,0.009723565
26/06/2013,32.75,0.002139692
25/06/2013,32.68,0.016350819
24/06/2013,32.15,-0.014513147
21/06/2013,32.62,-0.009458499
20/06/2013,32.93,-0.028440773
19/06/2013,33.88,-0.015812921
18/06/2013,34.42,0.004367455
17/06/2013,34.27,0.020041932
14/06/2013,33.59,-0.01799724
13/06/2013,34.2,0.028170877
12/06/2013,33.25,-0.004800489
11/06/2013,33.41,-0.011605546
10/06/2013,33.8,-0.00942292
07/06/2013,34.12,0.007354056
06/06/2013,33.87,0.016672015
05/06/2013,33.31,-0.020796947
04/06/2013,34.01,-0.006447854
03/06/2013,34.23,-0.015364848
31/05/2013,34.76,-0.001724634
30/05/2013,34.82,0.003164104
29/05/2013,34.71,-0.013449909
28/05/2013,35.18,0.010285805
24/05/2013,34.82,-0.005441801
23/05/2013,35.01,-0.007399009
22/05/2013,35.27,-0.014076809
21/05/2013,35.77,0.005325871
20/05/2013,35.58,-0.014509183
17/05/2013,36.1,0.017887565
16/05/2013,35.46,-0.002253522
15/05/2013,35.54,0.022191522
14/05/2013,34.76,0.020343625
13/05/2013,34.06,-0.007021679
10/05/2013,34.3,0.015276443
09/05/2013,33.78,0.00593826
08/05/2013,33.58,0.002982406
07/05/2013,33.48,0.005090593
06/05/2013,33.31,0.012384994
03/05/2013,32.9,0.048896553
02/05/2013,31.33,-0.001913266
01/05/2013,31.39,-0.044548715
30/04/2013,32.82,0.000914495
29/04/2013,32.79,0.013200499
26/04/2013,32.36,-0.016549566
25/04/2013,32.9,-0.007871672
24/04/2013,33.16,-0.101704867
23/04/2013,36.71,0.004641647
22/04/2013,36.54,0.012114686
19/04/2013,36.1,0.029517252
18/04/2013,35.05,-0.009653681
17/04/2013,35.39,-0.016811828
16/04/2013,35.99,0.025609955
15/04/2013,35.08,-0.036662844
12/04/2013,36.39,-0.007119417
11/04/2013,36.65,0.003005877
10/04/2013,36.54,0.029720282
09/04/2013,35.47,-0.008701809
08/04/2013,35.78,0.010677258
05/04/2013,35.4,-0.030052345
04/04/2013,36.48,-0.005194817
03/04/2013,36.67,-0.009769413
02/04/2013,37.03,-0.009139849
01/04/2013,37.37,-0.00427237
28/03/2013,37.53,0.013412218
27/03/2013,37.03,0.001351169
26/03/2013,36.98,0.013613061
25/03/2013,36.48,0.002470154
22/03/2013,36.39,0.003578806
21/03/2013,36.26,-0.011243777
20/03/2013,36.67,0.025129032
19/03/2013,35.76,0.006734032
18/03/2013,35.52,-0.006454351
15/03/2013,35.75,-0.015267472
14/03/2013,36.3,0.006079046
13/03/2013,36.08,0.006674107
12/03/2013,35.84,-0.015229424
11/03/2013,36.39,0.000549753
08/03/2013,36.37,0.011893378
07/03/2013,35.94,0.001392176
06/03/2013,35.89,0.006148706
05/03/2013,35.67,0.020963941
04/03/2013,34.93,-0.006847388
01/03/2013,35.17,-0.01074671
28/02/2013,35.55,0.00140746
27/02/2013,35.5,0.015328146
26/02/2013,34.96,0.004587164
25/02/2013,34.8,-0.021041436
22/02/2013,35.54,0.023342933
21/02/2013,34.72,-0.021089411
20/02/2013,35.46,-0.035188559
19/02/2013,36.73,0.033497942
15/02/2013,35.52,0.009049836
14/02/2013,35.2,0
13/02/2013,35.2,-0.003120127
12/02/2013,35.31,-0.001415028
