Date,Close,EFX
04/04/2014,67.7,-0.02090261
03/04/2014,69.13,-0.003898078
02/04/2014,69.4,-0.004743774
01/04/2014,69.73,0.024681857
31/03/2014,68.03,-0.002349142
28/03/2014,68.19,-0.007014496
27/03/2014,68.67,-0.007399381
26/03/2014,69.18,-0.012640214
25/03/2014,70.06,-0.007253107
24/03/2014,70.57,-0.009168553
21/03/2014,71.22,-0.010892441
20/03/2014,72,0.00612986
19/03/2014,71.56,-0.01731705
18/03/2014,72.81,0.017596575
17/03/2014,71.54,0.007154411
14/03/2014,71.03,-0.008969927
13/03/2014,71.67,-0.004038159
12/03/2014,71.96,0.00991559
11/03/2014,71.25,0
10/03/2014,71.25,0.00690095
07/03/2014,70.76,0.005242662
06/03/2014,70.39,0.00712863
05/03/2014,69.89,-0.011098577
04/03/2014,70.67,0.015831465
03/03/2014,69.56,-0.007162328
28/02/2014,70.06,0.000571102
27/02/2014,70.02,0.002574004
26/02/2014,69.84,0.004592431
25/02/2014,69.52,-0.004449236
24/02/2014,69.83,0.013552687
21/02/2014,68.89,-0.012263012
20/02/2014,69.74,-0.003149609
19/02/2014,69.96,0.002576214
18/02/2014,69.78,-0.000286574
14/02/2014,69.8,-0.028668206
13/02/2014,71.83,0.006284498
12/02/2014,71.38,0.00210364
11/02/2014,71.23,0.000983215
10/02/2014,71.16,0.002955459
07/02/2014,70.95,0.010057454
06/02/2014,70.24,0.030647094
05/02/2014,68.12,-0.018039477
04/02/2014,69.36,0.018039477
03/02/2014,68.12,-0.028081162
31/01/2014,70.06,-0.009659166
30/01/2014,70.74,0.033346004
29/01/2014,68.42,-0.00655549
28/01/2014,68.87,-0.002030752
27/01/2014,69.01,-0.010952696
24/01/2014,69.77,-0.007283145
23/01/2014,70.28,-0.016510641
22/01/2014,71.45,0.016652939
21/01/2014,70.27,-0.006524846
17/01/2014,70.73,0.023025687
16/01/2014,69.12,0.000144686
15/01/2014,69.11,0.014135026
14/01/2014,68.14,0.01017783
13/01/2014,67.45,-0.019817162
10/01/2014,68.8,0.000581564
09/01/2014,68.76,0.000290909
08/01/2014,68.74,0.000145486
07/01/2014,68.73,0.006861842
06/01/2014,68.26,-0.009332235
03/01/2014,68.9,0.006552626
02/01/2014,68.45,-0.009306451
31/12/2013,69.09,-0.003756144
30/12/2013,69.35,0.003611416
27/12/2013,69.1,-0.001012512
26/12/2013,69.17,0.002460738
24/12/2013,69,0.009903955
23/12/2013,68.32,0.009264091
20/12/2013,67.69,0.009201608
19/12/2013,67.07,-0.002531458
18/12/2013,67.24,0.002084265
17/12/2013,67.1,-0.01376474
16/12/2013,68.03,0.018844686
13/12/2013,66.76,-0.000598982
12/12/2013,66.8,0.001948004
11/12/2013,66.67,-0.011186633
10/12/2013,67.42,-0.00988865
09/12/2013,68.09,-0.003225809
06/12/2013,68.31,0.024451096
05/12/2013,66.66,-0.004490353
04/12/2013,66.96,-0.00119403
03/12/2013,67.04,-0.00387078
02/12/2013,67.3,-0.000445666
29/11/2013,67.33,-0.001928927
27/11/2013,67.46,-0.001185185
26/11/2013,67.54,-0.005757748
25/11/2013,67.93,0.001178377
