Date,Close,GD
04/04/2014,108.29,-0.023725905
03/04/2014,110.89,0.002528218
02/04/2014,110.61,0.008443466
01/04/2014,109.68,0.006953367
31/03/2014,108.92,0.011264084
28/03/2014,107.7,0.012426002
27/03/2014,106.37,-0.002722623
26/03/2014,106.66,-0.009239019
25/03/2014,107.65,0.009989347
24/03/2014,106.58,-0.004680342
21/03/2014,107.08,-0.001586339
20/03/2014,107.25,-0.007153837
19/03/2014,108.02,-0.012694495
18/03/2014,109.4,0.009090554
17/03/2014,108.41,0.007220916
14/03/2014,107.63,-0.003339211
13/03/2014,107.99,-0.012789428
12/03/2014,109.38,0.003571923
11/03/2014,108.99,-0.012944575
10/03/2014,110.41,-0.009734191
07/03/2014,111.49,0.000358841
06/03/2014,111.45,-0.003493219
05/03/2014,111.84,-0.007305155
04/03/2014,112.66,0.018363933
03/03/2014,110.61,0.009720722
28/02/2014,109.54,0.0051254
27/02/2014,108.98,0.008755413
26/02/2014,108.03,-0.002219141
25/02/2014,108.27,-0.004515512
24/02/2014,108.76,0.012117997
21/02/2014,107.45,-0.002788106
20/02/2014,107.75,0.023380249
19/02/2014,105.26,-0.014243508
18/02/2014,106.77,0.003941447
14/02/2014,106.35,0.024944172
13/02/2014,103.73,0.000675057
12/02/2014,103.66,0.00425368
11/02/2014,103.22,0.006902278
10/02/2014,102.51,-0.016255801
07/02/2014,104.19,0.02891979
06/02/2014,101.22,0.023389372
05/02/2014,98.88,-0.008058061
04/02/2014,99.68,0.012213122
03/02/2014,98.47,-0.02843319
31/01/2014,101.31,0.008126903
30/01/2014,100.49,0.014837365
29/01/2014,99.01,-0.014936872
28/01/2014,100.5,0.005487667
27/01/2014,99.95,0.01654431
24/01/2014,98.31,-0.032425537
23/01/2014,101.55,0.018887241
22/01/2014,99.65,0.044634236
21/01/2014,95.3,-0.001782251
17/01/2014,95.47,0.000733484
16/01/2014,95.4,-0.001989634
15/01/2014,95.59,-0.003863226
14/01/2014,95.96,0.009949289
13/01/2014,95.01,-0.00094682
10/01/2014,95.1,-0.001366049
09/01/2014,95.23,0.005369847
08/01/2014,94.72,-0.005684824
07/01/2014,95.26,0.008433531
06/01/2014,94.46,-0.002959833
03/01/2014,94.74,-0.000105546
02/01/2014,94.75,-0.008407827
31/12/2013,95.55,0.004720701
30/12/2013,95.1,0.001052078
27/12/2013,95,0.00168563
26/12/2013,94.84,0.011346286
24/12/2013,93.77,0.006311869
23/12/2013,93.18,-0.002036988
20/12/2013,93.37,0.007633215
19/12/2013,92.66,-0.009559173
18/12/2013,93.55,0.022813033
17/12/2013,91.44,0.005703021
16/12/2013,90.92,0.007285605
13/12/2013,90.26,0.004107694
12/12/2013,89.89,0.002115932
11/12/2013,89.7,-0.009431415
10/12/2013,90.55,0.000220897
09/12/2013,90.53,-0.00286786
06/12/2013,90.79,0.017331841
05/12/2013,89.23,-0.002797831
04/12/2013,89.48,-0.009565194
03/12/2013,90.34,-0.009693841
02/12/2013,91.22,-0.004811908
29/11/2013,91.66,-0.006632983
27/11/2013,92.27,0.003800428
26/11/2013,91.92,0.002614381
25/11/2013,91.68,-0.005113431
22/11/2013,92.15,0.01145988
21/11/2013,91.1,0.016379295
20/11/2013,89.62,-0.002117818
19/11/2013,89.81,0.00569484
18/11/2013,89.3,0.006628865
15/11/2013,88.71,0.008717859
14/11/2013,87.94,0.009827527
13/11/2013,87.08,0.004027392
12/11/2013,86.73,-0.00506039
11/11/2013,87.17,-0.000344096
08/11/2013,87.2,0.004597709
07/11/2013,86.8,-0.009973144
06/11/2013,87.67,0.006522882
05/11/2013,87.1,0.000229647
04/11/2013,87.08,-0.000803536
01/11/2013,87.15,0.005984596
31/10/2013,86.63,0.001617376
30/10/2013,86.49,-0.015943447
29/10/2013,87.88,0.002620636
28/10/2013,87.65,-0.006935392
25/10/2013,88.26,0.013000525
24/10/2013,87.12,0.010268334
23/10/2013,86.23,-0.0221352
22/10/2013,88.16,0.001816531
21/10/2013,88,-0.004535155
18/10/2013,88.4,0.00022627
17/10/2013,88.38,0.009435641
16/10/2013,87.55,0.008027566
15/10/2013,86.85,-0.010992897
14/10/2013,87.81,0.000569573
11/10/2013,87.76,0.003996123
10/10/2013,87.41,0.036465104
09/10/2013,84.28,-0.008153664
08/10/2013,84.97,-0.014023836
07/10/2013,86.17,0.003021853
04/10/2013,85.91,-0.000814474
03/10/2013,85.98,-0.017638361
02/10/2013,87.51,-0.011023465
01/10/2013,88.48,0.010909199
30/09/2013,87.52,-0.008759512
27/09/2013,88.29,0.000453155
26/09/2013,88.25,0.0057958
25/09/2013,87.74,-0.002163148
24/09/2013,87.93,0.00022748
23/09/2013,87.91,-0.002726345
20/09/2013,88.15,-0.016873291
19/09/2013,89.65,0.002904381
18/09/2013,89.39,0.002800652
17/09/2013,89.14,0.012076215
16/09/2013,88.07,0.010730697
13/09/2013,87.13,0.00575508
12/09/2013,86.63,-0.003111856
11/09/2013,86.9,0.001842894
10/09/2013,86.74,0.016975178
