Date,Close,PPG
04/04/2014,197.76,0.001974035
03/04/2014,197.37,0.000557484
02/04/2014,197.26,0.00314801
01/04/2014,196.64,0.016303873
31/03/2014,193.46,0.013792604
28/03/2014,190.81,0.006730845
27/03/2014,189.53,-0.004632319
26/03/2014,190.41,-0.012836745
25/03/2014,192.87,-0.001761293
24/03/2014,193.21,-0.009837074
21/03/2014,195.12,0.001949418
20/03/2014,194.74,-0.002154399
19/03/2014,195.16,-0.014245255
18/03/2014,197.96,0.010154433
17/03/2014,195.96,0.007067167
14/03/2014,194.58,-0.001694524
13/03/2014,194.91,-0.011731237
12/03/2014,197.21,-0.001520065
11/03/2014,197.51,-0.014027027
10/03/2014,200.3,0.001148937
07/03/2014,200.07,-0.000349816
06/03/2014,200.14,0.003002404
05/03/2014,199.54,-0.003252198
04/03/2014,200.19,0.015758665
03/03/2014,197.06,-0.003849275
28/02/2014,197.82,0.021098583
27/02/2014,193.69,0.002895406
26/02/2014,193.13,0.012295023
25/02/2014,190.77,0.011864412
24/02/2014,188.52,-0.007135525
21/02/2014,189.87,0.005916239
20/02/2014,188.75,0.008993967
19/02/2014,187.06,0.002515725
18/02/2014,186.59,-0.012304078
14/02/2014,188.9,0.008879967
13/02/2014,187.23,0.00788229
12/02/2014,185.76,0.003235202
11/02/2014,185.16,0.006665066
10/02/2014,183.93,0.007585923
07/02/2014,182.54,0.020030549
06/02/2014,178.92,0.00954688
05/02/2014,177.22,-0.000112848
04/02/2014,177.24,0.002089747
03/02/2014,176.87,-0.030567756
31/01/2014,182.36,-0.012587693
30/01/2014,184.67,0.007991996
29/01/2014,183.2,0.004211914
28/01/2014,182.43,-0.004157328
27/01/2014,183.19,0.008717399
24/01/2014,181.6,-0.028713742
23/01/2014,186.89,-0.001443658
22/01/2014,187.16,-0.015060206
21/01/2014,190,0.002740594
17/01/2014,189.48,0.009598377
16/01/2014,187.67,-0.016016411
15/01/2014,190.7,-0.000995833
14/01/2014,190.89,0.016532794
13/01/2014,187.76,-0.014907502
10/01/2014,190.58,0.002364005
09/01/2014,190.13,0.003477348
08/01/2014,189.47,0.006300484
07/01/2014,188.28,0.00404471
06/01/2014,187.52,-0.010028471
03/01/2014,189.41,0.002484473
02/01/2014,188.94,-0.003803491
31/12/2013,189.66,0.006294152
30/12/2013,188.47,0.003667778
27/12/2013,187.78,-0.001596339
26/12/2013,188.08,0.002661983
24/12/2013,187.58,0.011150539
23/12/2013,185.5,-0.006019582
20/12/2013,186.62,0.007098331
19/12/2013,185.3,0.000377837
18/12/2013,185.23,0.008784353
17/12/2013,183.61,0.006611865
16/12/2013,182.4,-0.002792151
13/12/2013,182.91,-0.005506652
12/12/2013,183.92,0.008572963
11/12/2013,182.35,-0.027050608
10/12/2013,187.35,0.003421914
09/12/2013,186.71,-0.006033926
06/12/2013,187.84,0.032793372
05/12/2013,181.78,-0.006415727
04/12/2013,182.95,0.007076083
03/12/2013,181.66,-0.010949414
02/12/2013,183.66,-0.002175569
29/11/2013,184.06,-0.002604451
27/11/2013,184.54,-0.003192039
26/11/2013,185.13,0.005090447
25/11/2013,184.19,0.002228443
22/11/2013,183.78,0.00250613
21/11/2013,183.32,0.006128275
20/11/2013,182.2,-0.013952701
19/11/2013,184.76,0.000595544
18/11/2013,184.65,-0.001352997
15/11/2013,184.9,-0.003670918
14/11/2013,185.58,0.005186397
13/11/2013,184.62,0.011494693
12/11/2013,182.51,0.001919544
11/11/2013,182.16,0.003244167
08/11/2013,181.57,0.010686406
07/11/2013,179.64,-0.017437811
06/11/2013,182.8,-0.002840601
05/11/2013,183.32,-0.0007634
04/11/2013,183.46,0.003877561
01/11/2013,182.75,0.000930665
31/10/2013,182.58,0.005051625
30/10/2013,181.66,-0.020971981
29/10/2013,185.51,0.025219677
28/10/2013,180.89,-0.005677918
25/10/2013,181.92,0.013614688
24/10/2013,179.46,0.005643892
23/10/2013,178.45,-0.009314845
22/10/2013,180.12,0.019679384
21/10/2013,176.61,0.004767589
18/10/2013,175.77,0.007423515
17/10/2013,174.47,0.048440595
16/10/2013,166.22,0.004461871
15/10/2013,165.48,-0.003920273
14/10/2013,166.13,-0.00372507
11/10/2013,166.75,0.012187915
10/10/2013,164.73,0.013752853
09/10/2013,162.48,-0.002028959
08/10/2013,162.81,-0.030844245
07/10/2013,167.91,-0.017650469
04/10/2013,170.9,0.026143343
03/10/2013,166.49,-0.000900549
02/10/2013,166.64,-0.001019643
01/10/2013,166.81,-0.001497589
30/09/2013,167.06,0.010772529
27/09/2013,165.27,-0.008315305
26/09/2013,166.65,0.012134533
25/09/2013,164.64,0.007131785
24/09/2013,163.47,0.000305913
23/09/2013,163.42,-0.01734954
20/09/2013,166.28,-0.010231339
19/09/2013,167.99,0.001072067
18/09/2013,167.81,0.014707472
17/09/2013,165.36,0.000968054
16/09/2013,165.2,0.016848158
13/09/2013,162.44,-0.002643634
12/09/2013,162.87,-0.009471793
11/09/2013,164.42,0.00432756
10/09/2013,163.71,0.01272493
09/09/2013,161.64,0.014896346
06/09/2013,159.25,-0.00825469
05/09/2013,160.57,0.010203212
04/09/2013,158.94,0.010944281
03/09/2013,157.21,0.006381235
30/08/2013,156.21,0.000128041
29/08/2013,156.19,0.002756854
28/08/2013,155.76,-0.01275853
27/08/2013,157.76,-0.015785002
26/08/2013,160.27,-0.012216827
23/08/2013,162.24,0.012965844
22/08/2013,160.15,0.006515089
21/08/2013,159.11,0.000880282
20/08/2013,158.97,0.013680624
19/08/2013,156.81,-0.011287374
16/08/2013,158.59,-0.001134359
15/08/2013,158.77,-0.022421068
14/08/2013,162.37,-0.002399042
13/08/2013,162.76,0.008762784
12/08/2013,161.34,-0.002166982
09/08/2013,161.69,-0.00086548
08/08/2013,161.83,0.004583187
07/08/2013,161.09,-0.002046449
06/08/2013,161.42,-0.002907428
05/08/2013,161.89,-0.002899
02/08/2013,162.36,-0.002460631
01/08/2013,162.76,0.014356682
31/07/2013,160.44,-0.003794835
30/07/2013,161.05,-0.000744833
29/07/2013,161.17,0.025513512
26/07/2013,157.11,-0.010258449
25/07/2013,158.73,0.010449416
24/07/2013,157.08,-0.012966249
23/07/2013,159.13,-0.003763412
22/07/2013,159.73,0.003574904
19/07/2013,159.16,-0.00526383
18/07/2013,160,0.019820127
17/07/2013,156.86,0.012961362
16/07/2013,154.84,-0.013789783
15/07/2013,156.99,-0.004702601
12/07/2013,157.73,-0.001900178
