Date,Close,NSC
04/04/2014,96.64,-0.008551904
03/04/2014,97.47,-0.002152191
02/04/2014,97.68,-0.004086642
01/04/2014,98.08,0.00932145
31/03/2014,97.17,0.008474627
28/03/2014,96.35,0.011377399
27/03/2014,95.26,-0.008154776
26/03/2014,96.04,-0.013856079
25/03/2014,97.38,0.008559842
24/03/2014,96.55,0.00082893
21/03/2014,96.47,-0.005272692
20/03/2014,96.98,-0.003294218
19/03/2014,97.3,0.006599323
18/03/2014,96.66,0.008623878
17/03/2014,95.83,0.013658544
14/03/2014,94.53,-0.007482777
13/03/2014,95.24,-0.008885231
12/03/2014,96.09,0.003544624
11/03/2014,95.75,0.013881809
10/03/2014,94.43,0.00148368
07/03/2014,94.29,-0.002224695
06/03/2014,94.5,0.005411441
05/03/2014,93.99,-0.001700861
04/03/2014,94.15,0.025712782
03/03/2014,91.76,-0.001633365
28/02/2014,91.91,0.014245255
27/02/2014,90.61,-0.000882515
26/02/2014,90.69,0.000551481
25/02/2014,90.64,-0.00692653
24/02/2014,91.27,0.008803842
21/02/2014,90.47,-0.006060959
20/02/2014,91.02,0.007720343
19/02/2014,90.32,-0.011886559
18/02/2014,91.4,-0.015632103
14/02/2014,92.84,0.003993314
13/02/2014,92.47,-0.012146116
12/02/2014,93.6,0.005248794
11/02/2014,93.11,0.002042682
10/02/2014,92.92,-0.01939739
07/02/2014,94.74,0.012426478
06/02/2014,93.57,0.019533346
05/02/2014,91.76,-0.000326886
04/02/2014,91.79,0.024371278
03/02/2014,89.58,-0.033049064
31/01/2014,92.59,-0.001834368
30/01/2014,92.76,0.032430537
29/01/2014,89.8,-0.0161276
28/01/2014,91.26,0.010353656
27/01/2014,90.32,0.007891999
24/01/2014,89.61,-0.044204283
23/01/2014,93.66,0.00771708
22/01/2014,92.94,0.046581501
21/01/2014,88.71,-0.003151381
17/01/2014,88.99,0.013918188
16/01/2014,87.76,-0.038010388
15/01/2014,91.16,0.004397544
14/01/2014,90.76,0.006300104
13/01/2014,90.19,-0.015403539
10/01/2014,91.59,0.003061785
09/01/2014,91.31,0.015451141
08/01/2014,89.91,-0.006982572
07/01/2014,90.54,0.005982072
06/01/2014,90,-0.015107527
03/01/2014,91.37,0.000656886
02/01/2014,91.31,-0.016509553
31/12/2013,92.83,0.009416164
30/12/2013,91.96,-0.004015416
27/12/2013,92.33,-0.00583155
26/12/2013,92.87,0.007240535
24/12/2013,92.2,0.004021089
23/12/2013,91.83,0.00556922
20/12/2013,91.32,0.00890948
19/12/2013,90.51,-0.002537932
18/12/2013,90.74,0.017565766
17/12/2013,89.16,-0.002800024
16/12/2013,89.41,0.016236685
13/12/2013,87.97,0.005242775
12/12/2013,87.51,-0.006265328
11/12/2013,88.06,-0.019343833
10/12/2013,89.78,-0.007877114
09/12/2013,90.49,0.009103082
06/12/2013,89.67,0.016869496
05/12/2013,88.17,0.011177124
04/12/2013,87.19,-0.006857953
03/12/2013,87.79,-0.005226097
02/12/2013,88.25,0.006365828
29/11/2013,87.69,0.000228102
27/11/2013,87.67,0.007901558
26/11/2013,86.98,-0.00045977
25/11/2013,87.02,-0.001148501
22/11/2013,87.12,0.003449469
21/11/2013,86.82,0.008908487
20/11/2013,86.05,-0.002901075
19/11/2013,86.3,-0.01071871
18/11/2013,87.23,0.000917536
15/11/2013,87.15,-0.002177776
14/11/2013,87.34,-0.003200734
13/11/2013,87.62,0.011132266
12/11/2013,86.65,0.003352411
11/11/2013,86.36,0.008605705
08/11/2013,85.62,0.00163647
07/11/2013,85.48,-0.011399449
06/11/2013,86.46,0.000347041
05/11/2013,86.43,-0.004732507
04/11/2013,86.84,-0.001840774
01/11/2013,87,0.011328291
31/10/2013,86.02,-0.005795774
30/10/2013,86.52,-0.016847571
29/10/2013,87.99,-0.001362862
28/10/2013,88.11,0.005234423
25/10/2013,87.65,-0.002506838
24/10/2013,87.87,0.020813722
23/10/2013,86.06,0.065546078
22/10/2013,80.6,0.007472015
21/10/2013,80,0.001375946
18/10/2013,79.89,0.017297319
17/10/2013,78.52,-0.017547632
16/10/2013,79.91,0.014749716
15/10/2013,78.74,-0.004055772
14/10/2013,79.06,0.00392878
11/10/2013,78.75,-0.002663117
10/10/2013,78.96,0.02669563
09/10/2013,76.88,0.007966088
08/10/2013,76.27,-0.007185347
07/10/2013,76.82,-0.008941937
04/10/2013,77.51,0.001807852
03/10/2013,77.37,-0.014754261
02/10/2013,78.52,0.003700164
01/10/2013,78.23,0.011312629
30/09/2013,77.35,-0.005672311
27/09/2013,77.79,-0.006534715
26/09/2013,78.3,0.005635261
25/09/2013,77.86,-0.0053798
24/09/2013,78.28,0.002174053
23/09/2013,78.11,0.005005465
20/09/2013,77.72,-0.005773318
19/09/2013,78.17,0.004487475
18/09/2013,77.82,0.012412882
17/09/2013,76.86,0.005479466
16/09/2013,76.44,0.010520876
13/09/2013,75.64,0.003177969
12/09/2013,75.4,-0.012127752
11/09/2013,76.32,-0.00026202
10/09/2013,76.34,0.018109014
09/09/2013,74.97,0.007766509
06/09/2013,74.39,0.003501216
05/09/2013,74.13,0.002566355
04/09/2013,73.94,0.01870234
03/09/2013,72.57,0.005665738
30/08/2013,72.16,-0.007455509
29/08/2013,72.7,-0.005213347
28/08/2013,73.08,0.002603276
27/08/2013,72.89,-0.023859069
26/08/2013,74.65,0.002548456
23/08/2013,74.46,0.009581073
22/08/2013,73.75,0.016818609
21/08/2013,72.52,-0.00687099
20/08/2013,73.02,0.000959101
19/08/2013,72.95,-0.014290818
16/08/2013,74,0.006099646
15/08/2013,73.55,-0.002986698
14/08/2013,73.77,-0.007024208
13/08/2013,74.29,-0.00080732
12/08/2013,74.35,0.004988887
09/08/2013,73.98,-0.005795555
08/08/2013,74.41,0.004309771
07/08/2013,74.09,0.002161871
06/08/2013,73.93,-0.011966529
05/08/2013,74.82,-0.009047427
02/08/2013,75.5,-0.006600684
01/08/2013,76,0.038084517
31/07/2013,73.16,-0.005316624
30/07/2013,73.55,-0.004205962
29/07/2013,73.86,-0.000812018
26/07/2013,73.92,-0.002027165
25/07/2013,74.07,-0.007933881
24/07/2013,74.66,-0.02917121
23/07/2013,76.87,-0.006612666
22/07/2013,77.38,-0.009005593
19/07/2013,78.08,0.005651184
18/07/2013,77.64,0.015184251
17/07/2013,76.47,0.004062117
16/07/2013,76.16,0.006983361
15/07/2013,75.63,0.005701799
12/07/2013,75.2,0.003463438
11/07/2013,74.94,0.020491415
10/07/2013,73.42,-0.013125146
09/07/2013,74.39,0.020781733
08/07/2013,72.86,0.007300811
05/07/2013,72.33,0.009306269
03/07/2013,71.66,-0.008061197
02/07/2013,72.24,-0.005108744
01/07/2013,72.61,-0.000550737
28/06/2013,72.65,-0.011495953
27/06/2013,73.49,0.001906838
26/06/2013,73.35,0.011655943
25/06/2013,72.5,0.028541389
24/06/2013,70.46,-0.034043466
21/06/2013,72.9,-0.007924621
20/06/2013,73.48,-0.026456925
19/06/2013,75.45,-0.020724771
18/06/2013,77.03,0.007427228
17/06/2013,76.46,0.003800044
14/06/2013,76.17,-0.010837737
13/06/2013,77,0.017687982
12/06/2013,75.65,-0.011304011
11/06/2013,76.51,-0.019030932
10/06/2013,77.98,0.007336412
07/06/2013,77.41,0.007781131
06/06/2013,76.81,0.015349596
05/06/2013,75.64,-0.017820178
04/06/2013,77,-0.000908678
03/06/2013,77.07,0.00624758
31/05/2013,76.59,-0.015289233
30/05/2013,77.77,0.011379924
29/05/2013,76.89,-0.009320456
28/05/2013,77.61,-0.000386473
24/05/2013,77.64,0.002450191
