Date,Close,MNST
04/04/2014,66.66,-0.02004968
03/04/2014,68.01,-0.023827947
02/04/2014,69.65,-0.019901154
01/04/2014,71.05,0.022776785
31/03/2014,69.45,-0.000575788
28/03/2014,69.49,0.013473583
27/03/2014,68.56,0.005558008
26/03/2014,68.18,-0.000293298
25/03/2014,68.2,0.004555817
24/03/2014,67.89,-0.013750948
21/03/2014,68.83,-0.011843004
20/03/2014,69.65,0.000430818
19/03/2014,69.62,-0.01948714
18/03/2014,70.99,0.001127555
17/03/2014,70.91,0.01205945
14/03/2014,70.06,-0.001283789
13/03/2014,70.15,-0.043651914
12/03/2014,73.28,-0.005715079
11/03/2014,73.7,0.005169376
10/03/2014,73.32,-0.000954264
07/03/2014,73.39,0.007522432
06/03/2014,72.84,-0.008203491
05/03/2014,73.44,-0.013927613
04/03/2014,74.47,0.025569188
03/03/2014,72.59,-0.019237922
28/02/2014,74,0.03913423
27/02/2014,71.16,0.002250986
26/02/2014,71,-0.005477926
25/02/2014,71.39,-0.042909742
24/02/2014,74.52,-0.00361664
21/02/2014,74.79,0.001204094
20/02/2014,74.7,0.020967965
19/02/2014,73.15,0.015707129
18/02/2014,72.01,0.005849599
14/02/2014,71.59,0.003638403
13/02/2014,71.33,-0.00656748
12/02/2014,71.8,-0.016300955
11/02/2014,72.98,0.031881311
10/02/2014,70.69,0.031908427
07/02/2014,68.47,0.006593914
06/02/2014,68.02,0.020346733
05/02/2014,66.65,-0.011041592
04/02/2014,67.39,0.006699943
03/02/2014,66.94,-0.014239339
31/01/2014,67.9,-0.011276388
30/01/2014,68.67,0.013192803
29/01/2014,67.77,-0.017261985
28/01/2014,68.95,0.018000047
27/01/2014,67.72,0.002513493
24/01/2014,67.55,-0.021817982
23/01/2014,69.04,-0.012522654
22/01/2014,69.91,0.001861265
21/01/2014,69.78,0.009503311
17/01/2014,69.12,-0.006058002
16/01/2014,69.54,0.006492124
15/01/2014,69.09,-0.001879836
14/01/2014,69.22,-0.007197382
13/01/2014,69.72,-0.001433281
10/01/2014,69.82,0.033052437
09/01/2014,67.55,-0.012358551
08/01/2014,68.39,0.009549768
07/01/2014,67.74,0.019076584
06/01/2014,66.46,-0.015823587
03/01/2014,67.52,0.011020216
02/01/2014,66.78,-0.014715985
31/12/2013,67.77,-0.000442576
30/12/2013,67.8,0.005620485
27/12/2013,67.42,-0.00059312
26/12/2013,67.46,0.00148346
24/12/2013,67.36,0.003718306
23/12/2013,67.11,0.013048554
20/12/2013,66.24,0
19/12/2013,66.24,0.016438726
18/12/2013,65.16,0.027539663
17/12/2013,63.39,-0.00330735
16/12/2013,63.6,0.034226914
13/12/2013,61.46,-0.002112963
12/12/2013,61.59,-0.017702426
11/12/2013,62.69,-0.009209338
10/12/2013,63.27,0.002532048
09/12/2013,63.11,0.000951173
06/12/2013,63.05,0.012127163
05/12/2013,62.29,-0.003205645
04/12/2013,62.49,0.019716217
03/12/2013,61.27,0.029145961
02/12/2013,59.51,0.005560719
29/11/2013,59.18,-0.011257785
27/11/2013,59.85,0.017699577
26/11/2013,58.8,0.027238367
25/11/2013,57.22,-0.001746115
22/11/2013,57.32,0.003145206
21/11/2013,57.14,0.005088177
20/11/2013,56.85,-0.003687126
19/11/2013,57.06,0.000525901
18/11/2013,57.03,-0.007511608
15/11/2013,57.46,-0.00451468
14/11/2013,57.72,0.010974764
13/11/2013,57.09,0.019455867
12/11/2013,55.99,0.003399234
11/11/2013,55.8,0.011535816
08/11/2013,55.16,-0.03474118
07/11/2013,57.11,-0.012528439
06/11/2013,57.83,0.005374959
05/11/2013,57.52,0.014358503
04/11/2013,56.7,0.000176382
01/11/2013,56.69,-0.009480408
31/10/2013,57.23,-0.013364774
30/10/2013,58,-0.009096433
29/10/2013,58.53,0.000512689
28/10/2013,58.5,0.006000875
25/10/2013,58.15,0.013678683
24/10/2013,57.36,0.010867767
23/10/2013,56.74,-0.014695856
22/10/2013,57.58,0.00260847
21/10/2013,57.43,-0.005036919
18/10/2013,57.72,0.00468873
17/10/2013,57.45,0.017205481
16/10/2013,56.47,0.016246006
15/10/2013,55.56,0.007769485
14/10/2013,55.13,0.025350366
11/10/2013,53.75,-0.001858737
10/10/2013,53.85,0.011016823
09/10/2013,53.26,-0.006176903
08/10/2013,53.59,0.036872288
07/10/2013,51.65,-0.004250393
04/10/2013,51.87,0.002316156
03/10/2013,51.75,-0.009041131
02/10/2013,52.22,-0.007250556
01/10/2013,52.6,0.006676229
30/09/2013,52.25,-0.015571906
27/09/2013,53.07,-0.009377413
26/09/2013,53.57,-0.014271394
25/09/2013,54.34,-0.0073341
24/09/2013,54.74,-0.002189782
23/09/2013,54.86,-0.018779895
20/09/2013,55.9,-0.004818426
19/09/2013,56.17,-0.032577312
18/09/2013,58.03,0.017382673
17/09/2013,57.03,0.022700035
16/09/2013,55.75,0.012635547
13/09/2013,55.05,-0.000907853
12/09/2013,55.1,-0.0075936
11/09/2013,55.52,-0.009143945
10/09/2013,56.03,-0.003385304
09/09/2013,56.22,0.017404225
06/09/2013,55.25,-0.015980231
05/09/2013,56.14,0.001604421
04/09/2013,56.05,0.036889801
03/09/2013,54.02,-0.060515724
30/08/2013,57.39,0.007169743
29/08/2013,56.98,-0.011863363
28/08/2013,57.66,-0.005534431
27/08/2013,57.98,-0.017269815
26/08/2013,58.99,-0.010287636
23/08/2013,59.6,-0.008187864
22/08/2013,60.09,0.0184755
21/08/2013,58.99,-0.004229051
20/08/2013,59.24,0.002196875
19/08/2013,59.11,0.014827711
16/08/2013,58.24,-0.005820938
15/08/2013,58.58,-0.03340638
14/08/2013,60.57,-0.020103643
13/08/2013,61.8,-0.015414563
12/08/2013,62.76,-0.014866635
09/08/2013,63.7,0.003617209
08/08/2013,63.47,0.016041001
07/08/2013,62.46,-0.008290864
06/08/2013,62.98,-0.007277362
05/08/2013,63.44,0.001104014
02/08/2013,63.37,0.013504058
01/08/2013,62.52,0.024776589
31/07/2013,60.99,0.011875449
30/07/2013,60.27,-0.005625428
29/07/2013,60.61,-0.036768252
26/07/2013,62.88,-0.006657181
25/07/2013,63.3,0.001106457
24/07/2013,63.23,-0.022209233
23/07/2013,64.65,0.000309406
22/07/2013,64.63,0.019372579
19/07/2013,63.39,0.002052902
18/07/2013,63.26,0.008572842
17/07/2013,62.72,0.033890556
16/07/2013,60.63,-0.002799969
15/07/2013,60.8,0.015581287
12/07/2013,59.86,-0.009808075
11/07/2013,60.45,0.014161003
10/07/2013,59.6,-0.003015583
09/07/2013,59.78,-0.013953715
08/07/2013,60.62,0.000495009
