Date,Close,TROW
04/04/2014,81.58,-0.023262498
03/04/2014,83.5,-0.005374752
02/04/2014,83.95,0.009094235
01/04/2014,83.19,0.010148692
31/03/2014,82.35,0.008291719
28/03/2014,81.67,0.008237583
27/03/2014,81,-0.006153866
26/03/2014,81.5,-0.010982417
25/03/2014,82.4,0.00109283
24/03/2014,82.31,-0.007383681
21/03/2014,82.92,0.004835599
20/03/2014,82.52,0.019456105
19/03/2014,80.93,-0.009836548
18/03/2014,81.73,0.001836998
17/03/2014,81.58,0.01606361
14/03/2014,80.28,-0.00596127
13/03/2014,80.76,-0.013162131
12/03/2014,81.83,-0.010575677
11/03/2014,82.7,-0.012138843
10/03/2014,83.71,0.008517837
07/03/2014,83,0.007619315
06/03/2014,82.37,0.010127596
05/03/2014,81.54,-0.001715476
04/03/2014,81.68,0.0229098
03/03/2014,79.83,-0.016646347
28/02/2014,81.17,0.009282819
27/02/2014,80.42,0.011254339
26/02/2014,79.52,-0.007267292
25/02/2014,80.1,-0.00944341
24/02/2014,80.86,0.01069263
21/02/2014,80,-0.001249219
20/02/2014,80.1,0.002625166
19/02/2014,79.89,-0.009592101
18/02/2014,80.66,-0.002105394
14/02/2014,80.83,0.002601426
13/02/2014,80.62,-0.001115726
12/02/2014,80.71,0.006588376
11/02/2014,80.18,0.009146214
10/02/2014,79.45,0.001385478
07/02/2014,79.34,0.02449727
06/02/2014,77.42,0.008040505
05/02/2014,76.8,-0.011393184
04/02/2014,77.68,0.026216043
03/02/2014,75.67,-0.035952221
31/01/2014,78.44,-0.014051753
30/01/2014,79.55,0.00744436
29/01/2014,78.96,-0.02179718
28/01/2014,80.7,0.053317124
27/01/2014,76.51,-0.011306898
24/01/2014,77.38,-0.032297785
23/01/2014,79.92,-0.019822255
22/01/2014,81.52,-0.003184326
21/01/2014,81.78,-0.00609535
17/01/2014,82.28,-0.018424267
16/01/2014,83.81,-0.001311632
15/01/2014,83.92,0.008736816
14/01/2014,83.19,0.010148692
13/01/2014,82.35,-0.0130295
10/01/2014,83.43,0.001679463
09/01/2014,83.29,-0.00753547
08/01/2014,83.92,0.000595983
07/01/2014,83.87,0.008381275
06/01/2014,83.17,-0.001561843
03/01/2014,83.3,0.008923247
02/01/2014,82.56,-0.014549646
31/12/2013,83.77,0.00490637
30/12/2013,83.36,-0.000839379
27/12/2013,83.43,-0.001915939
26/12/2013,83.59,0.002635363
24/12/2013,83.37,-0.00011994
23/12/2013,83.38,0.006014694
20/12/2013,82.88,0.009090421
19/12/2013,82.13,-0.008849079
18/12/2013,82.86,0.037503627
17/12/2013,79.81,-0.004375827
16/12/2013,80.16,0.022583436
13/12/2013,78.37,0.004475997
12/12/2013,78.02,-0.007533714
11/12/2013,78.61,-0.011509645
10/12/2013,79.52,-0.006767791
09/12/2013,80.06,0.003002254
06/12/2013,79.82,0.01616605
05/12/2013,78.54,-0.012777706
04/12/2013,79.55,-0.001507349
03/12/2013,79.67,-0.012721548
02/12/2013,80.69,0.002854485
29/11/2013,80.46,-0.004340554
27/11/2013,80.81,0.004837819
26/11/2013,80.42,-0.004095061
25/11/2013,80.75,-0.004694844
22/11/2013,81.13,0.008416933
21/11/2013,80.45,0.005734247
20/11/2013,79.99,-0.000125008
19/11/2013,80,0
18/11/2013,80,0.000125008
15/11/2013,79.99,0.012960232
14/11/2013,78.96,0.00164776
