Date,Close,AON
04/04/2014,82.62,-0.019180641
03/04/2014,84.22,-0.003200761
02/04/2014,84.49,-0.003662359
01/04/2014,84.8,0.006150954
31/03/2014,84.28,0.019892807
28/03/2014,82.62,0.002059733
27/03/2014,82.45,-0.006648559
26/03/2014,83,-0.010785006
25/03/2014,83.9,-0.004044254
24/03/2014,84.24,-0.019048195
21/03/2014,85.86,0.005137797
20/03/2014,85.42,0.014029113
19/03/2014,84.23,-0.01543295
18/03/2014,85.54,0.011404509
17/03/2014,84.57,0.013691505
14/03/2014,83.42,0.002640741
13/03/2014,83.2,-0.027502919
12/03/2014,85.52,-0.00896345
11/03/2014,86.29,-0.004394087
10/03/2014,86.67,-0.003225438
07/03/2014,86.95,0.004495426
06/03/2014,86.56,0.007886842
05/03/2014,85.88,0.002098147
04/03/2014,85.7,0.012564012
03/03/2014,84.63,-0.011396469
28/02/2014,85.6,-0.001867414
27/02/2014,85.76,0.005026605
26/02/2014,85.33,-0.00967994
25/02/2014,86.16,-0.006017144
24/02/2014,86.68,0.005321007
21/02/2014,86.22,0.009438979
20/02/2014,85.41,0.007403524
19/02/2014,84.78,-0.004472174
18/02/2014,85.16,-0.000821645
14/02/2014,85.23,0.0107344
13/02/2014,84.32,0.010611128
12/02/2014,83.43,0.003001023
11/02/2014,83.18,0.018565115
10/02/2014,81.65,0.007745782
07/02/2014,81.02,0.046614059
06/02/2014,77.33,-0.001808786
05/02/2014,77.47,0.000903984
04/02/2014,77.4,0.006741016
03/02/2014,76.88,-0.045514402
31/01/2014,80.46,-0.003473949
30/01/2014,80.74,0.014848361
29/01/2014,79.55,-0.00664038
28/01/2014,80.08,0.014464751
27/01/2014,78.93,0.006609913
24/01/2014,78.41,-0.036071538
23/01/2014,81.29,-0.017921845
22/01/2014,82.76,-0.011294125
21/01/2014,83.7,-0.005361943
17/01/2014,84.15,0.001546055
16/01/2014,84.02,0.007406556
15/01/2014,83.4,0.005892627
14/01/2014,82.91,0.02429467
13/01/2014,80.92,-0.019579676
10/01/2014,82.52,-0.013600739
09/01/2014,83.65,0.021142437
08/01/2014,81.9,-0.004872117
07/01/2014,82.3,0.00682763
06/01/2014,81.74,-0.010466202
03/01/2014,82.6,0.002909798
02/01/2014,82.36,-0.018406535
31/12/2013,83.89,0.007658288
30/12/2013,83.25,-0.001920077
27/12/2013,83.41,-0.00071908
26/12/2013,83.47,-0.00179544
24/12/2013,83.62,0.011304991
23/12/2013,82.68,-0.00313972
20/12/2013,82.94,-0.001806903
19/12/2013,83.09,-0.01005876
18/12/2013,83.93,0.025461406
17/12/2013,81.82,-0.000366591
16/12/2013,81.85,0.0029365
13/12/2013,81.61,-0.003547187
12/12/2013,81.9,0.001833181
11/12/2013,81.75,-0.016017816
10/12/2013,83.07,0.002048564
09/12/2013,82.9,0.001811048
06/12/2013,82.75,0.015711912
05/12/2013,81.46,-0.000122752
04/12/2013,81.47,-0.005019906
03/12/2013,81.88,0.00024429
02/12/2013,81.86,0.002691133
29/11/2013,81.64,-0.007930256
27/11/2013,82.29,0.00511697
26/11/2013,81.87,0.006125969
25/11/2013,81.37,-0.014397516
22/11/2013,82.55,0.014274628
21/11/2013,81.38,0.011742302
20/11/2013,80.43,-0.001242545
19/11/2013,80.53,-0.007915935
18/11/2013,81.17,-0.005038413
15/11/2013,81.58,0.009483414
14/11/2013,80.81,0.00795134
13/11/2013,80.17,-0.004976992
12/11/2013,80.57,-0.01392763
11/11/2013,81.7,0.013555352
08/11/2013,80.6,0.014622519
07/11/2013,79.43,-0.007775309
06/11/2013,80.05,0.017135357
05/11/2013,78.69,0.000889963
04/11/2013,78.62,-0.001906094
01/11/2013,78.77,-0.004054231
31/10/2013,79.09,-0.014435699
30/10/2013,80.24,0.006627095
29/10/2013,79.71,0.020789188
28/10/2013,78.07,0.006811928
25/10/2013,77.54,0.025602234
24/10/2013,75.58,-0.003566008
23/10/2013,75.85,-0.006701293
22/10/2013,76.36,0.01663844
21/10/2013,75.1,-0.003854081
18/10/2013,75.39,0.01591049
17/10/2013,74.2,0.004728141
16/10/2013,73.85,0.016657949
15/10/2013,72.63,-0.014489045
14/10/2013,73.69,0.008038738
11/10/2013,73.1,0.00232829
10/10/2013,72.93,0.023305258
09/10/2013,71.25,-0.001822899
08/10/2013,71.38,-0.010729567
07/10/2013,72.15,-0.009380673
04/10/2013,72.83,0.001511508
03/10/2013,72.72,-0.012436102
02/10/2013,73.63,-0.000271592
01/10/2013,73.65,-0.010669289
30/09/2013,74.44,-0.00842758
27/09/2013,75.07,-0.00465148
26/09/2013,75.42,-0.001060164
25/09/2013,75.5,-0.006863807
24/09/2013,76.02,0.006466535
23/09/2013,75.53,0.000132406
20/09/2013,75.52,0.005044482
19/09/2013,75.14,0.015963851
18/09/2013,73.95,0.0547511
17/09/2013,70.01,0.012938651
16/09/2013,69.11,0.008573765
13/09/2013,68.52,0.001606661
12/09/2013,68.41,-0.001460707
11/09/2013,68.51,-0.002041412
10/09/2013,68.65,0.013934952
09/09/2013,67.7,0.01803462
06/09/2013,66.49,-0.003603067
05/09/2013,66.73,0.002701082
04/09/2013,66.55,-0.002101472
03/09/2013,66.69,0.00465921
30/08/2013,66.38,-0.008251491
29/08/2013,66.93,-0.000298775
28/08/2013,66.95,0.010359675
27/08/2013,66.26,-0.022385653
26/08/2013,67.76,-0.010861695
23/08/2013,68.5,-0.001458789
22/08/2013,68.6,0.008490755
21/08/2013,68.02,-0.00717794
20/08/2013,68.51,-0.000291886
19/08/2013,68.53,0.00204499
16/08/2013,68.39,0.005277831
15/08/2013,68.03,-0.011836187
14/08/2013,68.84,-0.000145254
13/08/2013,68.85,0.010219067
12/08/2013,68.15,-0.013554095
